day,asset,close,volume
2018-07-03,cardstack,0.00619615,649854
2018-07-04,cardstack,0.00646945,210854
2018-07-05,cardstack,0.0053376,328751
2018-07-06,cardstack,0.00594416,275554
2018-07-07,cardstack,0.00695117,471378
2018-07-08,cardstack,0.007347,2024380
2018-07-09,cardstack,0.00675156,1539690
2018-07-10,cardstack,0.0060015,2672580
2018-07-11,cardstack,0.00575885,1905400
2018-07-12,cardstack,0.00517083,7150780
2018-07-13,cardstack,0.00463509,1662720
2018-07-14,cardstack,0.00531774,802010
2018-07-15,cardstack,0.00584779,1802520
2018-07-16,cardstack,0.00574154,2312090
2018-07-17,cardstack,0.00653954,1792510
2018-07-18,cardstack,0.00633003,887599
2018-07-19,cardstack,0.00600983,1076580
2018-07-20,cardstack,0.00564784,1618200
2018-07-21,cardstack,0.00547887,1174850
2018-07-22,cardstack,0.00532564,1409910
2018-07-23,cardstack,0.00511361,1216460
2018-07-24,cardstack,0.00458727,1155790
2018-07-25,cardstack,0.00446677,1221970
2018-07-26,cardstack,0.00454985,1268020
2018-07-27,cardstack,0.00461956,1360340
2018-07-28,cardstack,0.00491882,1422540
2018-07-29,cardstack,0.00459979,1431000
2018-07-30,cardstack,0.0043488,1179560
2018-07-31,cardstack,0.00435085,169911
2018-08-01,cardstack,0.00418657,168193
2018-08-02,cardstack,0.00402291,178512
2018-08-03,cardstack,0.00341969,122289
2018-08-04,cardstack,0.00334398,163385
2018-08-05,cardstack,0.00312684,144811
2018-08-06,cardstack,0.00315228,66120.2
2018-08-07,cardstack,0.00264919,133280
2018-08-08,cardstack,0.0020701,100068
2018-08-09,cardstack,0.00254371,116372
2018-08-10,cardstack,0.00211512,102172
2018-08-11,cardstack,0.0020583,103992
2018-08-12,cardstack,0.00184451,96107.6
2018-08-13,cardstack,0.00170265,88858.2
2018-08-14,cardstack,0.00159722,87811.7
2018-08-15,cardstack,0.00191132,64531.4
2018-08-16,cardstack,0.00189737,88121.3
2018-08-17,cardstack,0.00218949,103266
2018-08-18,cardstack,0.00206493,72950
2018-08-19,cardstack,0.00227014,116201
2018-08-20,cardstack,0.00205184,103108
2018-08-21,cardstack,0.00239557,111882
2018-08-22,cardstack,0.00223274,111034
