day,asset,close,volume
2018-01-31,cargox,0.20572,1317180
2018-02-01,cargox,0.228889,1375500
2018-02-02,cargox,0.174364,402995
2018-02-03,cargox,0.153578,301672
2018-02-04,cargox,0.144041,294934
2018-02-05,cargox,0.0950002,249785
2018-02-06,cargox,0.118657,365798
2018-02-07,cargox,0.100197,723362
2018-02-08,cargox,0.113987,402893
2018-02-09,cargox,0.115281,332141
2018-02-10,cargox,0.103499,412943
2018-02-11,cargox,0.0946212,202022
2018-02-12,cargox,0.098161,279883
2018-02-13,cargox,0.0910459,284162
2018-02-14,cargox,0.120166,405825
2018-02-15,cargox,0.13858,475754
2018-02-16,cargox,0.132083,262468
2018-02-17,cargox,0.156099,314730
2018-02-18,cargox,0.137036,280373
2018-02-19,cargox,0.135077,190090
2018-02-20,cargox,0.122904,198306
2018-02-21,cargox,0.117037,167856
2018-02-22,cargox,0.117865,112357
2018-02-23,cargox,0.122809,133007
2018-02-24,cargox,0.113685,77803.296875
2018-02-25,cargox,0.111753,122899
2018-02-26,cargox,0.115865,118839
2018-02-27,cargox,0.114147,93750.203125
2018-02-28,cargox,0.102317,139240
2018-03-01,cargox,0.105671,203614
2018-03-02,cargox,0.108563,110455
2018-03-03,cargox,0.106892,73172.3984375
2018-03-04,cargox,0.10892,82957.703125
2018-03-05,cargox,0.0965557,136210
2018-03-06,cargox,0.0873409,91842.703125
2018-03-07,cargox,0.0852788,145156
2018-03-08,cargox,0.0719463,75278.203125
2018-03-09,cargox,0.0812093,106355
2018-03-10,cargox,0.076995,157333
2018-03-11,cargox,0.0718789,113963
2018-03-12,cargox,0.0660578,42229.30078125
2018-03-13,cargox,0.0687341,41402.30078125
2018-03-14,cargox,0.0544515,72412.703125
2018-03-15,cargox,0.0623215,76724.203125
2018-03-16,cargox,0.0649482,66186.296875
2018-03-17,cargox,0.0590743,63476.30078125
2018-03-18,cargox,0.0546305,63471.69921875
2018-03-19,cargox,0.0537785,21445.5
2018-03-20,cargox,0.0604546,38368.3984375
2018-03-21,cargox,0.0619316,31432.80078125
2018-03-22,cargox,0.061748,34656.69921875
2018-03-23,cargox,0.0540406,46376.5
2018-03-24,cargox,0.0562453,28200.900390625
2018-03-25,cargox,0.0539415,17799.5
2018-03-26,cargox,0.0472037,41435
2018-03-27,cargox,0.0422497,99742
2018-03-28,cargox,0.040956,36176.8984375
2018-03-29,cargox,0.0366369,22155.30078125
2018-03-30,cargox,0.0354052,26725.69921875
2018-03-31,cargox,0.0358186,7674.5498046875
2018-04-01,cargox,0.0342287,11363.400390625
2018-04-02,cargox,0.0346301,16771.30078125
2018-04-03,cargox,0.0403365,20889
2018-04-04,cargox,0.0356301,10253.7998046875
2018-04-05,cargox,0.0339462,15351.2001953125
2018-04-06,cargox,0.034032,18684.5
2018-04-07,cargox,0.0395426,22490.5
2018-04-08,cargox,0.0479591,50598.5
2018-04-09,cargox,0.0495945,88125.1015625
2018-04-10,cargox,0.0570797,69488.5
2018-04-11,cargox,0.0667115,69930.203125
2018-04-12,cargox,0.0737081,112051
2018-04-13,cargox,0.0727362,80460.796875
2018-04-14,cargox,0.0670689,58055.6015625
2018-04-15,cargox,0.0764167,33423.8984375
2018-04-16,cargox,0.0672446,51594.3984375
2018-04-17,cargox,0.0621547,38803.5
2018-04-18,cargox,0.0686581,53537.1015625
2018-04-19,cargox,0.0765896,75603.6015625
2018-04-20,cargox,0.0919933,145847
2018-04-21,cargox,0.0976914,213137
2018-04-22,cargox,0.105049,159112
2018-04-23,cargox,0.111147,123703
2018-04-24,cargox,0.113351,150503
2018-04-25,cargox,0.0933319,130669
2018-04-26,cargox,0.114404,117119
2018-04-27,cargox,0.103323,54289.6015625
2018-04-28,cargox,0.104044,56431.19921875
2018-04-29,cargox,0.101401,78685
2018-04-30,cargox,0.0896358,150385
2018-05-01,cargox,0.0914311,66636.1015625
2018-05-02,cargox,0.0936425,65822.796875
2018-05-03,cargox,0.0920297,100188
2018-05-04,cargox,0.0856424,90523.296875
2018-05-05,cargox,0.0886906,104186
2018-05-06,cargox,0.0878948,55127.80078125
2018-05-07,cargox,0.0864055,73087.6015625
2018-05-08,cargox,0.0836022,37736.6015625
2018-05-09,cargox,0.086838,84332.203125
2018-05-10,cargox,0.0834976,48162.69921875
2018-05-11,cargox,0.0747434,63436.80078125
2018-05-12,cargox,0.0770887,48634.1015625
2018-05-13,cargox,0.0739004,54033.19921875
2018-05-14,cargox,0.0736264,58163.19921875
2018-05-15,cargox,0.0783057,54295.6015625
