day,asset,close,volume
2018-06-11,cashbet-coin,0.286355,364459
2018-06-12,cashbet-coin,0.372749,1482370
2018-06-13,cashbet-coin,0.264362,273541
2018-06-14,cashbet-coin,0.247897,124614
2018-06-15,cashbet-coin,0.247969,119900
2018-06-16,cashbet-coin,0.36396,284428
2018-06-17,cashbet-coin,0.282251,250499
2018-06-18,cashbet-coin,0.276776,121396
2018-06-19,cashbet-coin,0.271682,133229
2018-06-20,cashbet-coin,0.282394,324920
2018-06-21,cashbet-coin,0.283066,712400
2018-06-22,cashbet-coin,0.238825,428164
2018-06-23,cashbet-coin,0.250832,1102460
2018-06-24,cashbet-coin,0.231506,972762
2018-06-25,cashbet-coin,0.246214,2871430
2018-06-26,cashbet-coin,0.213877,5342460
2018-06-27,cashbet-coin,0.185503,4356100
2018-06-28,cashbet-coin,0.19344,186616
2018-06-29,cashbet-coin,0.22024,83509.203125
2018-06-30,cashbet-coin,0.226997,39281.69921875
2018-07-01,cashbet-coin,0.206599,31737.099609375
2018-07-02,cashbet-coin,0.227642,126970
2018-07-03,cashbet-coin,0.199664,64316.3984375
2018-07-04,cashbet-coin,0.195574,147975
2018-07-05,cashbet-coin,0.20391,212224
2018-07-06,cashbet-coin,0.203306,259858
2018-07-07,cashbet-coin,0.204164,45774.8984375
2018-07-08,cashbet-coin,0.190149,26273.5
2018-07-09,cashbet-coin,0.17087,51181.3984375
2018-07-10,cashbet-coin,0.145561,82672.1015625
2018-07-11,cashbet-coin,0.144684,42558
2018-07-12,cashbet-coin,0.128256,41716.19921875
2018-07-13,cashbet-coin,0.118613,39775.19921875
2018-07-14,cashbet-coin,0.122181,42665.5
2018-07-15,cashbet-coin,0.113296,33824.69921875
2018-07-16,cashbet-coin,0.11799,125595
2018-07-17,cashbet-coin,0.126875,68560.8984375
2018-07-18,cashbet-coin,0.125712,26612.69921875
2018-07-19,cashbet-coin,0.126143,86591.296875
2018-07-20,cashbet-coin,0.127426,113579
2018-07-21,cashbet-coin,0.12695,91975.296875
2018-07-22,cashbet-coin,0.113249,64680.1015625
2018-07-23,cashbet-coin,0.1017,114757
2018-07-24,cashbet-coin,0.101376,177621
2018-07-25,cashbet-coin,0.111786,327142
2018-07-26,cashbet-coin,0.0877235,112681
2018-07-27,cashbet-coin,0.088423,115098
2018-07-28,cashbet-coin,0.0836255,95032.5
2018-07-29,cashbet-coin,0.0848673,43860.69921875
