day,asset,close,volume
2018-07-31,coinvest,0.268435,717.863
2018-08-01,coinvest,0.211086,636.366
2018-08-02,coinvest,0.190455,853.54
2018-08-03,coinvest,0.195894,272.623
2018-08-04,coinvest,0.248144,3751.56
2018-08-05,coinvest,0.25549,2954.99
2018-08-06,coinvest,0.203307,4137.38
2018-08-07,coinvest,0.190141,1207.85
2018-08-08,coinvest,0.162589,1267.05
2018-08-09,coinvest,0.18477,1047.49
2018-08-10,coinvest,0.169687,2382.72
2018-08-11,coinvest,0.166864,1974.06
2018-08-12,coinvest,0.168435,381.781
2018-08-13,coinvest,0.143734,1977.84
2018-08-14,coinvest,0.142793,2888.98
2018-08-15,coinvest,0.142874,2047.33
2018-08-16,coinvest,0.149142,609.909
2018-08-17,coinvest,0.163755,1485.38
2018-08-18,coinvest,0.159853,2202.5
2018-08-19,coinvest,0.169551,1277.53
2018-08-20,coinvest,0.139186,9174
2018-08-21,coinvest,0.142319,897.021
2018-08-22,coinvest,0.134776,350.698
2018-08-23,coinvest,0.153891,3289.95
2018-08-24,coinvest,0.144609,2363.78
2018-08-25,coinvest,0.153232,392.519
2018-08-26,coinvest,0.125125,1156.84
2018-08-27,coinvest,0.171928,3447.79
2018-08-28,coinvest,0.153637,1527.19
2018-08-29,coinvest,0.154605,4541.83
2018-08-30,coinvest,0.152377,501.149
2018-08-31,coinvest,0.16141,525.319
2018-09-01,coinvest,0.145949,877.525
2018-09-02,coinvest,0.146018,5345.31
2018-09-03,coinvest,0.141769,429.206
2018-09-04,coinvest,0.144546,3354.58
2018-09-05,coinvest,0.122415,1539.94
2018-09-06,coinvest,0.125189,2371.43
2018-09-07,coinvest,0.11113,136.938
2018-09-08,coinvest,0.129528,707.227
2018-09-09,coinvest,0.137366,2120.63
2018-09-10,coinvest,0.160175,8263.94
2018-09-11,coinvest,0.141518,897.445
2018-09-12,coinvest,0.13787,392.688
2018-09-13,coinvest,0.140391,408.293
2018-09-14,coinvest,0.114359,1894.16
2018-09-15,coinvest,0.137244,701.174
2018-09-16,coinvest,0.158723,1411.49
2018-09-17,coinvest,0.130671,633.531
2018-09-18,coinvest,0.140138,45.6203
2018-09-19,coinvest,0.139603,107.501
2018-09-20,coinvest,0.135666,43.5077
2018-09-21,coinvest,0.149971,1392.35
2018-09-22,coinvest,0.151018,1206.66
2018-09-23,coinvest,0.171075,4294.11
2018-09-24,coinvest,0.138488,483.123
2018-09-25,coinvest,0.145469,316.179
2018-09-26,coinvest,0.159064,629.752
2018-09-27,coinvest,0.149561,1754.37
2018-09-28,coinvest,0.149953,599.671
2018-09-29,coinvest,0.159837,495.097
2018-09-30,coinvest,0.148535,566.583
2018-10-01,coinvest,0.140433,1.40433
2018-10-02,coinvest,0.16133,876.773
2018-10-03,coinvest,0.136492,503.532
2018-10-04,coinvest,0.148098,57.7582
2018-10-05,coinvest,0.149766,1441.29
2018-10-06,coinvest,0.18968,1675.43
2018-10-07,coinvest,0.14835,113.262
2018-10-08,coinvest,0.160826,892.759
2018-10-09,coinvest,0.173145,3739.1
2018-10-10,coinvest,0.182294,5617.58
2018-10-11,coinvest,0.173296,3683.7
2018-10-12,coinvest,0.175083,377.558
2018-10-13,coinvest,0.180364,3173.12
2018-10-14,coinvest,0.184894,2718.5
2018-10-15,coinvest,0.185049,662.513
2018-10-16,coinvest,0.251028,1776.79
2018-10-17,coinvest,0.194116,1294.53
2018-10-18,coinvest,0.20665,1491.77
2018-10-19,coinvest,0.237652,1598.48
2018-10-20,coinvest,0.24908,4232.02
2018-10-21,coinvest,0.225947,2163.57
2018-10-22,coinvest,0.219561,352.45
2018-10-23,coinvest,0.224301,104.552
2018-10-24,coinvest,0.220858,757.419
2018-10-25,coinvest,0.240868,293.226
2018-10-26,coinvest,0.248394,4683.06
2018-10-27,coinvest,0.22788,368.463
2018-10-28,coinvest,0.224354,921.228
2018-10-29,coinvest,0.20773,84.0443
2018-10-30,coinvest,0.180107,2200.97
2018-10-31,coinvest,0.213178,275.216
2018-11-01,coinvest,0.249131,50.7239
2018-11-02,coinvest,0.224545,44.105
2018-11-03,coinvest,0.19076,222.989
2018-11-04,coinvest,0.259982,8101.45
2018-11-05,coinvest,0.231624,450.798
2018-11-06,coinvest,0.258788,2854.65
2018-11-07,coinvest,0.265717,1532.54
2018-11-08,coinvest,0.264151,0
2018-11-09,coinvest,0.277311,797.894
2018-11-10,coinvest,0.313973,374.903
2018-11-11,coinvest,0.343029,838.592
2018-11-12,coinvest,0.246082,515.48
2018-11-13,coinvest,0.297812,3626.78
2018-11-14,coinvest,0.259138,3945.45
2018-11-15,coinvest,0.258388,2809.76
2018-11-16,coinvest,0.274093,2113.63
2018-11-17,coinvest,0.237892,1620.41
2018-11-18,coinvest,0.24486,4935.5
2018-11-19,coinvest,0.213197,78.6089
2018-11-20,coinvest,0.201892,0
2018-11-21,coinvest,0.179576,700.957
2018-11-22,coinvest,0.187977,965.417
2018-11-23,coinvest,0.169779,975.504
2018-11-24,coinvest,0.131139,381.285
2018-11-25,coinvest,0.134109,0
2018-11-26,coinvest,0.108278,153.659
2018-11-27,coinvest,0.146589,1478.5
2018-11-28,coinvest,0.229917,8101.42
2018-11-29,coinvest,0.1763394,182.35137939413
2018-11-30,coinvest,0.22001946,499.121078942941
2018-12-01,coinvest,0.24431871,1412.78229899847
2018-12-02,coinvest,0.23273568,4029.84482146927
2018-12-03,coinvest,0.21778435,447.495298095292
2018-12-04,coinvest,0.12133359,282.853086901376
2018-12-05,coinvest,0.14009032,176.322824530309
2018-12-06,coinvest,0.12529922,1484.14024366159
2018-12-07,coinvest,0.09451306,3476.77284662598
2018-12-08,coinvest,0.092971355,3759.86032107547
2018-12-09,coinvest,0.097802326,0
2018-12-10,coinvest,0.10929895,33.1722321424325
2018-12-11,coinvest,0.08745978,13.3686937544988
2018-12-12,coinvest,0.08885391,325.88043493028
2018-12-13,coinvest,0.10808332,1751.38042209061
2018-12-14,coinvest,0.12651406,2169.92006858254
2018-12-15,coinvest,0.16306739,1728.83995665625
2018-12-16,coinvest,0.1641486,24.6223809376494
2018-12-17,coinvest,0.16805649,896.729527888527
2018-12-18,coinvest,0.17861557,18.2015206335095
2018-12-19,coinvest,0.17897676,39.7366375062466
2018-12-20,coinvest,0.20217001,40.4338492291171
2018-12-21,coinvest,0.19237332,1749.92506589483
2018-12-22,coinvest,0.20629597,1415.22243883625
2018-12-23,coinvest,0.16568643,1971.74532586115
2018-12-24,coinvest,0.14928156,2463.20518003664
2018-12-25,coinvest,0.13965225,0
2018-12-26,coinvest,0.15155268,1811.9098725183
2018-12-27,coinvest,0.13412,50.492689152673
2018-12-28,coinvest,0.17230923,1203.23843597136
2018-12-29,coinvest,0.13838331,412.511525717995
2018-12-30,coinvest,0.1476154,135.877457097509
2018-12-31,coinvest,0.1441306,0
2019-01-01,coinvest,0.14694592,109.028225425586
2019-01-02,coinvest,0.14695661,0
2019-01-03,coinvest,0.15576775,1687.23076379804
2019-01-04,coinvest,0.16305012,242.746835606115
2019-01-05,coinvest,0.16586785,0
2019-01-06,coinvest,0.15775609,388.43369111557
2019-01-07,coinvest,0.15183096,46.5090522193147
2019-01-08,coinvest,0.16662845,1415.81467807683
2019-01-09,coinvest,0.18090649,998.155454022326
2019-01-10,coinvest,0.09619775,3646.33376634158
2019-01-11,coinvest,0.13981724,1703.53046108838
2019-01-12,coinvest,0.13603859,461.656033254985
2019-01-13,coinvest,0.12853669,7.06951753769112
2019-01-14,coinvest,0.14069065,1290.73991203266
2019-01-15,coinvest,0.12606335,571.148354501595
2019-01-16,coinvest,0.12633982,0
2019-01-17,coinvest,0.12509687,22.2699937379519
2019-01-18,coinvest,0.121053115,661.810426650679
2019-01-19,coinvest,0.12496581,0
2019-01-20,coinvest,0.12496581,0
2019-01-21,coinvest,0.11835691,873.955573681094
2019-01-22,coinvest,0.121111214,118.524628172026
2019-01-23,coinvest,0.1174811,1151.31473748713
2019-01-24,coinvest,0.101073675,357.870148092765
2019-01-25,coinvest,0.11751232,166.920641728527
2019-01-26,coinvest,0.11645301,654.571250891223
2019-01-27,coinvest,0.096421055,930.275437539092
2019-01-28,coinvest,0.08529579,460.720021056861
2019-01-29,coinvest,0.09732756,1122.89148234408
2019-01-30,coinvest,0.10040039,134.545755216143
2019-01-31,coinvest,0.09872201,53.2438695266381
2019-02-01,coinvest,0.09932973,0
2019-02-02,coinvest,0.10192994,1652.47206391779
2019-02-03,coinvest,0.09941791,0
2019-02-04,coinvest,0.09941791,0
2019-02-05,coinvest,0.08847029,596.999651161551
2019-02-06,coinvest,0.06298183,149.791148166904
2019-02-07,coinvest,0.0821428,44.9514277405134
2019-02-08,coinvest,0.08135785,1262.26830470342
2019-02-09,coinvest,0.0813794,17.856735386772
2019-02-10,coinvest,0.08481665,0
2019-02-11,coinvest,0.06066871,33.8497190400376
2019-02-12,coinvest,0.06168882,0
2019-02-13,coinvest,0.06168882,0
2019-02-14,coinvest,0.06168882,0
2019-02-15,coinvest,0.06272882,144.035718743878
2019-02-16,coinvest,0.063319735,200.290253592105
2019-02-17,coinvest,0.091192104,8.03336686413688
2019-02-18,coinvest,0.07506032,942.982796464218
2019-02-19,coinvest,0.07480014,187.070269026938
2019-02-20,coinvest,0.07596836,0
2019-02-21,coinvest,0.056727346,403.013942503296
2019-02-22,coinvest,0.057923302,0
2019-02-23,coinvest,0.0739265,100.419666770437
2019-02-24,coinvest,0.065107055,0
2019-02-25,coinvest,0.065107055,0
2019-02-26,coinvest,0.062152892,602.616685249108
2019-02-27,coinvest,0.05212482,22.5174213396042
2019-02-28,coinvest,0.07096533,121.770649052418
2019-03-01,coinvest,0.070800796,37.0996182275276
2019-03-02,coinvest,0.069625326,40.2699052383332
2019-03-03,coinvest,0.06893114,0
