day,asset,close,volume
2018-02-09,datawallet,0.139312,122971
2018-02-10,datawallet,0.126589,231267
2018-02-11,datawallet,0.113381,119120
2018-02-12,datawallet,0.102514,71898.703125
2018-02-13,datawallet,0.117895,133349
2018-02-14,datawallet,0.12061,103726
2018-02-15,datawallet,0.102366,23720.80078125
2018-02-16,datawallet,0.11255,35519.8984375
2018-02-17,datawallet,0.119609,47067.80078125
2018-02-18,datawallet,0.120327,62331.6015625
2018-02-19,datawallet,0.115225,55456.8984375
2018-02-20,datawallet,0.106486,159179
2018-02-21,datawallet,0.084106,72178.296875
2018-02-22,datawallet,0.0806001,32562.19921875
2018-02-23,datawallet,0.0917337,43725.8984375
2018-02-24,datawallet,0.0792559,27527.599609375
2018-02-25,datawallet,0.0863214,15625.2001953125
2018-02-26,datawallet,0.0873909,28230.099609375
2018-02-27,datawallet,0.0946044,29862.80078125
2018-02-28,datawallet,0.0853131,29753.80078125
2018-03-01,datawallet,0.0756441,34912.5
2018-03-02,datawallet,0.0825524,14378.900390625
2018-03-03,datawallet,0.0802833,39683.3984375
2018-03-04,datawallet,0.083614,28778.80078125
2018-03-05,datawallet,0.0724299,7017.31982421875
2018-03-06,datawallet,0.0980731,82165.1015625
2018-03-07,datawallet,0.0750978,13756.2998046875
2018-03-08,datawallet,0.0779738,24671.19921875
2018-03-09,datawallet,0.0784749,30976.599609375
2018-03-10,datawallet,0.0720273,463457
2018-03-11,datawallet,0.0715658,443359
2018-03-12,datawallet,0.0637558,1073300
2018-03-13,datawallet,0.0754968,2461520
2018-03-14,datawallet,0.0615261,2519920
2018-03-15,datawallet,0.0550727,224624
2018-03-16,datawallet,0.0444469,190622
2018-03-17,datawallet,0.0497803,249465
2018-03-18,datawallet,0.0413943,437598
2018-03-19,datawallet,0.0435856,771587
2018-03-20,datawallet,0.0459735,342088
2018-03-21,datawallet,0.0461483,578657
2018-03-22,datawallet,0.0454334,509142
2018-03-23,datawallet,0.0456892,592389
2018-03-24,datawallet,0.0442959,460049
2018-03-25,datawallet,0.04197,392121
2018-03-26,datawallet,0.0389032,411176
2018-03-27,datawallet,0.0361866,302514
2018-03-28,datawallet,0.0342303,198207
2018-03-29,datawallet,0.0285227,84732.296875
2018-03-30,datawallet,0.0266169,53569.1015625
2018-03-31,datawallet,0.0266367,96535.5
2018-04-01,datawallet,0.0249057,261939
2018-04-02,datawallet,0.0258042,309432
2018-04-03,datawallet,0.0264447,232112
2018-04-04,datawallet,0.0248097,281149
2018-04-05,datawallet,0.0247259,207058
2018-04-06,datawallet,0.02612,297284
2018-04-07,datawallet,0.0268369,239878
2018-04-08,datawallet,0.0297033,279953
2018-04-09,datawallet,0.0279538,213923
2018-04-10,datawallet,0.0287459,222418
2018-04-11,datawallet,0.0306625,208194
2018-04-12,datawallet,0.0315827,283877
2018-04-13,datawallet,0.0352044,458583
2018-04-14,datawallet,0.0329445,332060
2018-04-15,datawallet,0.0344976,344872
2018-04-16,datawallet,0.0326781,303681
2018-04-17,datawallet,0.0291337,270134
2018-04-18,datawallet,0.0322964,652442
2018-04-19,datawallet,0.0333794,520105
2018-04-20,datawallet,0.0583637,1377690
2018-04-21,datawallet,0.0551168,1182550
2018-04-22,datawallet,0.0591645,1403350
2018-04-23,datawallet,0.0523695,1153070
2018-04-24,datawallet,0.0708211,1700340
2018-04-25,datawallet,0.0616576,1476800
2018-04-26,datawallet,0.0617452,1337920
2018-04-27,datawallet,0.0574119,1275770
2018-04-28,datawallet,0.0580799,1190530
2018-04-29,datawallet,0.0561733,1129980
2018-04-30,datawallet,0.0523611,1015900
2018-05-01,datawallet,0.0522878,745614
2018-05-02,datawallet,0.0569153,766791
2018-05-03,datawallet,0.0570328,732219
2018-05-04,datawallet,0.0563711,798280
2018-05-05,datawallet,0.054212,691557
2018-05-06,datawallet,0.0537945,655479
2018-05-07,datawallet,0.0513406,645246
2018-05-08,datawallet,0.0475229,560168
2018-05-09,datawallet,0.0460034,327249
2018-05-10,datawallet,0.0520763,637236
2018-05-11,datawallet,0.0508537,837284
2018-05-12,datawallet,0.052545,860549
2018-05-13,datawallet,0.0583258,1008360
2018-05-14,datawallet,0.0624336,1025320
2018-05-15,datawallet,0.0775072,1535130
2018-05-16,datawallet,0.074873,1125590
2018-05-17,datawallet,0.0659198,944575
2018-05-18,datawallet,0.0671098,950550
