day,asset,close,volume
2018-01-01,eos,8.84318,331072992
2018-01-02,eos,9.33471,552188992
2018-01-03,eos,10.2279,529459008
2018-01-04,eos,11.2755,1204969984
2018-01-05,eos,10.8396,618755008
2018-01-06,eos,12.5797,688819008
2018-01-07,eos,12.5219,781497024
2018-01-08,eos,9.69265,697174976
2018-01-09,eos,9.32694,546937024
2018-01-10,eos,11.3383,1211789952
2018-01-11,eos,11.3549,1161849984
2018-01-12,eos,13.7458,2449370112
2018-01-13,eos,16.2339,3379130112
2018-01-14,eos,13.4357,1162419968
2018-01-15,eos,12.9445,806380992
2018-01-16,eos,10.2759,1599730048
2018-01-17,eos,10.1943,1625250048
2018-01-18,eos,10.5051,1266300032
2018-01-19,eos,11.1845,845596032
2018-01-20,eos,15.5187,2777449984
2018-01-21,eos,13.436,2887800064
2018-01-22,eos,13.6581,2902200064
2018-01-23,eos,12.9713,1614680064
2018-01-24,eos,13.8341,1050800000
2018-01-25,eos,14.3146,1546860032
2018-01-26,eos,14.3449,1444039936
2018-01-27,eos,14.2745,653830976
2018-01-28,eos,15.0205,646950016
2018-01-29,eos,14.0089,565307008
2018-01-30,eos,11.5648,980342016
2018-01-31,eos,12.2046,1008809984
2018-02-01,eos,10.2099,919859008
2018-02-02,eos,9.78534,1534140032
2018-02-03,eos,9.83994,736278016
2018-02-04,eos,8.60566,588172032
2018-02-05,eos,7.05755,640158976
2018-02-06,eos,8.34023,1304850048
2018-02-07,eos,7.61401,762883968
2018-02-08,eos,8.51483,542067968
2018-02-09,eos,9.65337,507606016
2018-02-10,eos,9.10061,609065984
2018-02-11,eos,8.41451,408012992
2018-02-12,eos,9.18069,353976000
2018-02-13,eos,9.21318,365436000
2018-02-14,eos,9.96617,480308992
2018-02-15,eos,10.1682,392064992
2018-02-16,eos,10.0186,249798000
2018-02-17,eos,10.1537,276848992
2018-02-18,eos,9.37809,353808000
2018-02-19,eos,9.68348,225362000
2018-02-20,eos,9.27744,305780992
2018-02-21,eos,8.7606,298552992
2018-02-22,eos,8.09236,295638016
2018-02-23,eos,8.58217,284364992
2018-02-24,eos,8.19444,241756992
2018-02-25,eos,7.89541,173548992
2018-02-26,eos,8.1305,251184992
2018-02-27,eos,8.57306,330184992
2018-02-28,eos,8.41254,380052992
2018-03-01,eos,8.62709,214126000
2018-03-02,eos,8.08986,211631008
2018-03-03,eos,8.00294,141850000
2018-03-04,eos,8.17847,195810000
2018-03-05,eos,8.05161,183715008
2018-03-06,eos,7.24853,233026000
2018-03-07,eos,6.50744,423460000
2018-03-08,eos,6.20432,299364992
2018-03-09,eos,6.1335,429200992
2018-03-10,eos,5.80398,309652992
2018-03-11,eos,6.13886,271828992
2018-03-12,eos,5.83233,206551008
2018-03-13,eos,5.86066,199199008
2018-03-14,eos,5.34031,210732992
2018-03-15,eos,5.16871,293299008
2018-03-16,eos,5.08647,184719008
2018-03-17,eos,4.67322,140080000
2018-03-18,eos,4.64956,333500992
2018-03-19,eos,6.35712,660668992
2018-03-20,eos,6.01385,667072000
2018-03-21,eos,7.02874,765790016
2018-03-22,eos,7.02758,1062430016
2018-03-23,eos,7.00516,846830016
2018-03-24,eos,6.629,357179008
2018-03-25,eos,6.51816,274460000
2018-03-26,eos,5.903,553672000
2018-03-27,eos,5.91161,877542976
2018-03-28,eos,6.29243,616041984
2018-03-29,eos,6.01549,626902976
2018-03-30,eos,6.1033,506609984
2018-03-31,eos,5.99299,224212992
2018-04-01,eos,5.66382,401303008
2018-04-02,eos,5.88791,314995008
2018-04-03,eos,6.13322,306368992
2018-04-04,eos,5.72753,260820000
2018-04-05,eos,6.40132,542464000
2018-04-06,eos,5.88952,451440992
2018-04-07,eos,5.90741,220028000
2018-04-08,eos,5.97392,166915008
2018-04-09,eos,5.87323,226564992
2018-04-10,eos,6.00018,225494000
2018-04-11,eos,8.48938,1818530048
2018-04-12,eos,8.70154,1717360000
2018-04-13,eos,8.7445,936742976
2018-04-14,eos,8.60247,811486976
2018-04-15,eos,8.39965,861262976
2018-04-16,eos,8.10468,455204000
2018-04-17,eos,8.50975,798768000
2018-04-18,eos,9.03072,518188992
2018-04-19,eos,9.44321,554115968
2018-04-20,eos,11.4508,1512339968
2018-04-21,eos,11.1114,1142259968
2018-04-22,eos,11.3496,1001900032
2018-04-23,eos,11.6057,662115968
2018-04-24,eos,15.3066,3223780096
2018-04-25,eos,14.459,3005040128
2018-04-26,eos,15.4865,1566850048
2018-04-27,eos,16.6676,2486409984
2018-04-28,eos,18.8674,2728300032
2018-04-29,eos,21.5426,4870720000
2018-04-30,eos,17.5801,4073370112
2018-05-01,eos,18.9539,3330129920
2018-05-02,eos,19.2094,2410370048
2018-05-03,eos,17.7677,2266540032
2018-05-04,eos,17.1521,1749309952
2018-05-05,eos,17.7985,1614729984
2018-05-06,eos,17.4736,1434829952
2018-05-07,eos,17.9809,2000850048
2018-05-08,eos,18.1361,1449939968
2018-05-09,eos,17.9402,1199539968
2018-05-10,eos,17.5407,1287810048
2018-05-11,eos,14.9029,2919820032
2018-05-12,eos,14.2548,3091069952
2018-05-13,eos,14.9378,1589949952
2018-05-14,eos,14.0223,1702960000
2018-05-15,eos,12.9924,1371869952
2018-05-16,eos,12.77,1534140032
2018-05-17,eos,12.4313,1644329984
2018-05-18,eos,13.0043,1343680000
2018-05-19,eos,13.1654,1018750016
2018-05-20,eos,14.006,1228359936
2018-05-21,eos,13.5107,1063000000
2018-05-22,eos,12.2651,991158976
2018-05-23,eos,10.8844,1591750016
2018-05-24,eos,12.749,2161890048
2018-05-25,eos,12.2871,1624390016
2018-05-26,eos,12.3514,1085629952
2018-05-27,eos,12.5086,939929024
2018-05-28,eos,11.6423,1580160000
2018-05-29,eos,12.1829,1877299968
2018-05-30,eos,12.0143,1269209984
2018-05-31,eos,12.2773,1142809984
2018-06-01,eos,12.3067,1058150016
2018-06-02,eos,14.7362,2884720128
2018-06-03,eos,14.6208,1631840000
2018-06-04,eos,13.5464,1297159936
2018-06-05,eos,14.2041,1445139968
2018-06-06,eos,13.9385,1022289984
2018-06-07,eos,14.5893,1017480000
2018-06-08,eos,14.04,1105590016
2018-06-09,eos,14.095,1175320064
2018-06-10,eos,11.3873,2317139968
2018-06-11,eos,11.5925,1570569984
2018-06-12,eos,10.2217,1052700032
2018-06-13,eos,10.1465,1266409984
2018-06-14,eos,11.3003,1409440000
2018-06-15,eos,10.66,936732992
2018-06-16,eos,10.6307,680969984
2018-06-17,eos,10.4437,432120992
2018-06-18,eos,10.7218,720630016
2018-06-19,eos,10.7269,715926016
2018-06-20,eos,10.4176,852286976
2018-06-21,eos,10.4215,662139008
2018-06-22,eos,8.65752,1258310016
2018-06-23,eos,8.41038,709977024
2018-06-24,eos,8.09018,1397600000
2018-06-25,eos,8.24442,905011968
2018-06-26,eos,7.5056,629339008
2018-06-27,eos,8.01184,716035968
2018-06-28,eos,7.45324,724915008
2018-06-29,eos,7.73065,802745984
2018-06-30,eos,8.13482,832537984
2018-07-01,eos,8.13098,621643008
2018-07-02,eos,8.88699,1024129984
2018-07-03,eos,8.84231,1006099968
2018-07-04,eos,8.88524,935387008
2018-07-05,eos,8.92559,958548992
2018-07-06,eos,8.67894,604649984
2018-07-07,eos,9.02251,490260992
2018-07-08,eos,8.71497,491667008
2018-07-09,eos,7.74556,707878016
2018-07-10,eos,7.2061,707110016
2018-07-11,eos,7.18749,599606976
2018-07-12,eos,6.89638,597379968
2018-07-13,eos,6.95618,586718016
2018-07-14,eos,6.98945,396983008
2018-07-15,eos,7.40368,501440000
2018-07-16,eos,8.10515,716972032
2018-07-17,eos,8.7757,847793984
2018-07-18,eos,8.61194,929459008
2018-07-19,eos,8.39039,852908992
2018-07-20,eos,7.89685,810102976
2018-07-21,eos,8.04568,551660032
2018-07-22,eos,7.89635,497159008
2018-07-23,eos,7.96591,630787008
2018-07-24,eos,8.60443,1007480000
2018-07-25,eos,8.50881,835307008
2018-07-26,eos,8.32178,644028992
