day,asset,close,volume
2018-04-23,fintrux-network,0.30811,102017
2018-04-24,fintrux-network,0.260472,58573.3984375
2018-04-25,fintrux-network,0.224082,45921.1015625
2018-04-26,fintrux-network,0.217454,67891.1015625
2018-04-27,fintrux-network,0.216983,153893
2018-04-28,fintrux-network,0.266804,200680
2018-04-29,fintrux-network,0.396301,848960
2018-04-30,fintrux-network,0.323117,778368
2018-05-01,fintrux-network,0.282345,532975
2018-05-02,fintrux-network,0.273542,510037
2018-05-03,fintrux-network,0.26974,507273
2018-05-04,fintrux-network,0.252229,479389
2018-05-05,fintrux-network,0.279006,449298
2018-05-06,fintrux-network,0.258635,394206
2018-05-07,fintrux-network,0.230686,371000
2018-05-08,fintrux-network,0.229361,326778
2018-05-09,fintrux-network,0.22944,481455
2018-05-10,fintrux-network,0.229826,376407
2018-05-11,fintrux-network,0.215679,385932
2018-05-12,fintrux-network,0.210688,339055
2018-05-13,fintrux-network,0.216343,378596
2018-05-14,fintrux-network,0.207285,294644
2018-05-15,fintrux-network,0.203557,255850
2018-05-16,fintrux-network,0.193538,259344
2018-05-17,fintrux-network,0.191023,267398
2018-05-18,fintrux-network,0.190139,248958
2018-05-19,fintrux-network,0.179869,294072
2018-05-20,fintrux-network,0.173786,213882
2018-05-21,fintrux-network,0.162405,155890
2018-05-22,fintrux-network,0.150765,248562
2018-05-23,fintrux-network,0.136371,582343
2018-05-24,fintrux-network,0.13589,535381
2018-05-25,fintrux-network,0.127452,538719
2018-05-26,fintrux-network,0.123974,514118
2018-05-27,fintrux-network,0.118095,571184
2018-05-28,fintrux-network,0.111104,539471
2018-05-29,fintrux-network,0.0923697,681133
2018-05-30,fintrux-network,0.0991268,289997
2018-05-31,fintrux-network,0.100799,570841
2018-06-01,fintrux-network,0.0960889,293054
2018-06-02,fintrux-network,0.0845841,188049
2018-06-03,fintrux-network,0.0907236,172130
2018-06-04,fintrux-network,0.0778833,140654
2018-06-05,fintrux-network,0.0772912,150241
2018-06-06,fintrux-network,0.0740164,132667
2018-06-07,fintrux-network,0.0818117,153126
2018-06-08,fintrux-network,0.0794326,130908
2018-06-09,fintrux-network,0.0759034,139781
2018-06-10,fintrux-network,0.0639865,112514
2018-06-11,fintrux-network,0.0642386,106669
2018-06-12,fintrux-network,0.0591076,95793.796875
2018-06-13,fintrux-network,0.0535893,101503
2018-06-14,fintrux-network,0.0575858,105327
2018-06-15,fintrux-network,0.0555491,98936.703125
2018-06-16,fintrux-network,0.0552702,105376
2018-06-17,fintrux-network,0.0535731,98388.5
2018-06-18,fintrux-network,0.0555331,101065
2018-06-19,fintrux-network,0.0571753,103103
2018-06-20,fintrux-network,0.055409,100596
2018-06-21,fintrux-network,0.0526453,86874.203125
2018-06-22,fintrux-network,0.0424011,77652
2018-06-23,fintrux-network,0.041364,76484.3984375
2018-06-24,fintrux-network,0.0406585,68427.796875
2018-06-25,fintrux-network,0.0378965,78792.796875
2018-06-26,fintrux-network,0.0361812,63344.19921875
2018-06-27,fintrux-network,0.0359087,59547.69921875
