day,asset,close,volume
2018-01-26,fortuna,0.207182,4547580
2018-01-27,fortuna,0.19577,2933400
2018-01-28,fortuna,0.174718,4032450
2018-01-29,fortuna,0.159817,7608190
2018-01-30,fortuna,0.140883,4525580
2018-01-31,fortuna,0.13831,3354180
2018-02-01,fortuna,0.120893,5046970
2018-02-02,fortuna,0.105867,2436470
2018-02-03,fortuna,0.111131,1702580
2018-02-04,fortuna,0.0939397,750882
2018-02-05,fortuna,0.0802766,749094
2018-02-06,fortuna,0.100142,941255
2018-02-07,fortuna,0.0898452,2937130
2018-02-08,fortuna,0.0909832,6279400
2018-02-09,fortuna,0.0938959,962466
2018-02-10,fortuna,0.0830182,1534760
2018-02-11,fortuna,0.076211,2759850
2018-02-12,fortuna,0.0896378,2597950
2018-02-13,fortuna,0.079376,957016
2018-02-14,fortuna,0.0978116,1827010
2018-02-15,fortuna,0.0933471,790824
2018-02-16,fortuna,0.100192,3209890
2018-02-17,fortuna,0.11617,1332480
2018-02-18,fortuna,0.105894,1472750
2018-02-19,fortuna,0.10957,707839
2018-02-20,fortuna,0.087297,261031
2018-02-21,fortuna,0.0799075,1102720
2018-02-22,fortuna,0.0753146,838281
2018-02-23,fortuna,0.0769122,116640
2018-02-24,fortuna,0.0733688,156372
2018-02-25,fortuna,0.0711115,107114
2018-02-26,fortuna,0.0713437,190887
2018-02-27,fortuna,0.0666721,73622.5
2018-02-28,fortuna,0.0672547,102128
2018-03-01,fortuna,0.0626325,128897
2018-03-02,fortuna,0.0617909,183333
2018-03-03,fortuna,0.058231,139167
2018-03-04,fortuna,0.0576465,113383
2018-03-05,fortuna,0.0590654,100413
2018-03-06,fortuna,0.0537006,118298
2018-03-07,fortuna,0.0481696,115449
2018-03-08,fortuna,0.0470704,336600
2018-03-09,fortuna,0.0457042,1029350
2018-03-10,fortuna,0.0474357,662045
2018-03-11,fortuna,0.0513176,421967
2018-03-12,fortuna,0.0489967,356204
2018-03-13,fortuna,0.0494401,144888
2018-03-14,fortuna,0.0417651,465835
2018-03-15,fortuna,0.0381642,511027
2018-03-16,fortuna,0.0391585,870407
2018-03-17,fortuna,0.0418885,897670
2018-03-18,fortuna,0.0381288,904098
2018-03-19,fortuna,0.0447721,830435
2018-03-20,fortuna,0.0504221,934351
2018-03-21,fortuna,0.054804,954728
2018-03-22,fortuna,0.0511537,896957
2018-03-23,fortuna,0.0519734,848131
2018-03-24,fortuna,0.0460412,885881
2018-03-25,fortuna,0.0524052,885786
2018-03-26,fortuna,0.0588481,697291
2018-03-27,fortuna,0.0508087,746980
2018-03-28,fortuna,0.0527629,464590
2018-03-29,fortuna,0.0440769,426523
2018-03-30,fortuna,0.0446325,459959
2018-03-31,fortuna,0.0463777,499765
2018-04-01,fortuna,0.0472215,469938
2018-04-02,fortuna,0.0492419,496747
2018-04-03,fortuna,0.0460795,678729
2018-04-04,fortuna,0.0408137,570646
2018-04-05,fortuna,0.0438732,422140
2018-04-06,fortuna,0.0407844,570500
2018-04-07,fortuna,0.04482,596529
2018-04-08,fortuna,0.0446128,587813
2018-04-09,fortuna,0.0415926,483072
2018-04-10,fortuna,0.044297,523941
2018-04-11,fortuna,0.0440106,550304
2018-04-12,fortuna,0.0478657,508993
2018-04-13,fortuna,0.0507762,798554
2018-04-14,fortuna,0.0505077,716013
2018-04-15,fortuna,0.0510179,584110
2018-04-16,fortuna,0.0500277,572582
2018-04-17,fortuna,0.0492236,652404
2018-04-18,fortuna,0.0560875,1062250
2018-04-19,fortuna,0.0626925,1095020
2018-04-20,fortuna,0.0807063,1688220
2018-04-21,fortuna,0.0755454,1648710
2018-04-22,fortuna,0.0781313,1330570
2018-04-23,fortuna,0.0752333,1022940
2018-04-24,fortuna,0.0778016,1316560
2018-04-25,fortuna,0.0658053,1344690
2018-04-26,fortuna,0.0717844,1508870
2018-04-27,fortuna,0.0685878,1341470
2018-04-28,fortuna,0.0687356,1766610
2018-04-29,fortuna,0.0715933,984217
2018-04-30,fortuna,0.0658828,1463280
2018-05-01,fortuna,0.0703878,781992
2018-05-02,fortuna,0.0651174,1246870
2018-05-03,fortuna,0.0648265,1587260
2018-05-04,fortuna,0.0643874,1310410
2018-05-05,fortuna,0.0631566,1348270
2018-05-06,fortuna,0.0609295,1177740
2018-05-07,fortuna,0.0567244,1083390
2018-05-08,fortuna,0.053793,1105960
2018-05-09,fortuna,0.0496714,1140830
2018-05-10,fortuna,0.0487781,1164300
2018-05-11,fortuna,0.0475229,1060710
2018-05-12,fortuna,0.0456793,1026170
2018-05-13,fortuna,0.0484876,1147990
2018-05-14,fortuna,0.0466798,1188450
2018-05-15,fortuna,0.0465286,954633
2018-05-16,fortuna,0.0473294,1042880
2018-05-17,fortuna,0.0492559,1111990
2018-05-18,fortuna,0.0488904,1126070
2018-05-19,fortuna,0.0519924,1104260
2018-05-20,fortuna,0.0533683,976618
2018-05-21,fortuna,0.0517599,1075240
2018-05-22,fortuna,0.0502707,861214
2018-05-23,fortuna,0.0468886,927668
2018-05-24,fortuna,0.0481313,620304
2018-05-25,fortuna,0.046626,1233460
2018-05-26,fortuna,0.0568558,1509630
2018-05-27,fortuna,0.0580291,1174520
2018-05-28,fortuna,0.0548467,1391250
2018-05-29,fortuna,0.0501781,890840
2018-05-30,fortuna,0.0493801,885129
2018-05-31,fortuna,0.0550541,843495
2018-06-01,fortuna,0.0571221,886519
2018-06-02,fortuna,0.0567491,928909
2018-06-03,fortuna,0.0518405,996906
2018-06-04,fortuna,0.0470619,988698
2018-06-05,fortuna,0.0480139,981666
2018-06-06,fortuna,0.0477039,936074
2018-06-07,fortuna,0.0467488,1005470
2018-06-08,fortuna,0.0450762,985343
2018-06-09,fortuna,0.0439264,1017580
2018-06-10,fortuna,0.0382857,1067200
2018-06-11,fortuna,0.0356733,1009220
2018-06-12,fortuna,0.0353621,941064
2018-06-13,fortuna,0.0296403,1010400
2018-06-14,fortuna,0.0356536,1012330
2018-06-15,fortuna,0.033006,946347
2018-06-16,fortuna,0.0321458,895910
