day,asset,close,volume
2018-05-10,fuzex,0.0573306,225465
2018-05-11,fuzex,0.0784836,442541
2018-05-12,fuzex,0.0776311,348495
2018-05-13,fuzex,0.0869325,324606
2018-05-14,fuzex,0.0934969,451061
2018-05-15,fuzex,0.082772,550413
2018-05-16,fuzex,0.0803475,542315
2018-05-17,fuzex,0.0718591,301197
2018-05-18,fuzex,0.0719801,274753
2018-05-19,fuzex,0.0742259,250053
2018-05-20,fuzex,0.0702394,167696
2018-05-21,fuzex,0.0573974,263201
2018-05-22,fuzex,0.049205,182395
2018-05-23,fuzex,0.0446697,235263
2018-05-24,fuzex,0.0400814,159867
2018-05-25,fuzex,0.0347957,134691
2018-05-26,fuzex,0.0395871,566363
2018-05-27,fuzex,0.0443117,844037
2018-05-28,fuzex,0.0353127,1002450
2018-05-29,fuzex,0.0382403,379083
2018-05-30,fuzex,0.0380254,121168
2018-05-31,fuzex,0.0410952,222032
2018-06-01,fuzex,0.0421952,195529
2018-06-02,fuzex,0.0437645,178602
2018-06-03,fuzex,0.0476281,1142250
2018-06-04,fuzex,0.0456921,249686
2018-06-05,fuzex,0.0495061,680428
2018-06-06,fuzex,0.051846,675764
2018-06-07,fuzex,0.0501689,1763920
2018-06-08,fuzex,0.0540715,1789860
2018-06-09,fuzex,0.0517758,146681
2018-06-10,fuzex,0.0398427,240373
2018-06-11,fuzex,0.0392215,117315
2018-06-12,fuzex,0.0334926,56177.3984375
2018-06-13,fuzex,0.0293274,83310.203125
2018-06-14,fuzex,0.0382983,107577
2018-06-15,fuzex,0.0334045,120221
2018-06-16,fuzex,0.0317791,68123.6015625
2018-06-17,fuzex,0.0339685,24249.69921875
2018-06-18,fuzex,0.0321759,47020.69921875
2018-06-19,fuzex,0.032792,77610.203125
2018-06-20,fuzex,0.0329626,49566.3984375
2018-06-21,fuzex,0.0340608,41899.5
2018-06-22,fuzex,0.0286806,76058.6015625
2018-06-23,fuzex,0.0310385,27803.30078125
2018-06-24,fuzex,0.0284229,54376.30078125
2018-06-25,fuzex,0.0272429,60761
2018-06-26,fuzex,0.0270419,37715.30078125
2018-06-27,fuzex,0.02793,57268
2018-06-28,fuzex,0.0324938,54116.8984375
2018-06-29,fuzex,0.0304224,49830.3984375
2018-06-30,fuzex,0.0311381,106712
2018-07-01,fuzex,0.0327445,54382.3984375
2018-07-02,fuzex,0.0366774,81052.296875
2018-07-03,fuzex,0.0332162,71167.296875
2018-07-04,fuzex,0.0315506,38001.80078125
2018-07-05,fuzex,0.0294918,57745.69921875
2018-07-06,fuzex,0.0314745,34808.3984375
2018-07-07,fuzex,0.0306216,43932.5
2018-07-08,fuzex,0.0309164,24873.80078125
2018-07-09,fuzex,0.0297392,73227.1015625
2018-07-10,fuzex,0.026633,28399.5
2018-07-11,fuzex,0.0256734,29766
2018-07-12,fuzex,0.0245677,29786.099609375
2018-07-13,fuzex,0.0255063,23696.5
2018-07-14,fuzex,0.0252996,12639.900390625
2018-07-15,fuzex,0.0257054,22095.19921875
2018-07-16,fuzex,0.0254185,46348.8984375
2018-07-17,fuzex,0.0281898,95555.5
2018-07-18,fuzex,0.0270254,31294.19921875
2018-07-19,fuzex,0.0251949,31931.19921875
2018-07-20,fuzex,0.0240001,91558.6015625
2018-07-21,fuzex,0.0296019,93809.6015625
2018-07-22,fuzex,0.0363176,227948
2018-07-23,fuzex,0.0328184,85482.3984375
2018-07-24,fuzex,0.032182,59558.1015625
2018-07-25,fuzex,0.0366941,127406
2018-07-26,fuzex,0.041101,197678
2018-07-27,fuzex,0.0488934,691063
2018-07-28,fuzex,0.0578316,593260
2018-07-29,fuzex,0.0511236,444306
2018-07-30,fuzex,0.0500741,358562
2018-07-31,fuzex,0.0354467,186625
2018-08-01,fuzex,0.0400941,241753
2018-08-02,fuzex,0.0454827,232129
2018-08-03,fuzex,0.0436737,235610
2018-08-04,fuzex,0.0412389,114461
2018-08-05,fuzex,0.0404686,72437.9
2018-08-06,fuzex,0.039367,90769.4
2018-08-07,fuzex,0.0410893,130930
2018-08-08,fuzex,0.0358554,169785
2018-08-09,fuzex,0.0445065,235814
2018-08-10,fuzex,0.0430194,488770
2018-08-11,fuzex,0.0425515,135460
2018-08-12,fuzex,0.0410511,105858
2018-08-13,fuzex,0.0380067,218200
2018-08-14,fuzex,0.0353516,155163
2018-08-15,fuzex,0.0319854,108825
2018-08-16,fuzex,0.0348129,151517
2018-08-17,fuzex,0.0364216,159890
2018-08-18,fuzex,0.0344226,94143.5
2018-08-19,fuzex,0.0363069,72248.8
2018-08-20,fuzex,0.0311687,99435.2
2018-08-21,fuzex,0.0348344,222817
2018-08-22,fuzex,0.0339054,98223
2018-08-23,fuzex,0.0348684,86035.9
2018-08-24,fuzex,0.0341332,137416
2018-08-25,fuzex,0.0332484,349927
2018-08-26,fuzex,0.0322339,47094.6
2018-08-27,fuzex,0.032267,63071.4
2018-08-28,fuzex,0.0360123,146562
2018-08-29,fuzex,0.0354416,104219
2018-08-30,fuzex,0.0340162,221007
2018-08-31,fuzex,0.0283371,150648
2018-09-01,fuzex,0.0293926,74544.4
2018-09-02,fuzex,0.0274028,43890.2
2018-09-03,fuzex,0.0265536,66017.8
2018-09-04,fuzex,0.0255611,61461.1
2018-09-05,fuzex,0.0211965,54061.9
2018-09-06,fuzex,0.0206724,45385.5
2018-09-07,fuzex,0.0196909,36965.5
2018-09-08,fuzex,0.0183135,28850.2
2018-09-09,fuzex,0.022382,33084.5
2018-09-10,fuzex,0.0246291,135105
2018-09-11,fuzex,0.0233937,224013
2018-09-12,fuzex,0.0219622,75276.2
2018-09-13,fuzex,0.0278011,734516
2018-09-14,fuzex,0.0335537,840347
2018-09-15,fuzex,0.03399,223089
2018-09-16,fuzex,0.0329782,94501.8
2018-09-17,fuzex,0.0295557,695135
2018-09-18,fuzex,0.0307691,183758
2018-09-19,fuzex,0.0303307,871513
2018-09-20,fuzex,0.0302448,502690
2018-09-21,fuzex,0.0290562,641361
2018-09-22,fuzex,0.0274265,525180
2018-09-23,fuzex,0.0235698,528995
2018-09-24,fuzex,0.0241209,158815
2018-09-25,fuzex,0.0206641,158123
2018-09-26,fuzex,0.0196275,104815
2018-09-27,fuzex,0.0195398,83293.5
2018-09-28,fuzex,0.0199322,139210
2018-09-29,fuzex,0.0194752,589177
2018-09-30,fuzex,0.0194506,218522
2018-10-01,fuzex,0.0201224,427503
2018-10-02,fuzex,0.0201504,1331890
2018-10-03,fuzex,0.0191916,848510
2018-10-04,fuzex,0.0222957,664594
2018-10-05,fuzex,0.0204476,4002870
2018-10-06,fuzex,0.0214171,15815200
2018-10-07,fuzex,0.0221264,9802100
2018-10-08,fuzex,0.0206877,2396050
2018-10-09,fuzex,0.020675,269982
2018-10-10,fuzex,0.0201037,73202
2018-10-11,fuzex,0.0169616,78744.7
2018-10-12,fuzex,0.0159296,132632
2018-10-13,fuzex,0.0128127,408877
2018-10-14,fuzex,0.0132939,1092610
2018-10-15,fuzex,0.0123139,190211
2018-10-16,fuzex,0.0166979,120000
2018-10-17,fuzex,0.0152207,266087
2018-10-18,fuzex,0.0155001,12257.5
2018-10-19,fuzex,0.0143181,39974.9
2018-10-20,fuzex,0.0148743,116547
2018-10-21,fuzex,0.0126857,25332.6
2018-10-22,fuzex,0.0128858,15017.6
2018-10-23,fuzex,0.0134436,13380
2018-10-24,fuzex,0.013156,25137
2018-10-25,fuzex,0.0121768,36193.5
2018-10-26,fuzex,0.0122719,43162.8
2018-10-27,fuzex,0.0122977,55562.2
2018-10-28,fuzex,0.0121878,7619.88
2018-10-29,fuzex,0.0114447,20099.8
2018-10-30,fuzex,0.0118481,17908.4
2018-10-31,fuzex,0.0111275,17106.5
2018-11-01,fuzex,0.0109027,6555.62
2018-11-02,fuzex,0.010394,13103.6
2018-11-03,fuzex,0.0103892,7975.16
2018-11-04,fuzex,0.0105642,8635.53
2018-11-05,fuzex,0.0104607,13419.7
2018-11-06,fuzex,0.0105009,8178.33
2018-11-07,fuzex,0.00992907,10741.4
2018-11-08,fuzex,0.00979463,7640.32
2018-11-09,fuzex,0.00894876,9092.98
2018-11-10,fuzex,0.00885062,15127.8
2018-11-11,fuzex,0.00843983,23718
2018-11-12,fuzex,0.00911992,20675.9
2018-11-13,fuzex,0.00874316,5891.4
2018-11-14,fuzex,0.00716948,13102.6
2018-11-15,fuzex,0.00682587,4584.21
2018-11-16,fuzex,0.00672292,7027.77
2018-11-17,fuzex,0.00612032,9682.62
2018-11-18,fuzex,0.00622455,4969.5
2018-11-19,fuzex,0.0049348,8263.37
2018-11-20,fuzex,0.00461852,4901.47
2018-11-21,fuzex,0.00409661,16691.1
2018-11-22,fuzex,0.00428123,2148.33
2018-11-23,fuzex,0.00395571,3836.9
2018-11-24,fuzex,0.00366408,1232.97
2018-11-25,fuzex,0.00351748,4467.58
2018-11-26,fuzex,0.00268508,6111.48
2018-11-27,fuzex,0.00277284,860.508
2018-11-28,fuzex,0.00354662,854.606
2018-11-29,fuzex,0.003935628,769.205354978755
2018-11-30,fuzex,0.003521611,6105.5961482675
2018-12-01,fuzex,0.0033523426,6203.29858684935
2018-12-02,fuzex,0.003839066,749.701378376725
2018-12-03,fuzex,0.0030096134,1295.80849687444
2018-12-04,fuzex,0.003934993,1705.86145915041
2018-12-05,fuzex,0.0031878566,842.954011451204
2018-12-06,fuzex,0.0030496095,2525.37067592083
2018-12-07,fuzex,0.0026908473,1710.36970627444
2018-12-08,fuzex,0.00304961,378.25190281383
2018-12-09,fuzex,0.0026949544,2576.33843866892
2018-12-10,fuzex,0.0029725954,386.224632163445
2018-12-11,fuzex,0.002857298,441.807464244832
2018-12-12,fuzex,0.0027270815,264.11308350569
2018-12-13,fuzex,0.0029292381,20.2112830519886
2018-12-14,fuzex,0.0023821027,20.4673941601527
2018-12-15,fuzex,0.0023060509,18.4783020945733
2018-12-16,fuzex,0.0024056192,2103.31660456328
2018-12-17,fuzex,0.0031132803,600.037945084695
2018-12-18,fuzex,0.0023955163,4381.77125905875
2018-12-19,fuzex,0.0027653694,3947.01734016977
