day,asset,close,volume
2018-06-13,gochain,0.0233385,1495680
2018-06-14,gochain,0.0229119,2490340
2018-06-15,gochain,0.0218198,1599050
2018-06-16,gochain,0.0205785,1233170
2018-06-17,gochain,0.0201414,979390
2018-06-18,gochain,0.019205,1502800
2018-06-19,gochain,0.0245813,1855710
2018-06-20,gochain,0.0279537,5513710
2018-06-21,gochain,0.0294544,802701
2018-06-22,gochain,0.0249428,859043
2018-06-23,gochain,0.0269393,263845
2018-06-24,gochain,0.0256187,384430
2018-06-25,gochain,0.0248633,484469
2018-06-26,gochain,0.0223246,831911
2018-06-27,gochain,0.0233055,781872
2018-06-28,gochain,0.021283,696126
2018-06-29,gochain,0.0229074,485051
2018-06-30,gochain,0.0258217,147171
2018-07-01,gochain,0.0310177,889228
2018-07-02,gochain,0.0346309,2028870
2018-07-03,gochain,0.0412297,3131270
2018-07-04,gochain,0.0415544,2740790
2018-07-05,gochain,0.054443,3897020
2018-07-06,gochain,0.0591706,3583410
2018-07-07,gochain,0.0592737,3133440
2018-07-08,gochain,0.0780044,6109250
2018-07-09,gochain,0.10163,8880570
2018-07-10,gochain,0.0685895,8525130
2018-07-11,gochain,0.0741248,3577110
2018-07-12,gochain,0.0676203,4754700
2018-07-13,gochain,0.0721376,4397990
2018-07-14,gochain,0.0643521,1104480
2018-07-15,gochain,0.0704873,1844730
2018-07-16,gochain,0.0801671,1937940
2018-07-17,gochain,0.0918949,3336630
2018-07-18,gochain,0.0844048,2706040
2018-07-19,gochain,0.0810292,2323340
2018-07-20,gochain,0.0712112,2019640
2018-07-21,gochain,0.0686683,1493000
2018-07-22,gochain,0.0712127,871816
2018-07-23,gochain,0.0659576,1701690
2018-07-24,gochain,0.0694146,1181020
2018-07-25,gochain,0.0603605,1562600
2018-07-26,gochain,0.0637099,1206820
2018-07-27,gochain,0.0637751,754635
2018-07-28,gochain,0.0596767,547101
2018-07-29,gochain,0.0642469,857402
2018-07-30,gochain,0.055693,1225110
2018-07-31,gochain,0.0470257,681287
2018-08-01,gochain,0.0487737,940076
2018-08-02,gochain,0.0469435,1002340
2018-08-03,gochain,0.0442923,1203960
2018-08-04,gochain,0.042151,949745
2018-08-05,gochain,0.0449192,677073
2018-08-06,gochain,0.0427133,789079
2018-08-07,gochain,0.0393545,749458
2018-08-08,gochain,0.0340197,770423
2018-08-09,gochain,0.0332141,685214
2018-08-10,gochain,0.0272316,551289
2018-08-11,gochain,0.0283473,559495
2018-08-12,gochain,0.030328,673595
2018-08-13,gochain,0.0265804,585036
2018-08-14,gochain,0.0222888,683696
2018-08-15,gochain,0.0248451,596870
2018-08-16,gochain,0.0261687,667443
2018-08-17,gochain,0.0320234,621277
2018-08-18,gochain,0.0301409,481707
2018-08-19,gochain,0.0312356,431655
2018-08-20,gochain,0.0286322,658230
2018-08-21,gochain,0.0283787,743162
2018-08-22,gochain,0.0271598,796510
2018-08-23,gochain,0.0291233,652189
2018-08-24,gochain,0.0306225,764215
2018-08-25,gochain,0.0333632,912654
2018-08-26,gochain,0.0330335,898620
2018-08-27,gochain,0.0464371,2642150
2018-08-28,gochain,0.066966,5048270
2018-08-29,gochain,0.0653575,5502470
2018-08-30,gochain,0.0611456,3399330
2018-08-31,gochain,0.0617909,3413110
2018-09-01,gochain,0.0634909,3132050
2018-09-02,gochain,0.0627225,3145820
2018-09-03,gochain,0.0667554,4105290
2018-09-04,gochain,0.0719881,12757900
2018-09-05,gochain,0.0569989,5257730
2018-09-06,gochain,0.0569931,2883580
2018-09-07,gochain,0.0566633,3394450
2018-09-08,gochain,0.0506599,2246200
2018-09-09,gochain,0.0509407,2169590
2018-09-10,gochain,0.0511534,1406100
2018-09-11,gochain,0.0598283,7931360
2018-09-12,gochain,0.0457869,12034100
2018-09-13,gochain,0.0426403,5521860
2018-09-14,gochain,0.0405995,4205560
2018-09-15,gochain,0.0393357,2434830
2018-09-16,gochain,0.0399591,3109970
2018-09-17,gochain,0.0347569,3032040
2018-09-18,gochain,0.0371809,4435860
2018-09-19,gochain,0.036742,3137900
2018-09-20,gochain,0.0378817,2304840
2018-09-21,gochain,0.0376292,2411080
2018-09-22,gochain,0.0355246,1485340
2018-09-23,gochain,0.0369068,1664570
2018-09-24,gochain,0.0348528,1072130
2018-09-25,gochain,0.0324611,1472390
2018-09-26,gochain,0.0326451,1484780
2018-09-27,gochain,0.0336048,1101960
2018-09-28,gochain,0.033191,1374090
2018-09-29,gochain,0.0332273,1155880
2018-09-30,gochain,0.0342133,3781900
2018-10-01,gochain,0.0340177,1717560
2018-10-02,gochain,0.0335143,1373000
2018-10-03,gochain,0.0326973,1132250
2018-10-04,gochain,0.0354068,1990340
2018-10-05,gochain,0.0351649,1627780
2018-10-06,gochain,0.0354175,1735080
2018-10-07,gochain,0.0354151,1595930
2018-10-08,gochain,0.0356483,1128910
2018-10-09,gochain,0.03502,1140830
2018-10-10,gochain,0.0344334,1280200
2018-10-11,gochain,0.0303043,1180940
