day,asset,close,volume
2018-06-07,hurify,0.106656,1393930
2018-06-08,hurify,0.0956329,801970
2018-06-09,hurify,0.100835,779910
2018-06-10,hurify,0.082764,947475
2018-06-11,hurify,0.073775,187338
2018-06-12,hurify,0.0722512,1972650
2018-06-13,hurify,0.0732577,713977
2018-06-14,hurify,0.071878,210054
2018-06-15,hurify,0.0810048,488698
2018-06-16,hurify,0.0309478,48677
2018-06-17,hurify,0.0307664,343572
2018-06-18,hurify,0.0354825,70660.5
2018-06-19,hurify,0.0290788,56154
2018-06-20,hurify,0.0335957,120922
2018-06-21,hurify,0.0264013,351060
2018-06-22,hurify,0.0356363,251718
2018-06-23,hurify,0.0263121,334388
2018-06-24,hurify,0.0297036,412218
2018-06-25,hurify,0.0306905,159683
2018-06-26,hurify,0.0252569,353367
2018-06-27,hurify,0.0244673,52118.30078125
2018-06-28,hurify,0.0210927,8147.39990234375
2018-06-29,hurify,0.0217575,106.52799987792969
2018-06-30,hurify,0.0219648,263.3290100097656
2018-07-01,hurify,0.0238158,6720.259765625
2018-07-02,hurify,0.0290336,119842
2018-07-03,hurify,0.0281504,138157
2018-07-04,hurify,0.028365,140243
2018-07-05,hurify,0.0309532,392551
2018-07-06,hurify,0.0399403,249164
2018-07-07,hurify,0.0415379,80166.703125
2018-07-08,hurify,0.0460068,515550
2018-07-09,hurify,0.0491657,262481
2018-07-10,hurify,0.0406119,273550
2018-07-11,hurify,0.0467005,161302
2018-07-12,hurify,0.0415942,94756.796875
2018-07-13,hurify,0.0398519,89643.703125
2018-07-14,hurify,0.0411981,122968
2018-07-15,hurify,0.0291764,83108.203125
2018-07-16,hurify,0.0426074,117912
2018-07-17,hurify,0.0418048,186820
2018-07-18,hurify,0.0378298,144594
2018-07-19,hurify,0.0362722,14274.2998046875
2018-07-20,hurify,0.0356024,121041
2018-07-21,hurify,0.0353016,69380.6015625
2018-07-22,hurify,0.0308193,133091
2018-07-23,hurify,0.0292476,67887.703125
2018-07-24,hurify,0.0277739,148370
2018-07-25,hurify,0.0275198,204272
2018-07-26,hurify,0.0254027,527406
2018-07-27,hurify,0.0229304,87564.796875
2018-07-28,hurify,0.0237642,87017.6015625
2018-07-29,hurify,0.0220895,181012
2018-07-30,hurify,0.0237494,75222.7
2018-07-31,hurify,0.0244315,21410.5
2018-08-01,hurify,0.0211392,20139.9
2018-08-02,hurify,0.016523,36923.7
2018-08-03,hurify,0.0160444,13165.6
2018-08-04,hurify,0.0152542,889.719
2018-08-05,hurify,0.0132352,1717.56
2018-08-06,hurify,0.0131586,22906.7
2018-08-07,hurify,0.0147747,14712
2018-08-08,hurify,0.0130856,45595.1
2018-08-09,hurify,0.0149068,81014.4
2018-08-10,hurify,0.0109373,108837
2018-08-11,hurify,0.0125815,56893.3
2018-08-12,hurify,0.0127682,47580.4
2018-08-13,hurify,0.013481,36745.7
2018-08-14,hurify,0.00776231,6010.44
2018-08-15,hurify,0.00951051,38582.7
2018-08-16,hurify,0.00946891,5107.33
2018-08-17,hurify,0.010169,47706
2018-08-18,hurify,0.0100833,51003.6
2018-08-19,hurify,0.0103525,35460.4
2018-08-20,hurify,0.00861486,4375.77
2018-08-21,hurify,0.0099888,7135.2
2018-08-22,hurify,0.00924693,3681.91
2018-08-23,hurify,0.0054644,7715.73
2018-08-24,hurify,0.00615117,17015.2
2018-08-25,hurify,0.00545297,1664.15
2018-08-26,hurify,0.00592963,1843.61
2018-08-27,hurify,0.00550953,21903.5
2018-08-28,hurify,0.00602609,26457.6
2018-08-29,hurify,0.00611316,50087.6
