day,asset,close,volume
2018-03-27,ip-exchange,0.0063062,539393
2018-03-28,ip-exchange,0.00609749,456746
2018-03-29,ip-exchange,0.00530193,524809
2018-03-30,ip-exchange,0.0052754,548676
2018-03-31,ip-exchange,0.00702829,1290200
2018-04-01,ip-exchange,0.00641573,1356490
2018-04-02,ip-exchange,0.0056659,1165760
2018-04-03,ip-exchange,0.00578827,981000
2018-04-04,ip-exchange,0.00517572,766402
2018-04-05,ip-exchange,0.00354948,643571
2018-04-06,ip-exchange,0.00387311,1167620
2018-04-07,ip-exchange,0.00421326,1102000
2018-04-08,ip-exchange,0.00444724,1156070
2018-04-09,ip-exchange,0.00415046,829493
2018-04-10,ip-exchange,0.00511639,1069570
2018-04-11,ip-exchange,0.00500302,880156
2018-04-12,ip-exchange,0.00571006,1104240
2018-04-13,ip-exchange,0.00608979,1301180
2018-04-14,ip-exchange,0.00577482,1267890
2018-04-15,ip-exchange,0.00632007,1843800
2018-04-16,ip-exchange,0.00750011,1509430
2018-04-17,ip-exchange,0.00782821,1294190
2018-04-18,ip-exchange,0.00824661,1287480
2018-04-19,ip-exchange,0.00939406,1223750
2018-04-20,ip-exchange,0.0109934,972592
2018-04-21,ip-exchange,0.0107431,1271010
2018-04-22,ip-exchange,0.0108257,1185290
2018-04-23,ip-exchange,0.00964467,1036810
2018-04-24,ip-exchange,0.0120413,1400710
2018-04-25,ip-exchange,0.0104172,1113960
2018-04-26,ip-exchange,0.011444,1449180
2018-04-27,ip-exchange,0.0132487,1304720
2018-04-28,ip-exchange,0.0155108,2007870
2018-04-29,ip-exchange,0.0151324,1634250
2018-04-30,ip-exchange,0.0148903,1777950
2018-05-01,ip-exchange,0.0144615,1739870
2018-05-02,ip-exchange,0.0139851,1693890
2018-05-03,ip-exchange,0.0144515,1636320
2018-05-04,ip-exchange,0.0126115,769807
2018-05-05,ip-exchange,0.0131546,1001170
2018-05-06,ip-exchange,0.0114024,770300
2018-05-07,ip-exchange,0.011045,855661
2018-05-08,ip-exchange,0.0111945,883053
2018-05-09,ip-exchange,0.0112378,762491
