day,asset,close,volume
2018-05-08,live-stars,0.0795067,144179
2018-05-09,live-stars,0.0850089,140176
2018-05-10,live-stars,0.0955129,205553
2018-05-11,live-stars,0.0793134,148362
2018-05-12,live-stars,0.0804713,69943
2018-05-13,live-stars,0.071015,134554
2018-05-14,live-stars,0.0616136,68126.703125
2018-05-15,live-stars,0.06555,134177
2018-05-16,live-stars,0.0741647,100679
2018-05-17,live-stars,0.0647308,120243
2018-05-18,live-stars,0.0738307,135660
2018-05-19,live-stars,0.0741689,36798.6015625
2018-05-20,live-stars,0.0672851,91876.203125
2018-05-21,live-stars,0.072319,118767
2018-05-22,live-stars,0.0741905,123438
2018-05-23,live-stars,0.0607629,107175
2018-05-24,live-stars,0.0547932,16241.7001953125
2018-05-25,live-stars,0.0530911,109792
2018-05-26,live-stars,0.0471437,5646.18994140625
2018-05-27,live-stars,0.0461829,73023.296875
2018-05-28,live-stars,0.0481367,76827.796875
2018-05-29,live-stars,0.0479651,90189
2018-05-30,live-stars,0.0456304,79338.203125
2018-05-31,live-stars,0.0430328,54203.6015625
2018-06-01,live-stars,0.0406825,83940.296875
2018-06-02,live-stars,0.0385456,5622.330078125
2018-06-03,live-stars,0.0392975,121062
2018-06-04,live-stars,0.0385433,78620.296875
2018-06-05,live-stars,0.0388158,48263.30078125
2018-06-06,live-stars,0.0358007,61197.19921875
2018-06-07,live-stars,0.0354527,4170.93017578125
2018-06-08,live-stars,0.0320476,62131.5
2018-06-09,live-stars,0.0337318,34878.19921875
2018-06-10,live-stars,0.0278746,38630.69921875
2018-06-11,live-stars,0.0279095,28222.69921875
2018-06-12,live-stars,0.0242941,2752.77001953125
2018-06-13,live-stars,0.023076,26572.5
2018-06-14,live-stars,0.0249553,29657.5
2018-06-15,live-stars,0.0255884,35463.3984375
2018-06-16,live-stars,0.0263682,31659.69921875
2018-06-17,live-stars,0.0263224,335.22698974609375
2018-06-18,live-stars,0.0276087,37316.19921875
2018-06-19,live-stars,0.0272058,32079.099609375
2018-06-20,live-stars,0.0288903,16724
2018-06-21,live-stars,0.0282326,1312.5400390625
2018-06-22,live-stars,0.0252333,532.9080200195312
2018-06-23,live-stars,0.0246701,218.61599731445312
2018-06-24,live-stars,0.0244652,14363.7998046875
2018-06-25,live-stars,0.0249925,25699.400390625
2018-06-26,live-stars,0.0241772,35672.8984375
2018-06-27,live-stars,0.0255693,26319.099609375
2018-06-28,live-stars,0.0243387,28622.099609375
2018-06-29,live-stars,0.0259014,51293.1015625
2018-06-30,live-stars,0.0266931,6594.93017578125
2018-07-01,live-stars,0.026145,29083.400390625
2018-07-02,live-stars,0.0268898,52978.69921875
2018-07-03,live-stars,0.0242561,29725.30078125
2018-07-04,live-stars,0.0244521,31335.599609375
2018-07-05,live-stars,0.0179101,21052.30078125
2018-07-06,live-stars,0.0191044,15453.099609375
2018-07-07,live-stars,0.0186747,27145.400390625
2018-07-08,live-stars,0.0185158,23135.19921875
2018-07-09,live-stars,0.0192684,8082.14990234375
2018-07-10,live-stars,0.0246956,39223.3984375
2018-07-11,live-stars,0.022561,17525.80078125
2018-07-12,live-stars,0.0205804,14470.099609375
2018-07-13,live-stars,0.0204514,901.7550048828125
2018-07-14,live-stars,0.0214334,15.898500442504883
2018-07-15,live-stars,0.0216879,7225.330078125
2018-07-16,live-stars,0.0208553,16583.69921875
2018-07-17,live-stars,0.0243999,7446.68994140625
2018-07-18,live-stars,0.023676,18569.19921875
2018-07-19,live-stars,0.0215784,11288
2018-07-20,live-stars,0.0185203,10897.5
2018-07-21,live-stars,0.0207298,17523
2018-07-22,live-stars,0.0190302,19340.30078125
2018-07-23,live-stars,0.0196488,14280.5
2018-07-24,live-stars,0.0182995,17058.599609375
2018-07-25,live-stars,0.0177382,16495.30078125
2018-07-26,live-stars,0.0171757,16488.900390625
2018-07-27,live-stars,0.0188369,11668.2001953125
2018-07-28,live-stars,0.0196464,24113.69921875
2018-07-29,live-stars,0.0187293,10244.2998046875
2018-07-30,live-stars,0.0185146,16264.9
2018-07-31,live-stars,0.0174914,15455
2018-08-01,live-stars,0.0176504,11714.3
2018-08-02,live-stars,0.0193031,9613.04
2018-08-03,live-stars,0.0181588,7288.61
2018-08-04,live-stars,0.0166155,7204.94
2018-08-05,live-stars,0.0190155,8350.84
2018-08-06,live-stars,0.0192262,8489.34
2018-08-07,live-stars,0.0170651,7246.89
2018-08-08,live-stars,0.0144172,11004
2018-08-09,live-stars,0.0150517,9459.76
2018-08-10,live-stars,0.0154716,10261.9
2018-08-11,live-stars,0.0146817,6557.38
2018-08-12,live-stars,0.0139797,6630.41
2018-08-13,live-stars,0.012728,5889.38
2018-08-14,live-stars,0.00992452,6289.8
2018-08-15,live-stars,0.014513,9311.22
2018-08-16,live-stars,0.0115755,648.229
2018-08-17,live-stars,0.0157144,729.599
2018-08-18,live-stars,0.0136972,2134.51
2018-08-19,live-stars,0.013057,2984.37
2018-08-20,live-stars,0.011946,391.855
2018-08-21,live-stars,0.0138755,101.697
2018-08-22,live-stars,0.0138144,48.3505
2018-08-23,live-stars,0.0124185,157.201
2018-08-24,live-stars,0.0122129,7512.79
2018-08-25,live-stars,0.0132255,7756.75
2018-08-26,live-stars,0.0135111,8750.53
2018-08-27,live-stars,0.014912,6872.73
2018-08-28,live-stars,0.0128242,6948.98
2018-08-29,live-stars,0.0133776,334.343
2018-08-30,live-stars,0.0130666,393.666
2018-08-31,live-stars,0.0126878,6300.99
2018-09-01,live-stars,0.0143731,87.986
2018-09-02,live-stars,0.0136314,7502.3
2018-09-03,live-stars,0.0141714,7386.6
2018-09-04,live-stars,0.0133843,8477.57
2018-09-05,live-stars,0.012133,262.037
2018-09-06,live-stars,0.0128226,7199.26
2018-09-07,live-stars,0.0128983,6476.39
2018-09-08,live-stars,0.0118866,30.3537
2018-09-09,live-stars,0.0120357,169.589
2018-09-10,live-stars,0.0124379,6306.98
2018-09-11,live-stars,0.0107018,6465.82
2018-09-12,live-stars,0.0113642,5384.76
2018-09-13,live-stars,0.0111784,184.86
2018-09-14,live-stars,0.0112445,2966.68
2018-09-15,live-stars,0.0119387,3449.12
2018-09-16,live-stars,0.0117581,2851.49
2018-09-17,live-stars,0.0114042,2129.64
2018-09-18,live-stars,0.0130153,845.706
2018-09-19,live-stars,0.0137959,251.903
2018-09-20,live-stars,0.0143209,699.478
2018-09-21,live-stars,0.0138192,166.541
2018-09-22,live-stars,0.0135438,25.8968
2018-09-23,live-stars,0.0133858,1440.48
2018-09-24,live-stars,0.0131786,2539.69
2018-09-25,live-stars,0.011964,158.593
2018-09-26,live-stars,0.0110968,952.779
2018-09-27,live-stars,0.0117421,1990.59
2018-09-28,live-stars,0.0106196,655.508
2018-09-29,live-stars,0.0106343,317.664
2018-09-30,live-stars,0.00973316,901.217
2018-10-01,live-stars,0.00793079,524.219
2018-10-02,live-stars,0.011153,2281.69
2018-10-03,live-stars,0.0118787,3032.55
2018-10-04,live-stars,0.011265,517.476
2018-10-05,live-stars,0.0113635,30.6773
2018-10-06,live-stars,0.0131649,1650.16
2018-10-07,live-stars,0.00917924,170.76
2018-10-08,live-stars,0.0108679,1057.77
2018-10-09,live-stars,0.0100819,26.4898
2018-10-10,live-stars,0.0104173,790.128
2018-10-11,live-stars,0.00944436,163.855
2018-10-12,live-stars,0.0107066,134.202
2018-10-13,live-stars,0.0111513,720.623
2018-10-14,live-stars,0.0100796,163.131
2018-10-15,live-stars,0.0112198,773.276
2018-10-16,live-stars,0.0137303,350.578
2018-10-17,live-stars,0.0136338,72.8132
2018-10-18,live-stars,0.0118539,6.49051
2018-10-19,live-stars,0.0127714,146.536
2018-10-20,live-stars,0.0117766,107.868
2018-10-21,live-stars,0.0121252,625.674
2018-10-22,live-stars,0.01226,48.7192
2018-10-23,live-stars,0.0122929,5.67262
2018-10-24,live-stars,0.0138623,297.626
2018-10-25,live-stars,0.0196199,1048.76
2018-10-26,live-stars,0.0160277,779.475
2018-10-27,live-stars,0.0180142,246.29
2018-10-28,live-stars,0.0232209,2330.81
2018-10-29,live-stars,0.0121292,6035.97
2018-10-30,live-stars,0.0115809,10317
2018-10-31,live-stars,0.00962062,4828.52
2018-11-01,live-stars,0.00967908,2193.36
2018-11-02,live-stars,0.00867301,1069.9
2018-11-03,live-stars,0.00930925,141.572
2018-11-04,live-stars,0.00855911,82.7607
2018-11-05,live-stars,0.00879138,104.593
2018-11-06,live-stars,0.00920168,116.01
2018-11-07,live-stars,0.00901942,74.2452
2018-11-08,live-stars,0.00918344,798.317
2018-11-09,live-stars,0.00870075,183.336
2018-11-10,live-stars,0.00751618,1107.04
2018-11-11,live-stars,0.00754151,195.826
2018-11-12,live-stars,0.00748413,563.41
2018-11-13,live-stars,0.00751199,11.2644
2018-11-14,live-stars,0.00666908,106.534
2018-11-15,live-stars,0.00632106,127.979
2018-11-16,live-stars,0.00815814,1624.04
2018-11-17,live-stars,0.00749586,1865.29
2018-11-18,live-stars,0.00700147,491.014
2018-11-19,live-stars,0.00704823,148.726
2018-11-20,live-stars,0.00603811,319.46
2018-11-21,live-stars,0.00607072,33.5713
2018-11-22,live-stars,0.00575268,7.99305
2018-11-23,live-stars,0.00577457,9.72322
2018-11-24,live-stars,0.00507546,19.7654
2018-11-25,live-stars,0.00477053,542.069
2018-11-26,live-stars,0.00418417,82.5866
2018-11-27,live-stars,0.00408684,47.6717
2018-11-28,live-stars,0.00480971,32.7957
2018-11-29,live-stars,0.004873518,1572.04686202405
2018-11-30,live-stars,0.004373383,27.1942832793955
2018-12-01,live-stars,0.0030491105,903.89617958096
2018-12-02,live-stars,0.0031056686,184.813779965681
2018-12-03,live-stars,0.0031404416,705.921593765286
2018-12-04,live-stars,0.0031970819,89.6725835075758
2018-12-05,live-stars,0.003299444,91.9222006683705
2018-12-06,live-stars,0.0031650313,365.639861662403
2018-12-07,live-stars,0.0031143434,47.5468694560739
2018-12-08,live-stars,0.0040719453,44.8047412202679
2018-12-09,live-stars,0.0033192856,20.0089809222854
2018-12-10,live-stars,0.003923508,84.6007267210583
2018-12-11,live-stars,0.0037670496,16.415484261132
2018-12-12,live-stars,0.0041166884,7.81180621244438
2018-12-13,live-stars,0.003210871,40.4999681278606
2018-12-14,live-stars,0.002947189,441.826621964669
2018-12-15,live-stars,0.002916679,0
2018-12-16,live-stars,0.0034334827,20.0201811549227
2018-12-17,live-stars,0.0034516044,0
2018-12-18,live-stars,0.0033334107,57.0013243070171
2018-12-19,live-stars,0.0033774744,75.1804294236407
2018-12-20,live-stars,0.0040195975,183.153433665712
2018-12-21,live-stars,0.003933738,0
2018-12-22,live-stars,0.0037319274,2.03777708386125
2018-12-23,live-stars,0.0039582066,9.55610613954568
2018-12-24,live-stars,0.004027359,0
2018-12-25,live-stars,0.003438544,55.312356281876
2018-12-26,live-stars,0.0034025172,97.9976292635101
2018-12-27,live-stars,0.0037194649,84.7868752085044
2018-12-28,live-stars,0.0040263426,0
2018-12-29,live-stars,0.0040263426,0
2018-12-30,live-stars,0.0038243148,36.2531142598202
2018-12-31,live-stars,0.0036981604,0
2019-01-01,live-stars,0.0035717327,21.4368006941558
2019-01-02,live-stars,0.0036763994,2.2116181794838
2019-01-03,live-stars,0.0035064952,21.8626231924085
2019-01-04,live-stars,0.0034330338,46.2721974677473
2019-01-05,live-stars,0.003247725,165.95247074745
2019-01-06,live-stars,0.003750587,0.396573164996859
2019-01-07,live-stars,0.0033780513,1854.39343273639
2019-01-08,live-stars,0.003422889,2.0591135763262
2019-01-09,live-stars,0.0033064273,4076.02949216683
2019-01-10,live-stars,0.003119231,2.21465404354604
2019-01-11,live-stars,0.002500963,314.112257696723
2019-01-12,live-stars,0.0024862494,283.426055433549
2019-01-13,live-stars,0.0024100307,3053.69119025258
2019-01-14,live-stars,0.0025152394,2969.52112414403
2019-01-15,live-stars,0.002510207,0
2019-01-16,live-stars,0.002510207,0
2019-01-17,live-stars,0.002510207,0
2019-01-18,live-stars,0.002510207,0
2019-01-19,live-stars,0.002510207,0
2019-01-20,live-stars,0.002510207,0
2019-01-21,live-stars,0.002510207,0
2019-01-22,live-stars,0.002510207,0
2019-01-23,live-stars,0.002510207,0
2019-01-24,live-stars,0.002510207,0
2019-01-25,live-stars,0.002510207,0
2019-01-26,live-stars,0.002510207,0
2019-01-27,live-stars,0.002510207,0
2019-01-28,live-stars,0.002510207,0
2019-01-29,live-stars,0.002510207,0
2019-01-30,live-stars,0.002510207,0
2019-01-31,live-stars,0.002510207,0
