day,asset,close,volume
2018-06-20,merculet,0.00935333,7767890
2018-06-21,merculet,0.0102183,6400800
2018-06-22,merculet,0.00894496,5216940
2018-06-23,merculet,0.00902673,4321520
2018-06-24,merculet,0.00897697,4791430
2018-06-25,merculet,0.00842809,3805260
2018-06-26,merculet,0.00790935,4082800
2018-06-27,merculet,0.0080902,4761620
2018-06-28,merculet,0.00811903,4770650
2018-06-29,merculet,0.0082264,2056690
2018-06-30,merculet,0.00890513,1557810
2018-07-01,merculet,0.0103002,2008670
2018-07-02,merculet,0.0101335,2898730
2018-07-03,merculet,0.0120784,4201190
2018-07-04,merculet,0.0131241,1823320
2018-07-05,merculet,0.0141363,1625060
2018-07-06,merculet,0.0133879,1638100
2018-07-07,merculet,0.0133431,1786650
2018-07-08,merculet,0.0132648,1184440
2018-07-09,merculet,0.0128159,2973970
2018-07-10,merculet,0.0114401,2790600
2018-07-11,merculet,0.0109651,1518060
2018-07-12,merculet,0.00922315,552803
2018-07-13,merculet,0.0115354,1270120
2018-07-14,merculet,0.0106039,1428600
2018-07-15,merculet,0.009803,1659250
2018-07-16,merculet,0.00937311,579255
2018-07-17,merculet,0.00901487,493820
2018-07-18,merculet,0.00781327,576521
2018-07-19,merculet,0.00734678,503493
2018-07-20,merculet,0.00690828,289387
2018-07-21,merculet,0.00653755,246757
2018-07-22,merculet,0.00624409,178903
2018-07-23,merculet,0.00595097,96772.3984375
2018-07-24,merculet,0.00593401,111339
2018-07-25,merculet,0.00564062,92876.3984375
2018-07-26,merculet,0.00454992,126093
2018-07-27,merculet,0.00502546,267122
2018-07-28,merculet,0.00494032,372172
2018-07-29,merculet,0.00575041,798381
2018-07-30,merculet,0.00485805,397219
2018-07-31,merculet,0.00443217,163651
2018-08-01,merculet,0.00449634,131892
2018-08-02,merculet,0.00429588,76921
2018-08-03,merculet,0.00461157,143105
2018-08-04,merculet,0.00436656,107578
2018-08-05,merculet,0.00458206,122144
2018-08-06,merculet,0.00479404,146670
2018-08-07,merculet,0.00433541,81138.7
2018-08-08,merculet,0.00399387,144392
2018-08-09,merculet,0.00392549,158878
2018-08-10,merculet,0.00326456,138331
2018-08-11,merculet,0.00276564,79922.2
2018-08-12,merculet,0.00272077,24314.6
2018-08-13,merculet,0.00242015,71982.9
2018-08-14,merculet,0.00198033,64461.4
2018-08-15,merculet,0.0018355,40896.7
2018-08-16,merculet,0.00166011,48182
2018-08-17,merculet,0.00193705,40078
2018-08-18,merculet,0.00177612,44824.6
2018-08-19,merculet,0.00183161,31997.4
2018-08-20,merculet,0.0017354,44272.5
2018-08-21,merculet,0.00180197,36211.5
2018-08-22,merculet,0.00163516,42213.2
2018-08-23,merculet,0.00171759,34575.6
2018-08-24,merculet,0.00188863,69865.1
2018-08-25,merculet,0.00187535,69030.9
2018-08-26,merculet,0.00178156,20528.5
2018-08-27,merculet,0.00191138,38881.8
2018-08-28,merculet,0.00191591,100790
