day,asset,close,volume
2018-01-20,mobius,0.454331,2280470
2018-01-21,mobius,0.317888,771248
2018-01-22,mobius,0.294756,1285380
2018-01-23,mobius,0.274539,727412
2018-01-24,mobius,0.274323,1066940
2018-01-25,mobius,0.267093,861079
2018-01-26,mobius,0.336793,1683160
2018-01-27,mobius,0.345273,910429
2018-01-28,mobius,0.325562,603061
2018-01-29,mobius,0.287256,574210
2018-01-30,mobius,0.262277,918715
2018-01-31,mobius,0.284032,591435
2018-02-01,mobius,0.221494,751365
2018-02-02,mobius,0.214986,335565
2018-02-03,mobius,0.230927,434744
2018-02-04,mobius,0.203951,267986
2018-02-05,mobius,0.149586,419142
2018-02-06,mobius,0.184233,373441
2018-02-07,mobius,0.179428,242581
2018-02-08,mobius,0.180172,150958
2018-02-09,mobius,0.202677,282006
2018-02-10,mobius,0.201209,332015
2018-02-11,mobius,0.200229,342361
2018-02-12,mobius,0.267131,892740
2018-02-13,mobius,0.268169,8371250
2018-02-14,mobius,0.261289,3776550
2018-02-15,mobius,0.239616,1830410
2018-02-16,mobius,0.242766,1733490
2018-02-17,mobius,0.243182,1209550
2018-02-18,mobius,0.215423,1438210
2018-02-19,mobius,0.212665,977399
2018-02-20,mobius,0.186499,1007800
2018-02-21,mobius,0.17262,823063
2018-02-22,mobius,0.170088,567324
2018-02-23,mobius,0.176194,470486
2018-02-24,mobius,0.165929,399870
2018-02-25,mobius,0.156428,422748
2018-02-26,mobius,0.155556,469264
2018-02-27,mobius,0.169636,839448
2018-02-28,mobius,0.150958,278404
2018-03-01,mobius,0.145325,227051
2018-03-02,mobius,0.141595,406585
2018-03-03,mobius,0.150076,381396
2018-03-04,mobius,0.156265,813145
2018-03-05,mobius,0.152235,322589
2018-03-06,mobius,0.135947,377090
2018-03-07,mobius,0.119495,977764
2018-03-08,mobius,0.10568,482881
2018-03-09,mobius,0.0944976,558658
2018-03-10,mobius,0.0973719,371308
2018-03-11,mobius,0.101559,123107
2018-03-12,mobius,0.102365,240566
2018-03-13,mobius,0.100485,174060
2018-03-14,mobius,0.0937045,183053
2018-03-15,mobius,0.09076,158548
2018-03-16,mobius,0.0909348,268795
2018-03-17,mobius,0.0790085,255380
2018-03-18,mobius,0.0716352,284081
2018-03-19,mobius,0.0798044,240815
2018-03-20,mobius,0.083681,295371
2018-03-21,mobius,0.0812968,160219
2018-03-22,mobius,0.0816216,135437
2018-03-23,mobius,0.0772471,92076.1015625
2018-03-24,mobius,0.0746192,273321
2018-03-25,mobius,0.0770893,108902
2018-03-26,mobius,0.0696642,161860
2018-03-27,mobius,0.0662808,107199
2018-03-28,mobius,0.0661621,94433.3984375
2018-03-29,mobius,0.0570065,79815.203125
2018-03-30,mobius,0.0594844,150762
2018-03-31,mobius,0.059867,136433
2018-04-01,mobius,0.0565247,123057
2018-04-02,mobius,0.0582956,104782
2018-04-03,mobius,0.0830769,353601
2018-04-04,mobius,0.0729369,1837520
2018-04-05,mobius,0.0749873,729527
2018-04-06,mobius,0.0593603,66501.6015625
2018-04-07,mobius,0.0616316,58097.8984375
2018-04-08,mobius,0.0601842,91470.5
2018-04-09,mobius,0.0587044,169512
2018-04-10,mobius,0.0583989,89680.296875
2018-04-11,mobius,0.060772,168709
2018-04-12,mobius,0.0648986,378735
2018-04-13,mobius,0.0675424,641708
2018-04-14,mobius,0.0660956,538786
2018-04-15,mobius,0.0687121,551407
2018-04-16,mobius,0.0658176,625313
2018-04-17,mobius,0.0656005,358991
2018-04-18,mobius,0.0667402,672858
2018-04-19,mobius,0.0769436,1223960
2018-04-20,mobius,0.09694,2000270
2018-04-21,mobius,0.0914162,1409140
2018-04-22,mobius,0.106469,1578440
2018-04-23,mobius,0.137151,5306470
2018-04-24,mobius,0.133171,2505830
2018-04-25,mobius,0.108408,2201040
2018-04-26,mobius,0.113094,1022510
2018-04-27,mobius,0.112045,1045660
2018-04-28,mobius,0.115542,1053480
2018-04-29,mobius,0.116749,1297710
2018-04-30,mobius,0.1101,652463
2018-05-01,mobius,0.106698,772246
2018-05-02,mobius,0.112563,1073650
2018-05-03,mobius,0.1124,1060270
2018-05-04,mobius,0.110308,588447
2018-05-05,mobius,0.107273,826721
2018-05-06,mobius,0.103249,726689
2018-05-07,mobius,0.0954597,663278
2018-05-08,mobius,0.0933122,561485
2018-05-09,mobius,0.0945226,744012
2018-05-10,mobius,0.0907198,687000
2018-05-11,mobius,0.0791043,671718
2018-05-12,mobius,0.0801461,541056
2018-05-13,mobius,0.0837225,465362
2018-05-14,mobius,0.0826619,576919
2018-05-15,mobius,0.0791434,316077
2018-05-16,mobius,0.0762019,361193
2018-05-17,mobius,0.076137,227436
2018-05-18,mobius,0.0757435,174588
2018-05-19,mobius,0.0778763,398549
2018-05-20,mobius,0.0808402,203580
2018-05-21,mobius,0.0759177,354200
2018-05-22,mobius,0.0706154,290994
2018-05-23,mobius,0.065521,353517
2018-05-24,mobius,0.0685431,233054
2018-05-25,mobius,0.066267,262864
2018-05-26,mobius,0.0660365,135436
2018-05-27,mobius,0.0628276,156263
2018-05-28,mobius,0.0581067,292807
2018-05-29,mobius,0.0636836,189179
2018-05-30,mobius,0.068952,952758
2018-05-31,mobius,0.0703858,407855
2018-06-01,mobius,0.0723013,350455
2018-06-02,mobius,0.0742109,345590
2018-06-03,mobius,0.0713184,503031
2018-06-04,mobius,0.0669921,345676
2018-06-05,mobius,0.0679168,398388
2018-06-06,mobius,0.0675745,431432
2018-06-07,mobius,0.0659392,310700
2018-06-08,mobius,0.0618475,317714
2018-06-09,mobius,0.0598697,263213
2018-06-10,mobius,0.0552459,346047
2018-06-11,mobius,0.0540551,363355
2018-06-12,mobius,0.050144,381805
2018-06-13,mobius,0.0471213,313694
2018-06-14,mobius,0.0507507,346648
2018-06-15,mobius,0.050431,400639
2018-06-16,mobius,0.0498008,303530
2018-06-17,mobius,0.0498385,180379
2018-06-18,mobius,0.0494013,406260
2018-06-19,mobius,0.048407,307392
2018-06-20,mobius,0.046479,278070
2018-06-21,mobius,0.0444056,258201
2018-06-22,mobius,0.0409208,302216
2018-06-23,mobius,0.0391967,473743
2018-06-24,mobius,0.0382104,472230
2018-06-25,mobius,0.0408599,393456
2018-06-26,mobius,0.0378213,302462
2018-06-27,mobius,0.0393787,564982
2018-06-28,mobius,0.0366453,352674
2018-06-29,mobius,0.0371069,189031
2018-06-30,mobius,0.0390851,86029.8984375
2018-07-01,mobius,0.0386429,306192
2018-07-02,mobius,0.042015,247616
2018-07-03,mobius,0.0415006,300244
2018-07-04,mobius,0.0436663,105544
2018-07-05,mobius,0.0416681,108802
2018-07-06,mobius,0.0414327,196799
2018-07-07,mobius,0.0416524,74393.6015625
2018-07-08,mobius,0.0432281,117902
2018-07-09,mobius,0.0448106,138849
2018-07-10,mobius,0.0415098,137226
2018-07-11,mobius,0.0393028,90301.1015625
2018-07-12,mobius,0.0450371,444280
