day,asset,close,volume
2018-05-22,morpheus-network,0.403338,193829
2018-05-23,morpheus-network,0.354858,229024
2018-05-24,morpheus-network,0.391197,137694
2018-05-25,morpheus-network,0.472586,252152
2018-05-26,morpheus-network,0.655784,656571
2018-05-27,morpheus-network,0.647347,420765
2018-05-28,morpheus-network,0.664877,942313
2018-05-29,morpheus-network,0.603457,663008
2018-05-30,morpheus-network,0.590714,308372
2018-05-31,morpheus-network,0.754563,1006890
2018-06-01,morpheus-network,0.695554,868759
2018-06-02,morpheus-network,0.711582,629099
2018-06-03,morpheus-network,0.726545,537383
2018-06-04,morpheus-network,0.737082,601652
2018-06-05,morpheus-network,0.706282,1100850
2018-06-06,morpheus-network,0.64691,854212
2018-06-07,morpheus-network,0.60828,1198450
2018-06-08,morpheus-network,0.5398,1140430
2018-06-09,morpheus-network,0.531159,1404720
2018-06-10,morpheus-network,0.469655,1699310
2018-06-11,morpheus-network,0.496753,1100990
2018-06-12,morpheus-network,0.433339,1173660
2018-06-13,morpheus-network,0.428587,1346850
2018-06-14,morpheus-network,0.431877,1391440
2018-06-15,morpheus-network,0.377961,1162340
2018-06-16,morpheus-network,0.36156,1326830
2018-06-17,morpheus-network,0.353565,1148340
2018-06-18,morpheus-network,0.370071,1266800
2018-06-19,morpheus-network,0.363424,961589
2018-06-20,morpheus-network,0.325661,5070720
2018-06-21,morpheus-network,0.255299,3201560
2018-06-22,morpheus-network,0.0390983,1682210
2018-06-23,morpheus-network,0.135686,1630650
2018-06-24,morpheus-network,0.129585,1489290
2018-08-03,morpheus-network,0.163186,9056.95
2018-08-04,morpheus-network,0.150725,2695.47
2018-08-05,morpheus-network,0.164205,3987.38
2018-08-06,morpheus-network,0.174414,8443.95
2018-08-07,morpheus-network,0.227473,34591.2
2018-08-08,morpheus-network,0.197383,17072.7
2018-08-09,morpheus-network,0.188819,13168.4
2018-08-10,morpheus-network,0.15086,40647.5
2018-08-11,morpheus-network,0.170341,15508.4
2018-08-12,morpheus-network,0.161227,12305
2018-08-13,morpheus-network,0.132034,18164.2
2018-08-14,morpheus-network,0.128215,10803.2
2018-08-15,morpheus-network,0.126055,2765.43
2018-08-16,morpheus-network,0.136786,7858.69
2018-08-17,morpheus-network,0.16573,17850.5
2018-08-18,morpheus-network,0.149354,15709.7
2018-08-19,morpheus-network,0.156545,15648.8
2018-08-20,morpheus-network,0.144936,4025.31
2018-08-21,morpheus-network,0.194512,16603.7
2018-08-22,morpheus-network,0.174304,42304.4
2018-08-23,morpheus-network,0.185418,11284.1
2018-08-24,morpheus-network,0.212552,14322
2018-08-25,morpheus-network,0.189324,5555.44
2018-08-26,morpheus-network,0.209737,15776.2
2018-08-27,morpheus-network,0.212595,15100
2018-08-28,morpheus-network,0.224554,11233.4
2018-08-29,morpheus-network,0.197827,14166.7
2018-08-30,morpheus-network,0.204786,7608.62
2018-08-31,morpheus-network,0.210596,14639.2
2018-09-01,morpheus-network,0.230201,25603.9
2018-09-02,morpheus-network,0.219916,9999.17
2018-09-03,morpheus-network,0.206885,10390.4
2018-09-04,morpheus-network,0.185809,48814
2018-09-05,morpheus-network,0.15318,9385.28
2018-09-06,morpheus-network,0.133814,4932.47
2018-09-07,morpheus-network,0.131807,9623.57
2018-09-08,morpheus-network,0.119282,11105.5
2018-09-09,morpheus-network,0.120186,759.857
2018-09-10,morpheus-network,0.114374,7725.7
2018-09-11,morpheus-network,0.125526,13543.2
2018-09-12,morpheus-network,0.114671,7741.02
2018-09-13,morpheus-network,0.134675,6156.62
2018-09-14,morpheus-network,0.132131,15071.1
2018-09-15,morpheus-network,0.134388,4261.66
2018-09-16,morpheus-network,0.128141,5728.47
2018-09-17,morpheus-network,0.118475,9736.44
2018-09-18,morpheus-network,0.124969,5721.03
2018-09-19,morpheus-network,0.113337,46196.4
2018-09-20,morpheus-network,0.115902,119040
2018-09-21,morpheus-network,0.128815,585343
2018-09-22,morpheus-network,0.127251,219076
2018-09-23,morpheus-network,0.127364,179390
