day,asset,close,volume
2018-05-28,naviaddress,0.0240994,194240
2018-05-29,naviaddress,0.0185114,144703
2018-05-30,naviaddress,0.020678,64510.80078125
2018-05-31,naviaddress,0.0204961,127508
2018-06-01,naviaddress,0.0217822,125092
2018-06-02,naviaddress,0.0231713,128944
2018-06-03,naviaddress,0.0220642,134058
2018-06-04,naviaddress,0.0208403,126903
2018-06-05,naviaddress,0.0207129,115449
2018-06-06,naviaddress,0.0208137,139795
2018-06-07,naviaddress,0.0201755,129582
2018-06-08,naviaddress,0.0167182,129109
2018-06-09,naviaddress,0.0145161,116366
2018-06-10,naviaddress,0.0126624,115485
2018-06-11,naviaddress,0.012529,128809
2018-06-12,naviaddress,0.0108701,118508
2018-06-13,naviaddress,0.0118105,124165
2018-06-14,naviaddress,0.0115908,145719
2018-06-15,naviaddress,0.0110568,107848
2018-06-16,naviaddress,0.0102288,121475
2018-06-17,naviaddress,0.0113255,125183
2018-06-18,naviaddress,0.00762302,132511
2018-06-19,naviaddress,0.00741215,123540
2018-06-20,naviaddress,0.00763806,126030
2018-06-21,naviaddress,0.00715086,141327
2018-06-22,naviaddress,0.0065933,129031
2018-06-23,naviaddress,0.00666887,130666
2018-06-24,naviaddress,0.00642767,124258
2018-06-25,naviaddress,0.00694742,133139
2018-06-26,naviaddress,0.00649476,127639
2018-06-27,naviaddress,0.00717861,128355
2018-06-28,naviaddress,0.00645938,133906
2018-06-29,naviaddress,0.00747274,112383
2018-06-30,naviaddress,0.00766313,143395
2018-07-01,naviaddress,0.00751347,107653
2018-07-02,naviaddress,0.00631916,119325
2018-07-03,naviaddress,0.006777,148858
2018-07-04,naviaddress,0.00718426,133387
2018-07-05,naviaddress,0.00739269,139890
2018-07-06,naviaddress,0.00786059,127462
2018-07-07,naviaddress,0.00809737,139947
2018-07-08,naviaddress,0.00774219,109652
2018-07-09,naviaddress,0.00687737,109020
2018-07-10,naviaddress,0.00632118,104138
2018-07-11,naviaddress,0.00664312,108401
2018-07-12,naviaddress,0.00675444,107880
2018-07-13,naviaddress,0.00694088,105119
2018-07-14,naviaddress,0.00655015,109033
2018-07-15,naviaddress,0.00713136,121494
2018-07-16,naviaddress,0.00753627,113298
2018-07-17,naviaddress,0.0080923,120761
2018-07-18,naviaddress,0.0079422,112438
2018-07-19,naviaddress,0.00700595,126663
2018-07-20,naviaddress,0.00686822,135382
2018-07-21,naviaddress,0.00694027,132373
2018-07-22,naviaddress,0.00700867,119849
2018-07-23,naviaddress,0.00695384,123994
2018-07-24,naviaddress,0.00717289,121881
2018-07-25,naviaddress,0.00686426,120818
2018-07-26,naviaddress,0.00668155,113988
2018-07-27,naviaddress,0.00697729,128248
2018-07-28,naviaddress,0.00697053,118165
2018-07-29,naviaddress,0.00693686,119043
2018-07-30,naviaddress,0.00693526,130677
2018-07-31,naviaddress,0.00619642,119059
2018-08-01,naviaddress,0.00549057,108796
2018-08-02,naviaddress,0.00491498,110638
2018-08-03,naviaddress,0.00452063,128632
2018-08-04,naviaddress,0.00487916,114824
2018-08-05,naviaddress,0.00500268,118099
2018-08-06,naviaddress,0.00480437,121267
2018-08-07,naviaddress,0.00471624,114694
2018-08-08,naviaddress,0.00491674,108150
2018-08-09,naviaddress,0.00517928,111518
2018-08-10,naviaddress,0.00480842,105912
2018-08-11,naviaddress,0.00474989,116666
2018-08-12,naviaddress,0.00478039,114249
2018-08-13,naviaddress,0.0050677,118988
2018-08-14,naviaddress,0.00503824,127343
2018-08-15,naviaddress,0.00474979,108712
2018-08-16,naviaddress,0.00509696,105896
2018-08-17,naviaddress,0.00513445,112796
2018-08-18,naviaddress,0.00460993,112900
2018-08-19,naviaddress,0.00494161,113165
2018-08-20,naviaddress,0.00502145,106131
2018-08-21,naviaddress,0.00492833,114444
