day,asset,close,volume
2018-02-26,nucleus-vision,0.0409679,168388992
2018-02-27,nucleus-vision,0.034808,80844200
2018-02-28,nucleus-vision,0.028055,41576700
2018-03-01,nucleus-vision,0.0353939,110297000
2018-03-02,nucleus-vision,0.0353069,48462800
2018-03-03,nucleus-vision,0.0325534,19729600
2018-03-04,nucleus-vision,0.0338171,16789300
2018-03-05,nucleus-vision,0.0318595,11522700
2018-03-06,nucleus-vision,0.0303432,14561100
2018-03-07,nucleus-vision,0.0260637,11586800
2018-03-08,nucleus-vision,0.0227298,7966150
2018-03-09,nucleus-vision,0.0256356,14539300
2018-03-10,nucleus-vision,0.0247948,12889800
2018-03-11,nucleus-vision,0.0308197,21908000
2018-03-12,nucleus-vision,0.0358754,62242000
2018-03-13,nucleus-vision,0.0441678,198436992
2018-03-14,nucleus-vision,0.0306449,68328000
2018-03-15,nucleus-vision,0.0337191,59490900
2018-03-16,nucleus-vision,0.0308402,19803900
2018-03-17,nucleus-vision,0.0266354,13326500
2018-03-18,nucleus-vision,0.0302604,25624500
2018-03-19,nucleus-vision,0.0323294,42568700
2018-03-20,nucleus-vision,0.0359972,25236400
2018-03-21,nucleus-vision,0.035307,24573900
2018-03-22,nucleus-vision,0.0328435,15066800
2018-03-23,nucleus-vision,0.0379413,58815100
2018-03-24,nucleus-vision,0.0373093,55036800
2018-03-25,nucleus-vision,0.0362067,20072600
2018-03-26,nucleus-vision,0.0341969,16334600
2018-03-27,nucleus-vision,0.0309943,16174900
2018-03-28,nucleus-vision,0.033507,21367400
2018-03-29,nucleus-vision,0.0289065,16317400
2018-03-30,nucleus-vision,0.0274881,11547300
2018-03-31,nucleus-vision,0.02806,7426480
2018-04-01,nucleus-vision,0.0255365,8195820
2018-04-02,nucleus-vision,0.026679,7571550
2018-04-03,nucleus-vision,0.0280661,8143520
2018-04-04,nucleus-vision,0.0268,17635700
2018-04-05,nucleus-vision,0.0272362,12736000
2018-04-06,nucleus-vision,0.0255431,6630780
2018-04-07,nucleus-vision,0.0282103,17611000
2018-04-08,nucleus-vision,0.0293029,34079800
2018-04-09,nucleus-vision,0.0274062,11370100
2018-04-10,nucleus-vision,0.029669,19669400
2018-04-11,nucleus-vision,0.0318229,31843800
2018-04-12,nucleus-vision,0.0345439,22282800
2018-04-13,nucleus-vision,0.0405986,51891000
2018-04-14,nucleus-vision,0.0414732,43245300
2018-04-15,nucleus-vision,0.0436306,16440800
2018-04-16,nucleus-vision,0.041902,10140400
2018-04-17,nucleus-vision,0.0430708,26724100
2018-04-18,nucleus-vision,0.0397937,104374000
2018-04-19,nucleus-vision,0.0398026,37740800
2018-04-20,nucleus-vision,0.0387288,28914000
2018-04-21,nucleus-vision,0.0401536,31213500
2018-04-22,nucleus-vision,0.0424024,36884100
2018-04-23,nucleus-vision,0.04288,20683000
2018-04-24,nucleus-vision,0.0461861,32360400
2018-04-25,nucleus-vision,0.0399841,25280600
2018-04-26,nucleus-vision,0.0437702,16116700
2018-04-27,nucleus-vision,0.0402236,16998300
2018-04-28,nucleus-vision,0.0428904,17390800
2018-04-29,nucleus-vision,0.0455072,39214900
2018-04-30,nucleus-vision,0.0471826,64131500
2018-05-01,nucleus-vision,0.0474043,31468800
2018-05-02,nucleus-vision,0.0489569,17878800
2018-05-03,nucleus-vision,0.0479698,32486400
2018-05-04,nucleus-vision,0.0462191,20116100
2018-05-05,nucleus-vision,0.0478051,28519200
2018-05-06,nucleus-vision,0.0456541,16921700
2018-05-07,nucleus-vision,0.0450407,13273200
2018-05-08,nucleus-vision,0.0440219,17689000
2018-05-09,nucleus-vision,0.04111,19336700
2018-05-10,nucleus-vision,0.0383635,12032100
2018-05-11,nucleus-vision,0.0335583,11146800
2018-05-12,nucleus-vision,0.0355821,9989960
2018-05-13,nucleus-vision,0.0377722,8982090
2018-05-14,nucleus-vision,0.0365945,9536850
2018-05-15,nucleus-vision,0.0352433,6431690
2018-05-16,nucleus-vision,0.0340594,4739090
2018-05-17,nucleus-vision,0.0321984,3610570
2018-05-18,nucleus-vision,0.0330765,3208300
2018-05-19,nucleus-vision,0.0328273,2334730
2018-05-20,nucleus-vision,0.0345716,3471580
2018-05-21,nucleus-vision,0.0325091,3144790
2018-05-22,nucleus-vision,0.0288862,4487220
2018-05-23,nucleus-vision,0.0251558,8304300
2018-05-24,nucleus-vision,0.026117,9818500
2018-05-25,nucleus-vision,0.024736,3406650
2018-05-26,nucleus-vision,0.0239594,3170770
2018-05-27,nucleus-vision,0.0237477,2518610
2018-05-28,nucleus-vision,0.0217267,3445230
2018-05-29,nucleus-vision,0.0246069,4621240
2018-05-30,nucleus-vision,0.023762,3759900
2018-05-31,nucleus-vision,0.024791,3414040
2018-06-01,nucleus-vision,0.0242448,3379010
2018-06-02,nucleus-vision,0.0248374,2790650
