day,asset,close,volume
2018-04-10,odem,0.0572434,18547.69921875
2018-04-11,odem,0.0628502,31089.30078125
2018-04-12,odem,0.09115,161434
2018-04-13,odem,0.0952956,103176
2018-04-14,odem,0.101225,337746
2018-04-15,odem,0.097683,101966
2018-04-16,odem,0.0977373,43675.3984375
2018-04-17,odem,0.0928923,39511
2018-04-18,odem,0.0990454,108052
2018-04-19,odem,0.0966357,73159.796875
2018-04-20,odem,0.0996669,52387.80078125
2018-04-21,odem,0.0956076,30544.80078125
2018-04-22,odem,0.095035,42759.19921875
2018-04-23,odem,0.0966383,4952.8798828125
2018-04-24,odem,0.111595,190290
2018-04-25,odem,0.165213,670701
2018-04-26,odem,0.184734,1018080
2018-04-27,odem,0.202175,258993
2018-04-28,odem,0.205833,117796
2018-04-29,odem,0.192042,56107.30078125
2018-04-30,odem,0.190092,58755
2018-05-01,odem,0.197071,33117.80078125
2018-05-02,odem,0.191452,34118
2018-05-03,odem,0.186997,62284.80078125
2018-05-04,odem,0.173261,166786
2018-05-05,odem,0.160337,34019.6015625
2018-05-06,odem,0.146103,13111.900390625
2018-05-07,odem,0.150963,19062.5
2018-05-08,odem,0.136275,10541.2001953125
2018-05-09,odem,0.140844,6741.080078125
2018-05-10,odem,0.12753,13613.400390625
2018-05-11,odem,0.166738,135216
2018-05-12,odem,0.159516,52492.5
2018-05-13,odem,0.155138,33788.3984375
2018-05-14,odem,0.160316,21008.099609375
2018-05-15,odem,0.153461,6118.81982421875
2018-05-16,odem,0.147542,24432
2018-05-17,odem,0.121997,72787.5
2018-05-18,odem,0.139142,37192.80078125
2018-05-19,odem,0.158737,15748.099609375
2018-05-20,odem,0.164692,12940.2001953125
2018-05-21,odem,0.165764,6470
2018-05-22,odem,0.160619,10997
2018-05-23,odem,0.145648,43515.1015625
2018-05-24,odem,0.163796,16636
2018-05-25,odem,0.14871,2894.02001953125
2018-05-26,odem,0.15476,25134.599609375
2018-05-27,odem,0.15397,2699.9599609375
2018-05-28,odem,0.144975,9393.5498046875
2018-05-29,odem,0.147887,9774.830078125
2018-05-30,odem,0.148958,5103.830078125
2018-05-31,odem,0.146238,6835.52001953125
2018-06-01,odem,0.150761,2488.639892578125
2018-06-02,odem,0.149025,2239.85009765625
2018-06-03,odem,0.152603,5134.81005859375
2018-06-04,odem,0.171646,70056.703125
2018-06-05,odem,0.172201,17656.19921875
2018-06-06,odem,0.180142,28532.80078125
2018-06-07,odem,0.179417,3093.97998046875
2018-06-08,odem,0.186404,5140.27001953125
2018-06-09,odem,0.306499,698931
2018-06-10,odem,0.226906,121856
2018-06-11,odem,0.222861,14636.099609375
2018-06-12,odem,0.212141,47856
2018-06-13,odem,0.21431,38863.6015625
2018-06-14,odem,0.223844,61220.19921875
2018-06-15,odem,0.233804,8785.9296875
2018-06-16,odem,0.200687,1059.72998046875
2018-06-17,odem,0.201559,937.5999755859375
2018-06-18,odem,0.215494,39538.30078125
2018-06-19,odem,0.230106,790514
2018-06-20,odem,0.207261,702348
2018-06-21,odem,0.210053,300449
2018-06-22,odem,0.212803,706602
2018-06-23,odem,0.199945,6232.669921875
2018-06-24,odem,0.24324,719320
2018-06-25,odem,0.257432,658877
2018-06-26,odem,0.236886,539611
2018-06-27,odem,0.232458,408947
2018-06-28,odem,0.235492,381534
2018-06-29,odem,0.232968,592192
2018-06-30,odem,0.264146,230005
2018-07-01,odem,0.241879,268077
2018-07-02,odem,0.232766,528003
2018-07-03,odem,0.258337,443753
2018-07-04,odem,0.262601,485433
2018-07-05,odem,0.367164,996992
2018-07-06,odem,0.338436,634210
2018-07-07,odem,0.338988,731257
2018-07-08,odem,0.334521,1132300
2018-07-09,odem,0.333533,1989260
2018-07-10,odem,0.375037,3331550
2018-07-11,odem,0.373592,3930770
2018-07-12,odem,0.360314,6278800
2018-07-13,odem,0.339329,29791300
2018-07-14,odem,0.366885,4586910
2018-07-15,odem,0.359338,3837470
2018-07-16,odem,0.366822,8951120
2018-07-17,odem,0.341721,5708630
2018-07-18,odem,0.372114,9012660
2018-07-19,odem,0.374057,6114970
2018-07-20,odem,0.400725,9794760
2018-07-21,odem,0.435597,4719570
2018-07-22,odem,0.412473,4680390
2018-07-23,odem,0.430858,13016000
2018-07-24,odem,0.427437,23627200
2018-07-25,odem,0.393201,14872000
2018-07-26,odem,0.39251,6526980
2018-07-27,odem,0.47075,7623480
2018-07-28,odem,0.45131,5137670
2018-07-29,odem,0.450919,5408420
2018-07-30,odem,0.450441,7950990
2018-07-31,odem,0.463073,250766
2018-08-01,odem,0.469549,135088
2018-08-02,odem,0.511231,205664
2018-08-03,odem,0.503104,12512.3
2018-08-04,odem,0.506677,27538.1
2018-08-05,odem,0.528137,19697.3
2018-08-06,odem,0.509949,79785.7
2018-08-07,odem,0.477208,131463
2018-08-08,odem,0.474081,307766
2018-08-09,odem,0.45505,88078.4
2018-08-10,odem,0.36412,80174
2018-08-11,odem,0.322999,92512.7
2018-08-12,odem,0.294432,214464
2018-08-13,odem,0.270316,41815.4
2018-08-14,odem,0.205527,186333
2018-08-15,odem,0.259418,43406.8
2018-08-16,odem,0.305432,23283.6
2018-08-17,odem,0.313036,19996.6
2018-08-18,odem,0.289279,64962.4
2018-08-19,odem,0.284019,11502.1
2018-08-20,odem,0.272835,8449.51
2018-08-21,odem,0.304633,41187
2018-08-22,odem,0.261282,72258.1
2018-08-23,odem,0.263286,7577.91
2018-08-24,odem,0.263846,46920.8
2018-08-25,odem,0.28096,76306.3
2018-08-26,odem,0.312775,8437.91
2018-08-27,odem,0.292459,108277
2018-08-28,odem,0.299209,26327.4
2018-08-29,odem,0.296765,46919.6
2018-08-30,odem,0.297076,140190
2018-08-31,odem,0.312376,98171.2
2018-09-01,odem,0.323132,26439.7
2018-09-02,odem,0.306891,5435.73
2018-09-03,odem,0.320425,79194.1
2018-09-04,odem,0.307423,59803
2018-09-05,odem,0.29589,243339
2018-09-06,odem,0.290663,192777
2018-09-07,odem,0.292342,63665.1
2018-09-08,odem,0.236787,2975.34
2018-09-09,odem,0.259679,28528.3
2018-09-10,odem,0.276482,252664
2018-09-11,odem,0.233976,160508
2018-09-12,odem,0.225432,242953
2018-09-13,odem,0.212791,25839.4
2018-09-14,odem,0.216583,8541.36
2018-09-15,odem,0.210896,115028
2018-09-16,odem,0.232909,4285.75
2018-09-17,odem,0.178786,38651.6
2018-09-18,odem,0.189689,2026.68
2018-09-19,odem,0.165537,15864.8
2018-09-20,odem,0.17701,7819.61
