day,asset,close,volume
2018-05-22,patron,0.0681461,933787
2018-05-23,patron,0.0656239,1114990
2018-05-24,patron,0.0620529,648166
2018-05-25,patron,0.0590729,362144
2018-05-26,patron,0.0518015,459625
2018-05-27,patron,0.130102,4936450
2018-05-28,patron,0.0953796,4656680
2018-05-29,patron,0.0859224,1762200
2018-05-30,patron,0.0812967,431329
2018-05-31,patron,0.0762883,719666
2018-06-01,patron,0.0743898,779562
2018-06-02,patron,0.0686933,384308
2018-06-03,patron,0.0653966,550290
2018-06-04,patron,0.0466077,533195
2018-06-05,patron,0.0527497,463267
2018-06-06,patron,0.0520502,324653
2018-06-07,patron,0.0498167,276114
2018-06-08,patron,0.0495337,246371
2018-06-09,patron,0.0496323,221122
2018-06-10,patron,0.0406236,174178
2018-06-11,patron,0.0433449,128011
2018-06-12,patron,0.0374741,233906
2018-06-13,patron,0.0333851,295594
2018-06-14,patron,0.0318792,220812
2018-06-15,patron,0.0304034,98391.6015625
2018-06-16,patron,0.0307179,65282.19921875
2018-06-17,patron,0.0343429,266792
2018-06-18,patron,0.0387253,180361
2018-06-19,patron,0.0406967,104036
2018-06-20,patron,0.0418758,57432.8984375
2018-06-21,patron,0.037815,24315.900390625
2018-06-22,patron,0.0272524,83466.703125
2018-06-23,patron,0.0328428,55670.8984375
2018-06-24,patron,0.0291106,21083
2018-06-25,patron,0.0309843,52956.3984375
2018-06-26,patron,0.0310247,89290.3984375
2018-06-27,patron,0.0295055,12684.5
2018-06-28,patron,0.0260261,31950
2018-06-29,patron,0.0292163,56604.6015625
2018-06-30,patron,0.0293901,9488.2197265625
2018-07-01,patron,0.033382,228576
2018-07-02,patron,0.035261,183415
2018-07-03,patron,0.0333203,286948
2018-07-04,patron,0.0283212,288872
2018-07-05,patron,0.0243949,46815.30078125
2018-07-06,patron,0.0271518,82001.796875
2018-07-07,patron,0.0276388,47200.80078125
2018-07-08,patron,0.0276133,14435
2018-07-09,patron,0.0274148,15929.5
2018-07-10,patron,0.0242121,33018.5
2018-07-11,patron,0.0244329,9026.48046875
2018-07-12,patron,0.0242908,26610.5
2018-07-13,patron,0.0239384,22134.80078125
2018-07-14,patron,0.0265408,18710.19921875
2018-07-15,patron,0.0256682,3898.06005859375
2018-07-16,patron,0.0282257,15026
2018-07-17,patron,0.0294994,15499.2998046875
2018-07-18,patron,0.0285743,20752.400390625
2018-07-19,patron,0.0282876,149694
2018-07-20,patron,0.0266793,82502.8984375
2018-07-21,patron,0.0277066,9198.099609375
2018-07-22,patron,0.0261214,11286.2001953125
2018-07-23,patron,0.0268763,35308.5
2018-07-24,patron,0.0258021,31634.400390625
2018-07-25,patron,0.0253713,5907.3701171875
2018-07-26,patron,0.0228355,24930.5
2018-07-27,patron,0.0243117,36750.8984375
2018-07-28,patron,0.0246201,8806.76953125
2018-07-29,patron,0.0259997,7116.97998046875
2018-07-30,patron,0.0252962,21297.4
2018-07-31,patron,0.0187092,51973.7
2018-08-01,patron,0.0165268,58492.2
2018-08-02,patron,0.012772,49613.4
2018-08-03,patron,0.0171016,364352
2018-08-04,patron,0.0127048,23792.1
2018-08-05,patron,0.012833,5649.28
2018-08-06,patron,0.010609,9544.36
2018-08-07,patron,0.0132638,22583.3
2018-08-08,patron,0.012258,7985.66
2018-08-09,patron,0.0202022,1040810
2018-08-10,patron,0.014102,1133170
2018-08-11,patron,0.0103417,23223
2018-08-12,patron,0.0140361,765882
2018-08-13,patron,0.0126033,863560
2018-08-14,patron,0.0121106,47044
2018-08-15,patron,0.0104227,5840.54
2018-08-16,patron,0.0098638,4222.35
2018-08-17,patron,0.0106892,4593.35
2018-08-18,patron,0.00960729,15376.4
2018-08-19,patron,0.0104565,2092.43
2018-08-20,patron,0.0100249,3082.71
2018-08-21,patron,0.0117157,36087.8
2018-08-22,patron,0.0156632,831825
2018-08-23,patron,0.0128369,764878
2018-08-24,patron,0.0136848,530345
2018-08-25,patron,0.0166439,913311
2018-08-26,patron,0.0149999,561588
2018-08-27,patron,0.0144407,790038
2018-08-28,patron,0.0147869,424479
2018-08-29,patron,0.0123154,2443850
2018-08-30,patron,0.0115231,1490330
2018-08-31,patron,0.0120764,2602140
2018-09-01,patron,0.0150217,770928
2018-09-02,patron,0.0129351,23105.8
2018-09-03,patron,0.0166551,1925200
2018-09-04,patron,0.0141902,991299
2018-09-05,patron,0.0109835,965644
2018-09-06,patron,0.0124206,1320440
2018-09-07,patron,0.0134845,1114050
2018-09-08,patron,0.0133276,4650340
2018-09-09,patron,0.0122549,1900840
2018-09-10,patron,0.0116091,1501200
2018-09-11,patron,0.0122104,806246
2018-09-12,patron,0.0147189,2865530
2018-09-13,patron,0.0138197,1052170
2018-09-14,patron,0.0135627,293700
2018-09-15,patron,0.0136313,871992
2018-09-16,patron,0.0132878,533138
2018-09-17,patron,0.0125248,866012
2018-09-18,patron,0.0108883,1083380
2018-09-19,patron,0.0116695,574758
2018-09-20,patron,0.0111784,88978.4
2018-09-21,patron,0.0148868,140516
2018-09-22,patron,0.0154259,157228
2018-09-23,patron,0.0172213,203724
2018-09-24,patron,0.017109,453744
2018-09-25,patron,0.018397,240916
2018-09-26,patron,0.0229744,77771.5
2018-09-27,patron,0.0282441,373697
2018-09-28,patron,0.023664,326540
2018-09-29,patron,0.0246003,365632
2018-09-30,patron,0.0243062,314701
2018-10-01,patron,0.0243753,193698
2018-10-02,patron,0.0221632,155575
2018-10-03,patron,0.0188328,41915.2
2018-10-04,patron,0.0211147,181453
2018-10-05,patron,0.0207634,202944
2018-10-06,patron,0.0184627,322165
2018-10-07,patron,0.0166238,253108
2018-10-08,patron,0.0141061,61212.1
2018-10-09,patron,0.0166652,143245
2018-10-10,patron,0.0148561,171980
2018-10-11,patron,0.0134781,145256
2018-10-12,patron,0.0151309,152214
2018-10-13,patron,0.0150871,159075
2018-10-14,patron,0.0149158,149149
2018-10-15,patron,0.0157098,190892
2018-10-16,patron,0.0136353,380899
2018-10-17,patron,0.0121628,72828
2018-10-18,patron,0.0270171,778134
2018-10-19,patron,0.0242833,655326
2018-10-20,patron,0.0227992,82198.2
2018-10-21,patron,0.0242803,390404
2018-10-22,patron,0.0213561,417715
2018-10-23,patron,0.0198906,236408
2018-10-24,patron,0.0200158,43349.1
2018-10-25,patron,0.0192704,376365
2018-10-26,patron,0.0182371,410515
2018-10-27,patron,0.0212726,446891
2018-10-28,patron,0.0303754,494056
2018-10-29,patron,0.0242135,93038.6
2018-10-30,patron,0.025198,93444.4
2018-10-31,patron,0.0299623,648605
2018-11-01,patron,0.0276034,1759160
2018-11-02,patron,0.0247226,1792210
2018-11-03,patron,0.0225523,1246280
2018-11-04,patron,0.0229734,3067430
2018-11-05,patron,0.0217047,2732230
2018-11-06,patron,0.0224206,1278860
2018-11-07,patron,0.0188497,1520090
2018-11-08,patron,0.0195425,1639220
2018-11-09,patron,0.0186303,1384870
2018-11-10,patron,0.0209038,1080200
2018-11-11,patron,0.0213901,1193630
2018-11-12,patron,0.0181887,23241.7
2018-11-13,patron,0.0177823,18325.9
2018-11-14,patron,0.0163537,51410.2
2018-11-15,patron,0.0157536,48939.6
2018-11-16,patron,0.0220553,1202860
2018-11-17,patron,0.0177553,12909.8
2018-11-18,patron,0.0207161,1036510
2018-11-19,patron,0.0215869,144687
2018-11-20,patron,0.0180927,84790
2018-11-21,patron,0.0215755,53335.7
2018-11-22,patron,0.042939,505939
2018-11-23,patron,0.0408113,386540
2018-11-24,patron,0.034127,106921
2018-11-25,patron,0.0339625,95403
2018-11-26,patron,0.0273932,60027.9
2018-11-27,patron,0.0338703,179095
2018-11-28,patron,0.0380657,155891
2018-11-29,patron,0.02838951,153908.818930798
2018-11-30,patron,0.032398812,200880.68941954
2018-12-01,patron,0.035315342,205742.508909531
2018-12-02,patron,0.028183386,171049.910081572
2018-12-03,patron,0.0254408,474720.356572921
2018-12-04,patron,0.023329552,117737.723409661
2018-12-05,patron,0.019844204,63531.4826634226
2018-12-06,patron,0.016827399,144976.761735915
2018-12-07,patron,0.013783321,99780.6414212886
2018-12-08,patron,0.018743925,111903.354517477
2018-12-09,patron,0.014529694,51535.8936994854
2018-12-10,patron,0.013726927,36803.280023622
2018-12-11,patron,0.016085885,351613.208438715
2018-12-12,patron,0.017594535,84934.0262475738
2018-12-13,patron,0.017369263,145214.671845477
2018-12-14,patron,0.017550252,64842.8891600351
2018-12-15,patron,0.022429014,210664.959933531
2018-12-16,patron,0.021133766,948090.930626444
2018-12-17,patron,0.017174112,894153.809046249
2018-12-18,patron,0.013296772,207097.36357183
2018-12-19,patron,0.011667215,240229.439238947
2018-12-20,patron,0.011578365,296589.873831462
2018-12-21,patron,0.010559112,177004.948398941
2018-12-22,patron,0.01120097,96439.8523082212
2018-12-23,patron,0.010870904,73796.8705117131
2018-12-24,patron,0.009424689,168763.185240306
2018-12-25,patron,0.009950008,563492.095374576
2018-12-26,patron,0.009004022,76571.9810382793
2018-12-27,patron,0.00996885,124198.990924774
2018-12-28,patron,0.00980411,225029.214326261
2018-12-29,patron,0.0097492905,321219.369669855
2018-12-30,patron,0.009155301,521452.305434414
2018-12-31,patron,0.007948759,288123.223001129
2019-01-01,patron,0.009107886,281043.383701348
2019-01-02,patron,0.00807844,263575.682708244
2019-01-03,patron,0.00846608,294987.594611636
2019-01-04,patron,0.008628712,597047.018134151
2019-01-05,patron,0.008382406,542529.462116643
2019-01-06,patron,0.009208944,787753.441755532
2019-01-07,patron,0.0077668913,756572.05978903
2019-01-08,patron,0.0076628523,1282208.72385879
2019-01-09,patron,0.007385804,1395090.66070501
2019-01-10,patron,0.0065219407,1307381.4716723
2019-01-11,patron,0.006607166,1263762.7328559
2019-01-12,patron,0.0063608848,1162575.25264121
2019-01-13,patron,0.0060032164,1118146.6037701
2019-01-14,patron,0.0063072965,1440035.65001881
2019-01-15,patron,0.0051981304,1340213.34344863
2019-01-16,patron,0.004355601,1172883.73118554
2019-01-17,patron,0.00406966,1041989.47403034
2019-01-18,patron,0.004085877,911290.417183264
2019-01-19,patron,0.0042437576,987225.785955213
2019-01-20,patron,0.004118079,826454.636372737
2019-01-21,patron,0.004136263,1751005.16389588
2019-01-22,patron,0.0042287866,1385736.97247175
2019-01-23,patron,0.003912027,1149805.89317717
2019-01-24,patron,0.003086942,761319.77714745
2019-01-25,patron,0.0035044018,1383956.29143028
2019-01-26,patron,0.003246097,1371173.95231133
2019-01-27,patron,0.0033806919,1391270.79515475
2019-01-28,patron,0.0030964178,1289467.04642706
2019-01-29,patron,0.0030657165,1277064.99698984
2019-01-30,patron,0.0025069683,1347100.89686418
2019-01-31,patron,0.0026154302,1056741.53736591
2019-02-01,patron,0.0028784634,1227348.2586021
2019-02-02,patron,0.0029886025,1368574.94834116
2019-02-03,patron,0.0029167284,1285279.40451418
2019-02-04,patron,0.002743595,1175921.76457744
2019-02-05,patron,0.0029985528,1293762.02622088
2019-02-06,patron,0.002809858,1274552.78320883
2019-02-07,patron,0.0024898255,1179550.74782322
2019-02-08,patron,0.002818683,1265085.12836667
2019-02-09,patron,0.0026857664,1212580.05710812
2019-02-10,patron,0.002836019,1290751.74076268
2019-02-11,patron,0.0026496286,973794.853192068
2019-02-12,patron,0.0025913506,901650.952234471
2019-02-13,patron,0.0023351787,918362.644978773
2019-02-14,patron,0.0019906152,1243408.73760584
2019-02-15,patron,0.0020421892,1461550.25025548
2019-02-16,patron,0.0022471203,1644881.1382813
2019-02-17,patron,0.0020068341,1706996.13888286
2019-02-18,patron,0.002403479,1497681.01453308
2019-02-19,patron,0.0023079787,1393572.41385794
2019-02-20,patron,0.0024335445,631403.288302621
2019-02-21,patron,0.0023577975,1194842.37004733
2019-02-22,patron,0.0025137172,1335586.31585144
2019-02-23,patron,0.002510193,1583935.38359608
2019-02-24,patron,0.0020942695,1223594.5705304
2019-02-25,patron,0.0022356305,1338057.92866788
2019-02-26,patron,0.0023532966,1438129.53020826
2019-02-27,patron,0.0021234448,1391481.94232013
2019-02-28,patron,0.0021013075,1185225.78644384
2019-03-01,patron,0.0021383662,1589740.94100249
2019-03-02,patron,0.002052526,1544350.77966233
2019-03-03,patron,0.0020014038,1492876.43882683
2019-03-04,patron,0.0019821082,1250880.75629991
2019-03-05,patron,0.0021924784,1548255.86154385
2019-03-06,patron,0.0022554258,1583777.04160921
2019-03-07,patron,0.0019876687,1608587.32628641
2019-03-08,patron,0.0019361242,1389526.45932783
2019-03-09,patron,0.0020190284,1467789.95954175
2019-03-10,patron,0.0020097801,1451589.11063455
2019-03-11,patron,0.0020354367,1472030.6025344
2019-03-12,patron,0.002005255,1525628.40328692
2019-03-13,patron,0.0019149831,1487112.38069355
2019-03-14,patron,0.001909109,1441371.62459482
2019-03-15,patron,0.0020489984,1530825.64298497
2019-03-16,patron,0.0020951391,1569833.19730997
2019-03-17,patron,0.0017166669,1569076.26897893
2019-03-18,patron,0.0019895472,1332189.17399822
2019-03-19,patron,0.0017921481,1279641.54276222
2019-03-20,patron,0.0017982485,1314777.75536558
2019-03-21,patron,0.0020170677,1263395.06586309
2019-03-22,patron,0.002011019,1460280.46503676
2019-03-23,patron,0.0020171423,1512769.6726644
2019-03-24,patron,0.0021463844,1420149.83044961
2019-03-25,patron,0.0021164427,1419295.40869755
2019-03-26,patron,0.002331542,1290710.97170968
2019-03-27,patron,0.0019677035,1371959.64182008
2019-03-28,patron,0.0020852622,1090602.90174012
2019-03-29,patron,0.0022676538,1327270.65742714
2019-03-30,patron,0.002272731,1494950.89527717
2019-03-31,patron,0.0022853264,1518009.92131159
2019-04-01,patron,0.0024170412,1152586.24192261
2019-04-02,patron,0.0025604675,782831.105655809
2019-04-03,patron,0.002948522,1181876.64911313
2019-04-04,patron,0.002901889,1237704.93744705
2019-04-05,patron,0.003046546,1124921.69764379
2019-04-06,patron,0.0031731713,1289802.90526474
2019-04-07,patron,0.00308466,1028849.99979431
2019-04-08,patron,0.0031714742,1496159.80872067
2019-04-09,patron,0.0030913118,1329233.02422224
2019-04-10,patron,0.0030942257,1543869.19033156
2019-04-11,patron,0.0029649697,1052676.16030575
2019-04-12,patron,0.0028265002,890876.436839609
2019-04-13,patron,0.0029072044,867833.367595455
2019-04-14,patron,0.0034001444,970134.038374356
2019-04-15,patron,0.003226206,1477004.21754829
2019-04-16,patron,0.0030261537,1401456.64025334
2019-04-17,patron,0.0027106653,1298846.09625405
2019-04-18,patron,0.0026324342,755481.567322657
2019-04-19,patron,0.0027768633,1372485.68942177
2019-04-20,patron,0.002747096,1481294.34370593
2019-04-21,patron,0.0027221835,1402945.29206071
2019-04-22,patron,0.0023401093,1328420.98284449
2019-04-23,patron,0.0018632547,1177241.20245902
2019-04-24,patron,0.0020029042,1350566.21956897
2019-04-25,patron,0.0016197467,1208988.98950253
2019-04-26,patron,0.001768792,1488161.11269004
2019-04-27,patron,0.002139361,1637807.03211597
2019-04-28,patron,0.0017801006,1501022.64077289
2019-04-29,patron,0.0022709179,1378501.31362429
2019-04-30,patron,0.0020914976,1481096.74098336
2019-05-01,patron,0.0019614932,1440430.27482898
2019-05-02,patron,0.0021428543,1487811.60036576
2019-05-03,patron,0.0022338827,1574629.23804402
2019-05-04,patron,0.0021550094,1523684.39931322
2019-05-05,patron,0.0020161325,1414350.30112043
2019-05-06,patron,0.002018475,1363333.25020819
2019-05-07,patron,0.0019727985,1372389.29627108
2019-05-08,patron,0.0019925502,1425567.29509678
2019-05-09,patron,0.0018046973,1304175.31836179
2019-05-10,patron,0.0018317763,1382619.3474267
2019-05-11,patron,0.0022370387,1671563.11921949
2019-05-12,patron,0.0024323785,1807501.77118878
2019-05-13,patron,0.0018968212,1504796.89430023
2019-05-14,patron,0.0018667615,1433521.78051124
2019-05-15,patron,0.0019515498,1509603.62568161
2019-05-16,patron,0.0019293536,1484567.12352823
