day,asset,close,volume
2018-06-04,pchain,0.175521,3758130
2018-06-05,pchain,0.204872,6043480
2018-06-06,pchain,0.196485,8262920
2018-06-07,pchain,0.181814,3719090
2018-06-08,pchain,0.167334,3439820
2018-06-09,pchain,0.164709,6634960
2018-06-10,pchain,0.133882,4908130
2018-06-11,pchain,0.142212,4008240
2018-06-12,pchain,0.116751,4642520
2018-06-13,pchain,0.105959,3534860
2018-06-14,pchain,0.114121,4318420
2018-06-15,pchain,0.105794,2487970
2018-06-16,pchain,0.0979499,2952670
2018-06-17,pchain,0.102394,2515380
2018-06-18,pchain,0.0956991,2546490
2018-06-19,pchain,0.0993384,2764290
2018-06-20,pchain,0.0995682,2738550
2018-06-21,pchain,0.093863,2473160
2018-06-22,pchain,0.0785418,2950610
2018-06-23,pchain,0.0819285,2650640
2018-06-24,pchain,0.0735881,1826960
2018-06-25,pchain,0.0756993,3630320
2018-06-26,pchain,0.0771712,3452490
2018-06-27,pchain,0.0782235,3895020
2018-06-28,pchain,0.0781221,3028220
2018-06-29,pchain,0.0752378,2819650
2018-06-30,pchain,0.0735619,1578760
2018-07-01,pchain,0.0709843,287808
2018-07-02,pchain,0.0771289,2221990
2018-07-03,pchain,0.0703718,1838070
2018-07-04,pchain,0.0675752,1864130
2018-07-05,pchain,0.0666283,1978200
2018-07-06,pchain,0.0662251,2021380
2018-07-07,pchain,0.0673283,1466550
2018-07-08,pchain,0.0676498,264534
2018-07-09,pchain,0.064574,1704400
2018-07-10,pchain,0.0573401,1655930
2018-07-11,pchain,0.0566847,1211750
2018-07-12,pchain,0.0469935,1344600
2018-07-13,pchain,0.0502534,1138330
2018-07-14,pchain,0.0495102,771791
2018-07-15,pchain,0.0473564,227896
2018-07-16,pchain,0.0537247,1380750
2018-07-17,pchain,0.0560168,278696
2018-07-18,pchain,0.0517913,355772
2018-07-19,pchain,0.051485,305601
2018-07-20,pchain,0.0464121,304510
2018-07-21,pchain,0.0468325,169181
2018-07-22,pchain,0.0456161,138037
2018-07-23,pchain,0.0425254,211601
2018-07-24,pchain,0.045697,233269
2018-07-25,pchain,0.0482303,453776
2018-07-26,pchain,0.0523433,601560
2018-07-27,pchain,0.052286,1030180
2018-07-28,pchain,0.0516813,1082480
2018-07-29,pchain,0.0503306,1005930
2018-07-30,pchain,0.0499849,1019110
2018-07-31,pchain,0.0474535,995006
2018-08-01,pchain,0.0441692,1693850
2018-08-02,pchain,0.0418029,2090980
2018-08-03,pchain,0.0420302,1228380
2018-08-04,pchain,0.0402775,1943830
2018-08-05,pchain,0.0400238,1836220
2018-08-06,pchain,0.0395941,1565240
2018-08-07,pchain,0.0361528,1767290
2018-08-08,pchain,0.0321891,1429050
2018-08-09,pchain,0.0331225,1453110
2018-08-10,pchain,0.0312664,975479
2018-08-11,pchain,0.0306773,1362810
2018-08-12,pchain,0.0314412,1505110
2018-08-13,pchain,0.0274223,1177960
2018-08-14,pchain,0.0264351,1117610
2018-08-15,pchain,0.0273544,1282080
2018-08-16,pchain,0.0282295,1580210
2018-08-17,pchain,0.0313037,1574620
2018-08-18,pchain,0.028714,1281240
2018-08-19,pchain,0.0280256,1521980
2018-08-20,pchain,0.0257726,1348230
2018-08-21,pchain,0.0271548,1014550
