day,asset,close,volume
2018-03-22,pundi-x,0.000997114,970635
2018-03-23,pundi-x,0.000916359,1199720
2018-03-24,pundi-x,0.000987667,1252630
2018-03-25,pundi-x,0.00109109,931486
2018-03-26,pundi-x,0.000979668,822909
2018-03-27,pundi-x,0.000917065,641787
2018-03-28,pundi-x,0.000987887,610872
2018-03-29,pundi-x,0.000883016,539912
2018-03-30,pundi-x,0.000963083,702305
2018-03-31,pundi-x,0.000845264,659564
2018-04-01,pundi-x,0.000786989,559521
2018-04-02,pundi-x,0.000809886,467187
2018-04-03,pundi-x,0.000854464,464693
2018-04-04,pundi-x,0.000837546,553281
2018-04-05,pundi-x,0.000754429,832965
2018-04-06,pundi-x,0.000737538,375677
2018-04-07,pundi-x,0.000795453,273286
2018-04-08,pundi-x,0.000769012,290462
2018-04-09,pundi-x,0.00071343,324052
2018-04-10,pundi-x,0.000734531,537854
2018-04-11,pundi-x,0.000721398,501149
2018-04-12,pundi-x,0.000876447,902077
2018-04-13,pundi-x,0.00085121,745349
2018-04-14,pundi-x,0.00117757,2340870
2018-04-15,pundi-x,0.00142812,4556070
2018-04-16,pundi-x,0.00188097,3809550
2018-04-17,pundi-x,0.00263168,13745400
2018-04-18,pundi-x,0.00458149,19999100
2018-04-19,pundi-x,0.00484476,21553100
2018-04-20,pundi-x,0.00481244,17529200
2018-04-21,pundi-x,0.00425029,8973230
2018-04-22,pundi-x,0.00472465,7550240
2018-04-23,pundi-x,0.00485951,9080950
2018-04-24,pundi-x,0.00465755,8968720
2018-04-25,pundi-x,0.00423299,6036290
2018-04-26,pundi-x,0.00451029,5757230
2018-04-27,pundi-x,0.00459775,4464020
2018-04-28,pundi-x,0.00465348,2732780
2018-04-29,pundi-x,0.00442561,3215280
2018-04-30,pundi-x,0.00419971,4116960
2018-05-01,pundi-x,0.00445632,3029630
2018-05-02,pundi-x,0.00445609,2603920
2018-05-03,pundi-x,0.00404536,3204290
2018-05-04,pundi-x,0.00454664,3138620
2018-05-05,pundi-x,0.00482966,4349750
2018-05-06,pundi-x,0.00479449,2430880
2018-05-07,pundi-x,0.00501967,3520710
2018-05-08,pundi-x,0.0061021,5506980
2018-05-09,pundi-x,0.00859925,22311000
2018-05-10,pundi-x,0.00827671,25609700
2018-05-11,pundi-x,0.00832256,20663700
2018-05-12,pundi-x,0.00918864,11262800
2018-05-13,pundi-x,0.0131624,29205500
2018-05-14,pundi-x,0.0116474,38076200
2018-05-15,pundi-x,0.0100388,28401100
2018-05-16,pundi-x,0.0122521,27447200
2018-05-17,pundi-x,0.0116504,18230800
2018-05-18,pundi-x,0.0128195,17500200
2018-05-19,pundi-x,0.0122958,9549900
2018-05-20,pundi-x,0.0125638,6004730
2018-05-21,pundi-x,0.0114475,11776000
2018-05-22,pundi-x,0.00935182,7953430
2018-05-23,pundi-x,0.00923919,23645200
2018-05-24,pundi-x,0.00999563,7779140
2018-05-25,pundi-x,0.0100158,10336200
2018-05-26,pundi-x,0.0108386,4923350
2018-05-27,pundi-x,0.0110735,3638640
2018-05-28,pundi-x,0.00981465,18381200
2018-05-29,pundi-x,0.010663,5019610
2018-05-30,pundi-x,0.0105421,7575160
2018-05-31,pundi-x,0.00997041,9317520
2018-06-01,pundi-x,0.00999707,3234090
2018-06-02,pundi-x,0.0097338,3256370
2018-06-03,pundi-x,0.00985634,4969760
2018-06-04,pundi-x,0.0088335,4733410
2018-06-05,pundi-x,0.00952374,5260030
2018-06-06,pundi-x,0.00897097,2913280
2018-06-07,pundi-x,0.00793598,6362470
2018-06-08,pundi-x,0.00774834,8454780
2018-06-09,pundi-x,0.00806646,11223900
2018-06-10,pundi-x,0.00687888,4648960
2018-06-11,pundi-x,0.00703967,511340
2018-06-12,pundi-x,0.0116292,81467.296875
2018-06-13,pundi-x,0.0106411,803.0759887695312
2018-06-14,pundi-x,0.00718226,3233520
2018-06-15,pundi-x,0.00924044,4356850
2018-06-16,pundi-x,0.0139036,6613490
2018-06-17,pundi-x,0.013026,8212750
2018-06-18,pundi-x,0.0132916,6661810
2018-06-19,pundi-x,0.00968115,10500600
2018-06-20,pundi-x,0.0105869,15320800
2018-06-21,pundi-x,0.00813678,51589600
2018-06-22,pundi-x,0.00618856,25169500
2018-06-23,pundi-x,0.00635901,9428120
2018-06-24,pundi-x,0.00555167,21788600
2018-06-25,pundi-x,0.00531644,14932800
2018-06-26,pundi-x,0.00499224,7173800
2018-06-27,pundi-x,0.00560454,16803600
2018-06-28,pundi-x,0.00504682,8909420
2018-06-29,pundi-x,0.00555992,8981820
2018-06-30,pundi-x,0.00499246,27636800
2018-07-01,pundi-x,0.00450564,13078500
2018-07-02,pundi-x,0.00469883,14401000
2018-07-03,pundi-x,0.00416156,11691400
2018-07-04,pundi-x,0.00414363,6616730
2018-07-05,pundi-x,0.00379277,9020940
2018-07-06,pundi-x,0.00409906,23546000
2018-07-07,pundi-x,0.00405738,7225160
2018-07-08,pundi-x,0.00409857,5792280
2018-07-09,pundi-x,0.00380873,7285930
2018-07-10,pundi-x,0.00341472,6761850
2018-07-11,pundi-x,0.00345047,3602420
2018-07-12,pundi-x,0.0031701,6382200
2018-07-13,pundi-x,0.00329925,6705650
2018-07-14,pundi-x,0.00336856,3164750
2018-07-15,pundi-x,0.00335867,3933300
2018-07-16,pundi-x,0.00388989,6772020
2018-07-17,pundi-x,0.0039502,7680090
2018-07-18,pundi-x,0.00369317,7234630
2018-07-19,pundi-x,0.00335266,7882950
2018-07-20,pundi-x,0.00323477,6113900
2018-07-21,pundi-x,0.00324651,3582220
2018-07-22,pundi-x,0.00311708,3507690
2018-07-23,pundi-x,0.00298516,7317290
2018-07-24,pundi-x,0.00294208,10271000
2018-07-25,pundi-x,0.003109,10761700
2018-07-26,pundi-x,0.00318022,7953430
2018-07-27,pundi-x,0.00326589,4678380
2018-07-28,pundi-x,0.00311891,3806600
2018-07-29,pundi-x,0.00318735,3679400
2018-07-30,pundi-x,0.00303197,4279430
2018-07-31,pundi-x,0.00240416,10810600
2018-08-01,pundi-x,0.00234164,3365870
2018-08-02,pundi-x,0.00209754,3433170
2018-08-03,pundi-x,0.00192508,6297070
2018-08-04,pundi-x,0.00198368,6654200
2018-08-05,pundi-x,0.00209012,2655650
2018-08-06,pundi-x,0.00193184,4073400
2018-08-07,pundi-x,0.00222032,9738220
2018-08-08,pundi-x,0.00180704,8722590
2018-08-09,pundi-x,0.00190407,3210360
2018-08-10,pundi-x,0.00170973,2468260
2018-08-11,pundi-x,0.00157861,2938300
2018-08-12,pundi-x,0.00157284,2234700
2018-08-13,pundi-x,0.00142341,3665370
2018-08-14,pundi-x,0.00135941,3533820
2018-08-15,pundi-x,0.00137726,4631450
2018-08-16,pundi-x,0.00150832,2565580
2018-08-17,pundi-x,0.0019696,11634600
2018-08-18,pundi-x,0.00166311,4620810
2018-08-19,pundi-x,0.00175699,3017020
2018-08-20,pundi-x,0.00162104,2312420
2018-08-21,pundi-x,0.00166794,2636050
2018-08-22,pundi-x,0.00158157,2831230
2018-08-23,pundi-x,0.00162873,2938200
2018-08-24,pundi-x,0.00171578,3866930
2018-08-25,pundi-x,0.00165751,3045550
2018-08-26,pundi-x,0.0018822,10638000
2018-08-27,pundi-x,0.00190951,5799950
2018-08-28,pundi-x,0.00209704,7675840
2018-08-29,pundi-x,0.00190165,6770960
2018-08-30,pundi-x,0.00194881,4841570
2018-08-31,pundi-x,0.00188038,12008500
2018-09-01,pundi-x,0.00194619,7222070
2018-09-02,pundi-x,0.0018944,6342850
2018-09-03,pundi-x,0.00216079,21219600
2018-09-04,pundi-x,0.00225276,9239280
2018-09-05,pundi-x,0.00164783,20065500
2018-09-06,pundi-x,0.00174542,7469060
2018-09-07,pundi-x,0.00168351,8409220
2018-09-08,pundi-x,0.00159757,6491500
2018-09-09,pundi-x,0.00158172,3931380
2018-09-10,pundi-x,0.00157192,2545120
2018-09-11,pundi-x,0.00146683,4932370
2018-09-12,pundi-x,0.00143254,12200300
2018-09-13,pundi-x,0.00155332,5284780
2018-09-14,pundi-x,0.00143128,4797990
2018-09-15,pundi-x,0.00144968,2148630
2018-09-16,pundi-x,0.00148144,2636370
2018-09-17,pundi-x,0.00136443,3451690
2018-09-18,pundi-x,0.00135747,2170220
2018-09-19,pundi-x,0.00139403,1753920
2018-09-20,pundi-x,0.00142907,3178270
2018-09-21,pundi-x,0.00153861,7348870
2018-09-22,pundi-x,0.00143374,3147430
2018-09-23,pundi-x,0.00152229,2926000
2018-09-24,pundi-x,0.00144847,4818010
2018-09-25,pundi-x,0.00144985,2238440
2018-09-26,pundi-x,0.00142854,2753010
2018-09-27,pundi-x,0.00150865,2631510
2018-09-28,pundi-x,0.00148567,1813920
2018-09-29,pundi-x,0.00151297,2348390
2018-09-30,pundi-x,0.00158551,10539300
2018-10-01,pundi-x,0.00160501,9742540
2018-10-02,pundi-x,0.00155833,8612650
2018-10-03,pundi-x,0.00150602,6241470
2018-10-04,pundi-x,0.00149623,8318830
2018-10-05,pundi-x,0.00155527,9417790
2018-10-06,pundi-x,0.00150757,10082000
2018-10-07,pundi-x,0.00151198,7604330
2018-10-08,pundi-x,0.00153754,7837200
2018-10-09,pundi-x,0.00155155,5320430
2018-10-10,pundi-x,0.0016523,13625000
2018-10-11,pundi-x,0.00146457,10175000
2018-10-12,pundi-x,0.00149229,7882240
2018-10-13,pundi-x,0.0014868,8315730
2018-10-14,pundi-x,0.00154399,12575600
2018-10-15,pundi-x,0.00157743,13286200
2018-10-16,pundi-x,0.00157709,2625500
