day,asset,close,volume
2018-02-26,remme,0.0316236,587552
2018-02-27,remme,0.0333123,391773
2018-02-28,remme,0.031399,252222
2018-03-01,remme,0.0271331,447688
2018-03-02,remme,0.0252222,184003
2018-03-03,remme,0.0278966,335060
2018-03-04,remme,0.0277666,390232
2018-03-05,remme,0.0274843,259004
2018-03-06,remme,0.0330598,606599
2018-03-07,remme,0.0278657,514584
2018-03-08,remme,0.0229608,135048
2018-03-09,remme,0.0239784,224829
2018-03-10,remme,0.0215938,199502
2018-03-11,remme,0.0213691,254473
2018-03-12,remme,0.0196528,230176
2018-03-13,remme,0.0190762,109320
2018-03-14,remme,0.0149453,230014
2018-03-15,remme,0.0147059,119475
2018-03-16,remme,0.0140889,146509
2018-03-17,remme,0.0132003,153949
2018-03-18,remme,0.0120064,167908
2018-03-19,remme,0.0131005,74728.796875
2018-03-20,remme,0.0132689,129729
2018-03-21,remme,0.0128578,80113.8984375
2018-03-22,remme,0.0129014,82764.796875
2018-03-23,remme,0.0113845,119207
2018-03-24,remme,0.0120332,125783
2018-03-25,remme,0.0126882,128141
2018-03-26,remme,0.0111737,136996
2018-03-27,remme,0.0104048,95901.203125
2018-03-28,remme,0.0104546,105736
2018-03-29,remme,0.00858808,82505.296875
2018-03-30,remme,0.00974794,129731
2018-03-31,remme,0.0113523,148115
2018-04-01,remme,0.0103391,108668
2018-04-02,remme,0.0102018,140574
2018-04-03,remme,0.0111845,153035
2018-04-04,remme,0.0107865,132959
2018-04-05,remme,0.0104493,130133
2018-04-06,remme,0.0103048,241010
2018-04-07,remme,0.011512,153069
2018-04-08,remme,0.0121479,183450
2018-04-09,remme,0.0127095,248223
2018-04-10,remme,0.0133354,197927
2018-04-11,remme,0.0156682,224681
2018-04-12,remme,0.0175297,260098
2018-04-13,remme,0.0169234,245237
2018-04-14,remme,0.0169531,223721
2018-04-15,remme,0.0168908,262284
2018-04-16,remme,0.0153576,240373
2018-04-17,remme,0.0147975,219173
2018-04-18,remme,0.0145273,138065
2018-04-19,remme,0.0159404,178235
2018-04-20,remme,0.0180142,241957
2018-04-21,remme,0.0170131,234374
2018-04-22,remme,0.0173466,154513
2018-04-23,remme,0.0180897,134435
2018-04-24,remme,0.0199817,264842
2018-04-25,remme,0.0176604,235597
2018-04-26,remme,0.0183793,241788
2018-04-27,remme,0.0197994,357528
2018-04-28,remme,0.0216657,224776
2018-04-29,remme,0.0214191,198332
2018-04-30,remme,0.0195232,253015
2018-05-01,remme,0.0211751,176662
2018-05-02,remme,0.0226709,204091
2018-05-03,remme,0.0235504,185557
2018-05-04,remme,0.0224119,366381
2018-05-05,remme,0.0219462,371864
2018-05-06,remme,0.0207344,377052
