day,asset,close,volume
2018-09-21,robotina,0.0196488,18549.5
2018-09-22,robotina,0.0216191,30816
2018-09-23,robotina,0.0234107,20040.8
2018-09-24,robotina,0.025232,32692.9
2018-09-25,robotina,0.0262931,60427.9
2018-09-26,robotina,0.0228297,25962.5
2018-09-27,robotina,0.0287691,30120.8
2018-09-28,robotina,0.0307972,33084.5
2018-09-29,robotina,0.0308567,17862.8
2018-09-30,robotina,0.0300421,41227.3
2018-10-01,robotina,0.0380946,60849.7
2018-10-02,robotina,0.0400683,32987
2018-10-03,robotina,0.047799,88741.3
2018-10-04,robotina,0.0499924,59919.8
2018-10-05,robotina,0.0487862,156011
2018-10-06,robotina,0.0440312,69569.5
2018-10-07,robotina,0.0435948,54482.6
2018-10-08,robotina,0.0444922,71539.7
2018-10-09,robotina,0.0454111,90197.7
2018-10-10,robotina,0.0427253,65208.2
2018-10-11,robotina,0.0359694,70204.3
2018-10-12,robotina,0.039528,50982.6
2018-10-13,robotina,0.0375248,51791
2018-10-14,robotina,0.0428485,104128
2018-10-15,robotina,0.0442992,104531
2018-10-16,robotina,0.045345,98137.6
2018-10-17,robotina,0.0469073,85074.1
2018-10-18,robotina,0.0460454,61045.7
2018-10-19,robotina,0.0450767,57159.3
2018-10-20,robotina,0.0462451,89215.3
2018-10-21,robotina,0.0457749,95389.8
2018-10-22,robotina,0.0450722,98363.3
2018-10-23,robotina,0.0434529,105952
2018-10-24,robotina,0.0403495,93025.9
2018-10-25,robotina,0.0390323,83917.9
2018-10-26,robotina,0.0404592,79905.3
2018-10-27,robotina,0.0401751,62806.6
2018-10-28,robotina,0.0400317,98988.7
2018-10-29,robotina,0.0384948,101476
2018-10-30,robotina,0.0389908,81705.4
2018-10-31,robotina,0.0389814,113844
2018-11-01,robotina,0.0400617,93812.7
2018-11-02,robotina,0.0397062,99710.4
2018-11-03,robotina,0.0399462,144003
2018-11-04,robotina,0.0411026,52908.8
2018-11-05,robotina,0.0415275,115089
2018-11-06,robotina,0.037373,80657.2
2018-11-07,robotina,0.0376072,33.2549
2018-11-08,robotina,0.0368037,68336.7
2018-11-09,robotina,0.0365309,69550.3
2018-11-10,robotina,0.0359938,102262
2018-11-11,robotina,0.0359193,99072
2018-11-12,robotina,0.0347701,115688
2018-11-13,robotina,0.0325269,97646.8
2018-11-14,robotina,0.0324837,46882.6
2018-11-15,robotina,0.03223,63105.8
2018-11-16,robotina,0.0275028,40376.8
2018-11-17,robotina,0.029304,52172.8
2018-11-18,robotina,0.0306185,38001.6
2018-11-19,robotina,0.0217756,38724.1
2018-11-20,robotina,0.0227371,46148.4
2018-11-21,robotina,0.0204022,63191.3
2018-11-22,robotina,0.0207157,23615.7
2018-11-23,robotina,0.0195386,22675.1
2018-11-24,robotina,0.0181622,14706.3
2018-11-25,robotina,0.0179907,6604.57
2018-11-26,robotina,0.016834,8957.49
2018-11-27,robotina,0.0170199,27890.5
2018-11-28,robotina,0.0193284,16702.7
2018-11-29,robotina,0.018609436,9716.79784913093
2018-11-30,robotina,0.017894328,9798.19896935691
2018-12-01,robotina,0.018940987,9343.15194230561
2018-12-02,robotina,0.01862277,10772.499740042
2018-12-03,robotina,0.017368138,17271.3529287805
2018-12-04,robotina,0.017748145,32624.379265821
2018-12-05,robotina,0.014900901,8997.67134977366
2018-12-06,robotina,0.015197409,31120.9070756834
