day,asset,close,volume
2018-07-11,saifu,0.0607166,147659
2018-07-12,saifu,0.0561285,96973.3984375
2018-07-13,saifu,0.0503468,313345
2018-07-14,saifu,0.050262,437462
2018-07-15,saifu,0.0523773,393686
2018-07-16,saifu,0.0569003,371369
2018-07-17,saifu,0.0585499,305272
2018-07-18,saifu,0.0605551,468439
2018-07-19,saifu,0.0530875,519120
2018-07-20,saifu,0.0506909,507563
2018-07-21,saifu,0.0483537,279006
2018-07-22,saifu,0.0472377,383516
2018-07-23,saifu,0.0490063,508026
2018-07-24,saifu,0.0534648,557080
2018-07-25,saifu,0.0526425,379623
2018-07-26,saifu,0.0513031,479216
2018-07-27,saifu,0.0536568,437469
2018-07-28,saifu,0.0524723,539633
2018-07-29,saifu,0.0525729,496070
2018-07-30,saifu,0.0523488,467589
2018-07-31,saifu,0.050309,360415
2018-08-01,saifu,0.0527996,506623
2018-08-02,saifu,0.0527963,595144
2018-08-03,saifu,0.054403,524371
2018-08-04,saifu,0.0525105,426617
2018-08-05,saifu,0.0712048,391230
2018-08-06,saifu,0.0766332,153840
2018-08-07,saifu,0.0811613,270596
2018-08-08,saifu,0.0726499,402413
2018-08-09,saifu,0.0725306,110478
2018-08-10,saifu,0.0681738,457664
2018-08-11,saifu,0.0614875,249643
2018-08-12,saifu,0.069962,344563
2018-08-13,saifu,0.06991,220698
2018-08-14,saifu,0.0914162,120130
2018-08-15,saifu,0.0836344,200187
2018-08-16,saifu,0.0837215,265104
2018-08-17,saifu,0.0827802,304441
2018-08-18,saifu,0.0798272,261980
2018-08-19,saifu,0.0717812,62885
2018-08-20,saifu,0.0708761,349590
2018-08-21,saifu,0.0642555,389227
2018-08-22,saifu,0.063938,349025
2018-08-23,saifu,0.06523,379910
2018-08-24,saifu,0.0672403,397915
2018-08-25,saifu,0.071863,556804
2018-08-26,saifu,0.0659424,439055
2018-08-27,saifu,0.0683638,444887
2018-08-28,saifu,0.0693643,621805
2018-08-29,saifu,0.0732245,356692
2018-08-30,saifu,0.0790982,82749
2018-08-31,saifu,0.088251,73290.2
2018-09-01,saifu,0.0851608,308323
2018-09-02,saifu,0.0893693,352677
2018-09-03,saifu,0.0874268,267277
2018-09-04,saifu,0.0856743,504943
2018-09-05,saifu,0.0778926,726167
2018-09-06,saifu,0.0751784,395635
2018-09-07,saifu,0.0750689,457065
2018-09-08,saifu,0.0714437,246952
2018-09-09,saifu,0.0658952,420595
2018-09-10,saifu,0.0647775,456836
2018-09-11,saifu,0.0645257,370890
2018-09-12,saifu,0.0652674,259465
2018-09-13,saifu,0.0581514,700553
2018-09-14,saifu,0.0588224,512408
2018-09-15,saifu,0.05891,749375
2018-09-16,saifu,0.064441,195356
2018-09-17,saifu,0.0564564,109110
2018-09-18,saifu,0.0577754,476817
2018-09-19,saifu,0.0581853,667677
2018-09-20,saifu,0.0591064,472716
2018-09-21,saifu,0.0608717,351456
2018-09-22,saifu,0.0600084,558052
2018-09-23,saifu,0.0602353,634418
2018-09-24,saifu,0.061478,601107
2018-09-25,saifu,0.0574293,380075
2018-09-26,saifu,0.057739,503448
2018-09-27,saifu,0.0598171,40754.4
2018-09-28,saifu,0.0602101,6981
2018-09-29,saifu,0.0592033,7.40041
2018-09-30,saifu,0.0591612,7.39515
2018-10-03,saifu,0.0493322,27.8065
2018-10-04,saifu,0.0436192,135.962
2018-10-05,saifu,0.0440005,0.616006
2018-10-06,saifu,0.0436675,0.69868
2018-10-07,saifu,0.0438491,0.701585
2018-10-08,saifu,0.0440679,26.7328
2018-10-09,saifu,0.0439181,17.715
2018-10-17,saifu,0.0521869,6.65382
2018-10-18,saifu,0.0524066,6.68184
