day,asset,close,volume
2018-08-16,seal-network,0.00460071,1039.24
2018-08-17,seal-network,0.00529019,729.021
2018-08-18,seal-network,0.00495678,202.722
2018-08-19,seal-network,0.00497081,60.8586
2018-08-20,seal-network,0.00453515,1139.56
2018-08-21,seal-network,0.00422851,2288.82
2018-08-22,seal-network,0.00406713,886.987
2018-08-23,seal-network,0.00469532,1898.88
2018-08-24,seal-network,0.00481878,567.565
2018-08-25,seal-network,0.00419477,4008.04
2018-08-26,seal-network,0.00453381,5552.4
2018-08-27,seal-network,0.00470642,1882.57
2018-08-28,seal-network,0.00471606,1919.38
2018-08-29,seal-network,0.00461633,207.735
2018-08-30,seal-network,0.00344068,2095.59
2018-08-31,seal-network,0.00407282,1933.66
2018-09-01,seal-network,0.00413182,433.115
2018-09-02,seal-network,0.00426631,4229.4
2018-09-03,seal-network,0.00318173,902.332
2018-09-04,seal-network,0.00482009,112.492
2018-09-05,seal-network,0.0030261,2820.52
2018-09-06,seal-network,0.00365499,8116.11
2018-09-07,seal-network,0.00344804,551.147
2018-09-08,seal-network,0.00315324,2356.74
2018-09-09,seal-network,0.00277776,1075.76
2018-09-10,seal-network,0.00240696,1234.85
2018-09-11,seal-network,0.00240163,594.734
2018-09-12,seal-network,0.00229148,1358.83
2018-09-13,seal-network,0.00278858,2745.26
2018-09-14,seal-network,0.00296711,380.242
2018-09-15,seal-network,0.00353382,1602.8
2018-09-16,seal-network,0.00339453,1045.6
2018-09-17,seal-network,0.00318628,11.152
2018-09-18,seal-network,0.00296814,741.174
2018-09-19,seal-network,0.0031504,475.439
2018-09-20,seal-network,0.00337373,107.341
2018-09-21,seal-network,0.0032276,157.312
2018-09-22,seal-network,0.00371209,3932.87
2018-09-23,seal-network,0.00346592,2285.42
2018-09-24,seal-network,0.00283695,3286.66
2018-09-25,seal-network,0.00266114,312.031
2018-09-26,seal-network,0.00306419,1208.2
2018-09-27,seal-network,0.00323837,32.7075
2018-09-28,seal-network,0.00315893,1142.19
2018-09-29,seal-network,0.00365214,1317.38
2018-09-30,seal-network,0.00367069,13.9747
2018-10-01,seal-network,0.00346378,944.585
2018-10-02,seal-network,0.00340667,120.567
2018-10-03,seal-network,0.00317455,1843.98
2018-10-04,seal-network,0.00322074,173.401
2018-10-05,seal-network,0.00291009,1250.03
