day,asset,close,volume
2018-05-31,seele,0.301319,1750560
2018-06-01,seele,0.291825,1309750
2018-06-02,seele,0.261816,673281
2018-06-03,seele,0.249724,661166
2018-06-04,seele,0.284337,1122020
2018-06-05,seele,0.292765,1129270
2018-06-06,seele,0.274747,198552
2018-06-07,seele,0.267833,276007
2018-06-08,seele,0.266109,309677
2018-06-09,seele,0.262568,396929
2018-06-10,seele,0.232657,324901
2018-06-11,seele,0.226052,6517570
2018-06-12,seele,0.234441,7970720
2018-06-13,seele,0.210659,6680140
2018-06-14,seele,0.271583,8178770
2018-06-15,seele,0.256935,5793530
2018-06-16,seele,0.266046,4790990
2018-06-17,seele,0.261237,4144940
2018-06-18,seele,0.266231,3928790
2018-06-19,seele,0.26964,5029130
2018-06-20,seele,0.272002,3909120
2018-06-21,seele,0.260735,3800850
2018-06-22,seele,0.217592,4663720
2018-06-23,seele,0.214653,4019840
2018-06-24,seele,0.206239,4124640
2018-06-25,seele,0.216691,4421690
2018-06-26,seele,0.206279,6117230
2018-06-27,seele,0.219459,5933940
2018-06-28,seele,0.192341,5433620
2018-06-29,seele,0.195031,5045160
2018-06-30,seele,0.210813,5954200
2018-07-01,seele,0.21087,5644210
2018-07-02,seele,0.210616,5250010
2018-07-03,seele,0.207558,4713810
2018-07-04,seele,0.210087,5598610
2018-07-05,seele,0.250236,13330700
2018-07-06,seele,0.24516,5090450
2018-07-07,seele,0.249424,2091860
2018-07-08,seele,0.246164,3286480
2018-07-09,seele,0.237388,6820660
2018-07-10,seele,0.202186,4341950
2018-07-11,seele,0.202748,1632430
2018-07-12,seele,0.194506,1213050
2018-07-13,seele,0.196489,3189710
2018-07-14,seele,0.202029,5031980
2018-07-15,seele,0.206655,10120400
2018-07-16,seele,0.227501,7453650
2018-07-17,seele,0.226143,4063040
2018-07-18,seele,0.197918,3248500
2018-07-19,seele,0.18071,2806310
2018-07-20,seele,0.163515,2182260
2018-07-21,seele,0.167166,2004630
2018-07-22,seele,0.171674,2006260
2018-07-23,seele,0.15119,2638690
2018-07-24,seele,0.12795,2908820
2018-07-25,seele,0.107684,2071680
2018-07-26,seele,0.112002,1552550
2018-07-27,seele,0.0910972,2737060
2018-07-28,seele,0.0842761,2357940
2018-07-29,seele,0.0912878,4194440
2018-07-30,seele,0.0945352,1594550
2018-07-31,seele,0.0806359,925974
2018-08-01,seele,0.0732986,664612
2018-08-02,seele,0.0775774,1319600
2018-08-03,seele,0.082491,1124570
2018-08-04,seele,0.0726687,1140520
2018-08-05,seele,0.0724745,636833
2018-08-06,seele,0.0636643,736251
2018-08-07,seele,0.0429323,3239670
2018-08-08,seele,0.0371604,675778
2018-08-09,seele,0.0421748,420378
2018-08-10,seele,0.038297,624673
2018-08-11,seele,0.0346338,492745
2018-08-12,seele,0.0305092,360571
2018-08-13,seele,0.0277123,322827
2018-08-14,seele,0.0253682,581903
2018-08-15,seele,0.0289613,618005
2018-08-16,seele,0.0293315,554385
2018-08-17,seele,0.0374992,819773
2018-08-18,seele,0.0351343,789052
2018-08-19,seele,0.036581,641340
2018-08-20,seele,0.0347619,525310
2018-08-21,seele,0.0323505,414432
2018-08-22,seele,0.0280592,498141
2018-08-23,seele,0.029065,719432
2018-08-24,seele,0.0298305,523403
2018-08-25,seele,0.0306499,369617
2018-08-26,seele,0.0290447,364483
2018-08-27,seele,0.0301517,552564
2018-08-28,seele,0.0336801,608880
2018-08-29,seele,0.0284327,591842
2018-08-30,seele,0.025526,845095
2018-08-31,seele,0.0270596,1354320
2018-09-01,seele,0.0322812,3396500
2018-09-02,seele,0.0328074,3209480
2018-09-03,seele,0.0302541,1598720
2018-09-04,seele,0.0314135,1346070
2018-09-05,seele,0.0242951,1008630
2018-09-06,seele,0.0227234,1208210
2018-09-07,seele,0.0223969,590714
2018-09-08,seele,0.022835,971423
2018-09-09,seele,0.0288831,1135240
2018-09-10,seele,0.0289875,1275720
2018-09-11,seele,0.0312317,2112070
2018-09-12,seele,0.0292373,1739080
2018-09-13,seele,0.0335777,1526060
2018-09-14,seele,0.0315784,839634
2018-09-15,seele,0.0315076,689758
2018-09-16,seele,0.0297851,861905
2018-09-17,seele,0.0285856,885826
2018-09-18,seele,0.0283272,269236
2018-09-19,seele,0.0292962,289994
2018-09-20,seele,0.0298374,627881
2018-09-21,seele,0.0321723,548434
2018-09-22,seele,0.0280899,469858
2018-09-23,seele,0.028362,311747
2018-09-24,seele,0.0269259,854831
2018-09-25,seele,0.0263518,581707
2018-09-26,seele,0.0257589,399916
2018-09-27,seele,0.0266245,297217
2018-09-28,seele,0.0248625,209232
2018-09-29,seele,0.0275527,783588
2018-09-30,seele,0.0262791,807215
2018-10-01,seele,0.0235734,611055
2018-10-02,seele,0.0237904,638444
2018-10-03,seele,0.0227667,895392
2018-10-04,seele,0.0230407,538873
2018-10-05,seele,0.0246318,333885
2018-10-06,seele,0.0247263,428530
2018-10-07,seele,0.0242059,437401
2018-10-08,seele,0.0240256,496512
2018-10-09,seele,0.0231684,875138
2018-10-10,seele,0.0224848,515768
2018-10-11,seele,0.0188722,275237
2018-10-12,seele,0.0163813,725339
2018-10-13,seele,0.0176136,410985
2018-10-14,seele,0.0177357,446340
