day,asset,close,volume
2018-01-15,selfkey,0.066534,31248100
2018-01-16,selfkey,0.0521732,11583500
2018-01-17,selfkey,0.0497103,4837140
2018-01-18,selfkey,0.0465342,4432340
2018-01-19,selfkey,0.0451566,3035590
2018-01-20,selfkey,0.0520891,3709820
2018-01-21,selfkey,0.0444234,1880700
2018-01-22,selfkey,0.0393706,2490270
2018-01-23,selfkey,0.0363452,1514560
2018-01-24,selfkey,0.0317418,1983180
2018-01-25,selfkey,0.0359131,3889160
2018-01-26,selfkey,0.0367957,2541810
2018-01-27,selfkey,0.0382133,1760960
2018-01-28,selfkey,0.0378,1502310
2018-01-29,selfkey,0.0339995,2456000
2018-01-30,selfkey,0.0262329,1748180
2018-01-31,selfkey,0.0248902,1906280
2018-02-01,selfkey,0.0217212,2139090
2018-02-02,selfkey,0.0227092,1711850
2018-02-03,selfkey,0.0246325,1070150
2018-02-04,selfkey,0.0197005,588606
2018-02-05,selfkey,0.0152674,651138
2018-02-06,selfkey,0.0191257,763949
2018-02-07,selfkey,0.0152327,1315200
2018-02-08,selfkey,0.015369,1090160
2018-02-09,selfkey,0.0170114,665436
2018-02-10,selfkey,0.0154055,654543
2018-02-11,selfkey,0.0145732,871151
2018-02-12,selfkey,0.0157179,649247
2018-02-13,selfkey,0.0146162,611113
2018-02-14,selfkey,0.0195807,960575
2018-02-15,selfkey,0.0193699,726385
2018-02-16,selfkey,0.0197446,678533
2018-02-17,selfkey,0.0211676,649932
2018-02-18,selfkey,0.0192092,417088
2018-02-19,selfkey,0.0194276,564897
2018-02-20,selfkey,0.0171807,429600
2018-02-21,selfkey,0.016018,882682
2018-02-22,selfkey,0.0151822,265520
2018-02-23,selfkey,0.016713,371617
2018-02-24,selfkey,0.0155394,219513
2018-02-25,selfkey,0.0145168,439264
2018-02-26,selfkey,0.0167845,445928
2018-02-27,selfkey,0.0150667,556256
2018-02-28,selfkey,0.0147555,319363
2018-03-01,selfkey,0.0149898,540216
2018-03-02,selfkey,0.0139323,687512
2018-03-03,selfkey,0.0139922,274041
2018-03-04,selfkey,0.0134223,263768
2018-03-05,selfkey,0.0135805,332004
2018-03-06,selfkey,0.0129992,384295
2018-03-07,selfkey,0.0116423,212455
2018-03-08,selfkey,0.0110438,251821
2018-03-09,selfkey,0.0112166,217341
2018-03-10,selfkey,0.010106,136513
2018-03-11,selfkey,0.0110044,126393
2018-03-12,selfkey,0.0108074,100790
2018-03-13,selfkey,0.0107179,82427
2018-03-14,selfkey,0.00948477,103410
2018-03-15,selfkey,0.00939554,91011.703125
2018-03-16,selfkey,0.00923659,101892
2018-03-17,selfkey,0.00828978,99357.8984375
2018-03-18,selfkey,0.00882603,225924
2018-03-19,selfkey,0.00911416,114545
2018-03-20,selfkey,0.00908082,191649
2018-03-21,selfkey,0.0095281,200528
2018-03-22,selfkey,0.00924249,116614
2018-03-23,selfkey,0.00905025,166235
2018-03-24,selfkey,0.00947253,107613
2018-03-25,selfkey,0.00941989,88712.3984375
2018-03-26,selfkey,0.0086451,207029
2018-03-27,selfkey,0.00805695,112331
2018-03-28,selfkey,0.00811312,131429
2018-03-29,selfkey,0.00678648,104152
2018-03-30,selfkey,0.00687917,62199.5
2018-03-31,selfkey,0.00704649,47452.6015625
2018-04-01,selfkey,0.00664582,63216.30078125
2018-04-02,selfkey,0.00713375,49345
2018-04-03,selfkey,0.00788854,93817.703125
2018-04-04,selfkey,0.00682079,71240.5
2018-04-05,selfkey,0.00703953,43460.8984375
2018-04-06,selfkey,0.00666196,50079.69921875
2018-04-07,selfkey,0.00690935,218340
2018-04-08,selfkey,0.00712479,83310.3984375
2018-04-09,selfkey,0.00711897,103313
2018-04-10,selfkey,0.00727428,77313.203125
2018-04-11,selfkey,0.00753665,109970
2018-04-12,selfkey,0.00912504,275058
2018-04-13,selfkey,0.00919323,295761
2018-04-14,selfkey,0.00922148,121441
2018-04-15,selfkey,0.00987838,129386
2018-04-16,selfkey,0.00941553,176038
2018-04-17,selfkey,0.00921478,149591
2018-04-18,selfkey,0.00936737,134652
2018-04-19,selfkey,0.0100568,163387
2018-04-20,selfkey,0.011861,603992
2018-04-21,selfkey,0.0122878,349478
2018-04-22,selfkey,0.0141784,689885
2018-04-23,selfkey,0.0138927,602420
2018-04-24,selfkey,0.014628,405240
2018-04-25,selfkey,0.0122566,382829
2018-04-26,selfkey,0.0133794,248007
2018-04-27,selfkey,0.0129749,213727
2018-04-28,selfkey,0.0133992,121735
2018-04-29,selfkey,0.0120797,423829
2018-04-30,selfkey,0.0119746,376908
2018-05-01,selfkey,0.0117375,240930
2018-05-02,selfkey,0.0122495,234592
2018-05-03,selfkey,0.0127289,387839
2018-05-04,selfkey,0.0124001,576017
2018-05-05,selfkey,0.0128777,236960
2018-05-06,selfkey,0.0120088,175617
2018-05-07,selfkey,0.0110812,147623
2018-05-08,selfkey,0.011003,170146
2018-05-09,selfkey,0.0108159,146809
2018-05-10,selfkey,0.0105118,163207
2018-05-11,selfkey,0.008957,180922
2018-05-12,selfkey,0.00909366,127137
2018-05-13,selfkey,0.0102868,165242
2018-05-14,selfkey,0.0109352,213875
2018-05-15,selfkey,0.0104223,163416
2018-05-16,selfkey,0.0100229,145546
2018-05-17,selfkey,0.00910703,188684
2018-05-18,selfkey,0.0091646,164422
2018-05-19,selfkey,0.00953458,252874
2018-05-20,selfkey,0.00921368,309578
2018-05-21,selfkey,0.00893606,149566
2018-05-22,selfkey,0.00828462,103104
2018-05-23,selfkey,0.00734101,164403
2018-05-24,selfkey,0.00753398,63410.80078125
2018-05-25,selfkey,0.00730271,44632.1015625
2018-05-26,selfkey,0.00714101,67422.796875
2018-05-27,selfkey,0.00712968,65167.30078125
2018-05-28,selfkey,0.00656331,66410.6015625
2018-05-29,selfkey,0.0068905,60168.1015625
2018-05-30,selfkey,0.0068834,103161
2018-05-31,selfkey,0.00733711,76323.296875
2018-06-01,selfkey,0.00731566,80445.8984375
2018-06-02,selfkey,0.00715507,68799.203125
2018-06-03,selfkey,0.00713278,138902
2018-06-04,selfkey,0.00670979,222148
2018-06-05,selfkey,0.0068067,136799
2018-06-06,selfkey,0.007269,226046
2018-06-07,selfkey,0.00714281,380522
2018-06-08,selfkey,0.00723056,257078
2018-06-09,selfkey,0.0071154,118404
2018-06-10,selfkey,0.00631675,101721
2018-06-11,selfkey,0.00638851,102360
2018-06-12,selfkey,0.00610311,107286
2018-06-13,selfkey,0.00555565,76001.3984375
2018-06-14,selfkey,0.00629327,51776.30078125
2018-06-15,selfkey,0.00617894,94825.8984375
2018-06-16,selfkey,0.00619668,66599.5
2018-06-17,selfkey,0.00630946,60095.30078125
2018-06-18,selfkey,0.00657372,69777.796875
2018-06-19,selfkey,0.00754741,274922
2018-06-20,selfkey,0.00775654,137385
2018-06-21,selfkey,0.00776285,164121
2018-06-22,selfkey,0.00671786,100292
2018-06-23,selfkey,0.00700475,34396
2018-06-24,selfkey,0.00674642,76700.796875
2018-06-25,selfkey,0.00699137,120699
2018-06-26,selfkey,0.00679642,91259.1015625
2018-06-27,selfkey,0.00802042,11402600
2018-06-28,selfkey,0.0109601,55028400
2018-06-29,selfkey,0.0180901,94651800
2018-06-30,selfkey,0.029618,473580992
2018-07-01,selfkey,0.0237137,204020992
2018-07-02,selfkey,0.0200217,75669296
2018-07-03,selfkey,0.0265297,247996992
2018-07-04,selfkey,0.0280521,78690496
2018-07-05,selfkey,0.0211982,45077600
2018-07-06,selfkey,0.020364,30863900
2018-07-07,selfkey,0.020625,15519700
2018-07-08,selfkey,0.0203191,9629130
2018-07-09,selfkey,0.0157262,19314000
2018-07-10,selfkey,0.0141586,13089900
2018-07-11,selfkey,0.0154655,21025300
2018-07-12,selfkey,0.0140882,8377220
2018-07-13,selfkey,0.0134485,12119200
2018-07-14,selfkey,0.012596,6029580
2018-07-15,selfkey,0.012656,4404460
2018-07-16,selfkey,0.0127609,4517380
2018-07-17,selfkey,0.0134836,7408210
2018-07-18,selfkey,0.0118923,9848360
