day,asset,close,volume
2018-05-21,signals-network,0.032538,233052
2018-05-22,signals-network,0.024861,124773
2018-05-23,signals-network,0.0228703,222354
2018-05-24,signals-network,0.0246409,146629
2018-05-25,signals-network,0.0254078,198329
2018-05-26,signals-network,0.0247365,158495
2018-05-27,signals-network,0.0267182,151643
2018-05-28,signals-network,0.022434,202335
2018-05-29,signals-network,0.024466,215208
2018-05-30,signals-network,0.0234167,207703
2018-05-31,signals-network,0.0231496,232735
2018-06-01,signals-network,0.0229286,156630
2018-06-02,signals-network,0.0234418,206547
2018-06-03,signals-network,0.0239646,158713
2018-06-04,signals-network,0.0227776,167556
2018-06-05,signals-network,0.0232343,167718
2018-06-06,signals-network,0.0232131,126980
2018-06-07,signals-network,0.0217726,63952.8984375
2018-06-08,signals-network,0.0208419,118085
2018-06-09,signals-network,0.0200286,154334
2018-06-10,signals-network,0.0158266,138312
2018-06-11,signals-network,0.0155336,153169
2018-06-12,signals-network,0.0146549,141809
2018-06-13,signals-network,0.0131715,116848
2018-06-14,signals-network,0.013496,119415
2018-06-15,signals-network,0.0130018,88987.296875
2018-06-16,signals-network,0.0135132,98843.6015625
2018-06-17,signals-network,0.0135966,107200
2018-06-18,signals-network,0.0139455,143705
2018-06-19,signals-network,0.0139467,133667
2018-06-20,signals-network,0.0140414,123899
2018-06-21,signals-network,0.0135069,148735
2018-06-22,signals-network,0.0118889,121909
2018-06-23,signals-network,0.0101614,116755
2018-06-24,signals-network,0.00926524,118132
2018-06-25,signals-network,0.00926304,159632
2018-06-26,signals-network,0.00866525,126539
2018-06-27,signals-network,0.00782597,108051
2018-06-28,signals-network,0.00835901,134726
2018-06-29,signals-network,0.00860457,99639.5
2018-06-30,signals-network,0.00863188,117752
2018-07-01,signals-network,0.00851411,166374
2018-07-02,signals-network,0.00913948,138881
2018-07-03,signals-network,0.0102755,123515
2018-07-04,signals-network,0.0105111,186738
2018-07-05,signals-network,0.00908725,90975.8984375
2018-07-06,signals-network,0.00963157,76948.296875
2018-07-07,signals-network,0.00955764,102134
2018-07-08,signals-network,0.00926542,145376
2018-07-09,signals-network,0.00882216,134643
2018-07-10,signals-network,0.00938201,222383
2018-07-11,signals-network,0.00855214,106072
2018-07-12,signals-network,0.00789896,124449
2018-07-13,signals-network,0.00752295,151760
2018-07-14,signals-network,0.00656938,156495
2018-07-15,signals-network,0.0063999,133680
2018-07-16,signals-network,0.0069259,130076
2018-07-17,signals-network,0.00733519,151413
2018-07-18,signals-network,0.00821384,144008
2018-07-19,signals-network,0.00796826,154463
2018-07-20,signals-network,0.00767966,100315
2018-07-21,signals-network,0.0079216,117009
2018-07-22,signals-network,0.00814627,152418
2018-07-23,signals-network,0.0087611,159629
2018-07-24,signals-network,0.00922656,162347
2018-07-25,signals-network,0.00906713,149231
2018-07-26,signals-network,0.00906435,160841
2018-07-27,signals-network,0.00910133,133975
2018-07-28,signals-network,0.00924396,125558
2018-07-29,signals-network,0.00968488,123287
2018-07-30,signals-network,0.00915094,143404
2018-07-31,signals-network,0.00859979,118999
2018-08-01,signals-network,0.00812071,130994
2018-08-02,signals-network,0.00787221,128399
2018-08-03,signals-network,0.00765128,115592
2018-08-04,signals-network,0.00821424,139207
2018-08-05,signals-network,0.00792698,154984
2018-08-06,signals-network,0.00886099,177847
2018-08-07,signals-network,0.00721665,149846
2018-08-08,signals-network,0.0066942,118908
2018-08-09,signals-network,0.00813464,159489
2018-08-10,signals-network,0.00720675,66998.9
2018-08-11,signals-network,0.00648918,99495.7
2018-08-12,signals-network,0.00597784,119956
2018-08-13,signals-network,0.00581958,133710
2018-08-14,signals-network,0.00628819,150252
2018-08-15,signals-network,0.0066201,173563
2018-08-16,signals-network,0.00665874,121877
2018-08-17,signals-network,0.00735318,190381
2018-08-18,signals-network,0.00701211,148667
2018-08-19,signals-network,0.00685074,132824
2018-08-20,signals-network,0.00646004,96209.2
2018-08-21,signals-network,0.00621727,123754
2018-08-22,signals-network,0.00700594,135100
2018-08-23,signals-network,0.00662016,124592
2018-08-24,signals-network,0.00691403,184173
2018-08-25,signals-network,0.00748095,149622
2018-08-26,signals-network,0.00742103,133921
2018-08-27,signals-network,0.00775741,170123
2018-08-28,signals-network,0.00781302,127537
2018-08-29,signals-network,0.00744167,100224
2018-08-30,signals-network,0.00700384,70959.3
2018-08-31,signals-network,0.00726716,88955
2018-09-01,signals-network,0.00739934,88274.3
2018-09-02,signals-network,0.00698949,56515
2018-09-03,signals-network,0.00680023,19922.9
2018-09-04,signals-network,0.00679287,18642
2018-09-05,signals-network,0.00592019,14856.1
2018-09-06,signals-network,0.00365855,5849.84
2018-09-07,signals-network,0.00434479,260.687
2018-09-08,signals-network,0.00584319,3010.67
2018-09-09,signals-network,0.0054401,361.176
2018-09-10,signals-network,0.00403102,454.707
2018-09-11,signals-network,0.0036942,386.243
2018-09-12,signals-network,0.00435643,1922.08
2018-09-13,signals-network,0.00585347,453.903
2018-09-14,signals-network,0.0052085,254.071
2018-09-15,signals-network,0.00532929,79.9561
2018-09-16,signals-network,0.00463191,411.123
2018-09-17,signals-network,0.00391607,168.968
2018-09-18,signals-network,0.00453729,106.807
2018-09-19,signals-network,0.00412973,1117.59
2018-09-20,signals-network,0.00426409,742.427
2018-09-21,signals-network,0.00586724,194.548
2018-09-22,signals-network,0.00531353,116.096
2018-09-23,signals-network,0.00518301,78.9408
2018-09-24,signals-network,0.00546798,217.487
2018-09-25,signals-network,0.00476178,83.8072
2018-09-26,signals-network,0.00471435,32.4395
2018-09-27,signals-network,0.00465717,220.791
2018-09-28,signals-network,0.0062421,432.258
2018-09-29,signals-network,0.00647677,251.913
2018-09-30,signals-network,0.0052018,32.6335
2018-10-01,signals-network,0.00646572,27.9207
2018-10-02,signals-network,0.00507401,166.524
2018-10-03,signals-network,0.00533639,43.3225
2018-10-04,signals-network,0.00455538,7.38654
2018-10-05,signals-network,0.00471948,47.1681
2018-10-06,signals-network,0.00477049,181.703
2018-10-07,signals-network,0.00474198,20.0061
2018-10-08,signals-network,0.00487916,43.3125
2018-10-09,signals-network,0.00488483,43.3629
2018-10-10,signals-network,0.00473985,9.9679
2018-10-11,signals-network,0.00530117,202.508
2018-10-12,signals-network,0.00503415,349.759
2018-10-13,signals-network,0.0055547,490.924
2018-10-14,signals-network,0.00557198,171.504
2018-10-15,signals-network,0.0059984,783.276
2018-10-16,signals-network,0.00597848,381.967
2018-10-17,signals-network,0.00524907,80.3417
2018-10-18,signals-network,0.00574473,443.524
2018-10-19,signals-network,0.00469229,286.045
2018-10-20,signals-network,0.00466607,245.487
2018-10-21,signals-network,0.00588022,1272.1
2018-10-22,signals-network,0.00560825,56.1907
2018-10-23,signals-network,0.00612899,1261.56
2018-10-24,signals-network,0.00521031,165.537
2018-10-25,signals-network,0.00520103,215.241
2018-10-26,signals-network,0.00518068,16.6105
2018-10-27,signals-network,0.00612979,140.596
2018-10-28,signals-network,0.00611194,0
2018-10-29,signals-network,0.00611194,0
2018-10-30,signals-network,0.00449589,150.427
2018-10-31,signals-network,0.00500839,772.237
2018-11-01,signals-network,0.00538405,297.716
2018-11-02,signals-network,0.00405659,631.664
2018-11-03,signals-network,0.00443627,11.4633
2018-11-04,signals-network,0.00550695,808.424
2018-11-05,signals-network,0.00524742,1213.32
2018-11-06,signals-network,0.00544036,338.518
2018-11-07,signals-network,0.00554326,5.54326
2018-11-08,signals-network,0.00429087,534.95
2018-11-09,signals-network,0.00574446,1127.98
2018-11-10,signals-network,0.00431988,81.0118
2018-11-11,signals-network,0.00630366,1292.22
2018-11-12,signals-network,0.0050036,922.619
2018-11-13,signals-network,0.00520856,1241.52
2018-11-14,signals-network,0.00500234,0
2018-11-15,signals-network,0.00564912,1576.7
2018-11-16,signals-network,0.00494193,2501.79
2018-11-17,signals-network,0.00481998,1201.82
2018-11-18,signals-network,0.00509975,86.3893
2018-11-19,signals-network,0.00760234,101.699
2018-11-20,signals-network,0.00336683,1442.07
2018-11-21,signals-network,0.00302436,586.306
2018-11-22,signals-network,0.00335999,534.139
2018-11-23,signals-network,0.00591042,372.909
2018-11-24,signals-network,0.00290624,154.502
2018-11-25,signals-network,0.00341988,192.276
2018-11-26,signals-network,0.00248822,24.5039
2018-11-27,signals-network,0.00244751,0
2018-11-28,signals-network,0.00287856,143.928
2018-11-29,signals-network,0.0027046872,469.298430105314
2018-11-30,signals-network,0.0035131646,82.5593677190565
2018-12-01,signals-network,0.0035322513,10478.107896839
2018-12-02,signals-network,0.0031049633,865.270495722648
2018-12-03,signals-network,0.0029117495,0
2018-12-04,signals-network,0.0029117495,0
2018-12-05,signals-network,0.0029117495,0
2018-12-06,signals-network,0.002789272,105.159148898138
2018-12-07,signals-network,0.002617876,0
2018-12-08,signals-network,0.0025493668,110.570821045776
2018-12-09,signals-network,0.003711922,75.743982609006
2018-12-10,signals-network,0.0027501176,22.483287516019
2018-12-11,signals-network,0.0032044454,1047.33707477977
2018-12-12,signals-network,0.0034773182,124.339124892266
2018-12-13,signals-network,0.003291008,13.8222341533394
2018-12-14,signals-network,0.0030253003,837.448942399068
2018-12-15,signals-network,0.0029837107,175.760676320653
2018-12-16,signals-network,0.002817053,17.7721342837617
2018-12-17,signals-network,0.0028941338,7.34126633242364
2018-12-18,signals-network,0.0029457898,32.1727953843341
2018-12-19,signals-network,0.003141063,38.996786138793
2018-12-20,signals-network,0.0037765983,93826.4189804734
2018-12-21,signals-network,0.0035592038,15.0249616041807
2018-12-22,signals-network,0.003504439,43.7283904120287
2018-12-23,signals-network,0.004058247,253.638082793073
2018-12-24,signals-network,0.0043454957,60.8363548592651
2018-12-25,signals-network,0.004028209,20.5346879937847
2018-12-26,signals-network,0.004085333,350.945848959435
2018-12-27,signals-network,0.00349879,58.8959323699566
2018-12-28,signals-network,0.0041354215,12.3566395959924
2018-12-29,signals-network,0.0040614773,0
2018-12-30,signals-network,0.0041968855,10.8079916202696
2018-12-31,signals-network,0.0040010684,182.59408615905
2019-01-01,signals-network,0.003734245,5317.2394800952
2019-01-02,signals-network,0.0031020432,102.393377906571
2019-01-03,signals-network,0.0033441172,593.869351614476
2019-01-04,signals-network,0.0033773915,0
2019-01-05,signals-network,0.0033773915,0
2019-01-06,signals-network,0.0033855666,294.962952016612
2019-01-07,signals-network,0.0027330033,71.7409699366755
2019-01-08,signals-network,0.003084214,453.2292268737
2019-01-09,signals-network,0.00273768,0
2019-01-10,signals-network,0.0035380938,796.298618720429
2019-01-11,signals-network,0.0048262444,33.7837117491924
2019-01-12,signals-network,0.004766515,11.9162875198107
2019-01-13,signals-network,0.004640139,0
2019-01-14,signals-network,0.0023400565,26.8010210611088
2019-01-15,signals-network,0.0034445769,24.4269736816277
2019-01-16,signals-network,0.0034264356,0
2019-01-17,signals-network,0.0034264356,0
2019-01-18,signals-network,0.0034264356,0
2019-01-19,signals-network,0.0030108443,525.720063252653
2019-01-20,signals-network,0.0025420133,322.017510277797
2019-01-21,signals-network,0.0027802077,1736.86387993716
2019-01-22,signals-network,0.0028020071,0
2019-01-23,signals-network,0.0028020071,0
2019-01-24,signals-network,0.0028020071,0
2019-01-25,signals-network,0.0026259932,3.88646996030677
2019-01-26,signals-network,0.002500548,52.0040591111385
2019-01-27,signals-network,0.0027555327,578.458521560769
2019-01-28,signals-network,0.0026913194,408.554069241701
2019-01-29,signals-network,0.0022798877,2111.77577633794
2019-01-30,signals-network,0.0022796546,159.567129415287
2019-01-31,signals-network,0.0022427991,0
2019-02-01,signals-network,0.0022285625,392.788634799497
2019-02-02,signals-network,0.0022105293,8.87338504441951
2019-02-03,signals-network,0.0019493798,42.436351495114
2019-02-04,signals-network,0.0019565793,0
2019-02-05,signals-network,0.033568628,9951.33645239903
2019-02-06,signals-network,0.033568628,9951.33645239903
2019-02-07,signals-network,0.033568628,9951.33645239903
2019-02-08,signals-network,0.0037895723,160.930935959246
2019-02-09,signals-network,0.0036976216,0
2019-02-10,signals-network,0.0038485795,467.8138355517
2019-02-11,signals-network,0.003515651,112.571964760164
2019-02-12,signals-network,0.0033475598,401.262683669709
2019-02-13,signals-network,0.003621521,956.487760231161
2019-02-14,signals-network,0.008861699,4194.46860428611
2019-02-15,signals-network,0.0035574017,564.664268604058
2019-02-16,signals-network,0.0035311175,0
2019-02-17,signals-network,0.003529473,30.2683094053596
2019-02-18,signals-network,0.0049782214,381.954230573028
2019-02-19,signals-network,0.0033085435,130.87990391668
2019-02-20,signals-network,0.0037607325,45.1437437461072
2019-02-21,signals-network,0.003348916,1824.3562850494
2019-02-22,signals-network,0.0033631322,0
2019-02-23,signals-network,0.0033631322,0
2019-02-24,signals-network,0.0031544922,151.104103969062
