day,asset,close,volume
2018-03-14,storiqa,0.00282071,271889
2018-03-15,storiqa,0.00303855,350735
2018-03-16,storiqa,0.00412224,1154100
2018-03-17,storiqa,0.00357212,414094
2018-03-18,storiqa,0.00340415,337802
2018-03-19,storiqa,0.0035,257943
2018-03-20,storiqa,0.00300616,289259
2018-03-21,storiqa,0.00288432,240410
2018-03-22,storiqa,0.00271392,131927
2018-03-23,storiqa,0.00250546,221448
2018-03-24,storiqa,0.0023443,162357
2018-03-25,storiqa,0.00239707,130446
2018-03-26,storiqa,0.00233342,112043
2018-03-27,storiqa,0.0021443,79122.796875
2018-03-28,storiqa,0.00214964,105183
2018-03-29,storiqa,0.00192939,57831.8984375
2018-03-30,storiqa,0.00192038,60012.30078125
2018-03-31,storiqa,0.00191528,43558.69921875
2018-04-01,storiqa,0.00198189,54107.8984375
2018-04-02,storiqa,0.00203819,71640.3984375
2018-04-03,storiqa,0.00234399,98328.1015625
2018-04-04,storiqa,0.00207675,110226
2018-04-05,storiqa,0.0020491,49782.80078125
2018-04-06,storiqa,0.00198577,50097.8984375
2018-04-07,storiqa,0.00207212,25956.599609375
2018-04-08,storiqa,0.00204204,34332.3984375
2018-04-09,storiqa,0.00203219,59637.30078125
2018-04-10,storiqa,0.00201671,97193.6015625
2018-04-11,storiqa,0.0020817,43325.6015625
2018-04-12,storiqa,0.00232869,136971
2018-04-13,storiqa,0.0022963,78368.796875
2018-04-14,storiqa,0.00227228,53733.19921875
2018-04-15,storiqa,0.00226263,99737.5
2018-04-16,storiqa,0.00208184,67496.1015625
2018-04-17,storiqa,0.00213742,60782.69921875
2018-04-18,storiqa,0.00213801,71197.1015625
2018-04-19,storiqa,0.00208342,77212.6015625
2018-04-20,storiqa,0.00216726,102707
2018-04-21,storiqa,0.00209736,90918.703125
2018-04-22,storiqa,0.0020094,68195.3984375
2018-04-23,storiqa,0.00211085,80498.703125
2018-04-24,storiqa,0.0028086,330547
2018-04-25,storiqa,0.00249956,196042
2018-04-26,storiqa,0.0025912,111683
2018-04-27,storiqa,0.0024175,117313
2018-04-28,storiqa,0.00257335,98561.3984375
2018-04-29,storiqa,0.00247585,119720
2018-04-30,storiqa,0.00247151,76935
2018-05-01,storiqa,0.00243879,123136
2018-05-02,storiqa,0.00255774,102317
2018-05-03,storiqa,0.00289961,153739
2018-05-04,storiqa,0.00277416,106106
2018-05-05,storiqa,0.0028526,62631.1015625
2018-05-06,storiqa,0.00277768,67583.5
2018-05-07,storiqa,0.00353117,800960
2018-05-08,storiqa,0.00343555,400237
2018-05-09,storiqa,0.00383865,354370
2018-05-10,storiqa,0.00453348,1954690
2018-05-11,storiqa,0.0044792,989897
2018-05-12,storiqa,0.00454772,265888
2018-05-13,storiqa,0.00575921,595230
2018-05-14,storiqa,0.00554002,733055
