day,asset,close,volume
2018-04-20,syncfab,0.0465832,48702.69921875
2018-04-21,syncfab,0.0512176,39137.69921875
2018-04-22,syncfab,0.0485388,57875.19921875
2018-04-23,syncfab,0.0453795,17728.19921875
2018-04-24,syncfab,0.0433596,39260.69921875
2018-04-25,syncfab,0.0364736,24580.400390625
2018-04-26,syncfab,0.0381181,15923.7001953125
2018-04-27,syncfab,0.0366532,16001.900390625
2018-04-28,syncfab,0.0389367,11074
2018-04-29,syncfab,0.0428663,24019
2018-04-30,syncfab,0.0374382,12822.2001953125
2018-05-01,syncfab,0.0404988,13301.900390625
2018-05-02,syncfab,0.045434,5927.83984375
2018-05-03,syncfab,0.0433764,7639.85986328125
2018-05-04,syncfab,0.0400891,13344.599609375
2018-05-05,syncfab,0.0548195,5502.16015625
2018-05-06,syncfab,0.0294068,3576.8701171875
2018-05-07,syncfab,0.0370016,7302.06982421875
2018-05-08,syncfab,0.0376487,8925.9404296875
2018-05-09,syncfab,0.0359323,8253.509765625
2018-05-10,syncfab,0.0339297,9713.8896484375
2018-05-11,syncfab,0.0252759,24129.80078125
2018-05-12,syncfab,0.0279467,5866.169921875
2018-05-13,syncfab,0.0276235,19228
2018-05-14,syncfab,0.0293604,17073.80078125
2018-05-15,syncfab,0.0310937,7765.64990234375
2018-05-16,syncfab,0.0274736,4624.990234375
2018-05-17,syncfab,0.0243671,5077.2001953125
2018-05-18,syncfab,0.0250269,9286.01953125
2018-05-19,syncfab,0.0249455,719.6599731445312
2018-05-20,syncfab,0.025753,3103.219970703125
2018-05-21,syncfab,0.0255918,28357
2018-05-22,syncfab,0.0243144,3800.050048828125
2018-05-23,syncfab,0.0220263,8225.9404296875
2018-05-24,syncfab,0.0233873,7804.66015625
2018-05-25,syncfab,0.0212492,31102.599609375
2018-05-26,syncfab,0.0200444,3826.97998046875
2018-05-27,syncfab,0.0185286,2201.429931640625
2018-05-28,syncfab,0.0180572,1136.6800537109375
2018-05-29,syncfab,0.0186895,7320.669921875
2018-05-30,syncfab,0.0171356,1370.77001953125
2018-05-31,syncfab,0.0182359,6699.27978515625
2018-06-01,syncfab,0.0190635,7305.85009765625
2018-06-02,syncfab,0.0191289,8742.8701171875
2018-06-03,syncfab,0.0193885,4407.39013671875
2018-06-04,syncfab,0.0181747,4127.7001953125
2018-06-05,syncfab,0.0211099,17930.19921875
2018-06-06,syncfab,0.0196571,6506.93017578125
2018-06-07,syncfab,0.0211365,7917.6298828125
2018-06-08,syncfab,0.0189783,2242.449951171875
2018-06-09,syncfab,0.0183045,25244.30078125
2018-06-10,syncfab,0.0141427,55004.8984375
2018-06-11,syncfab,0.0133616,8894.8896484375
2018-06-12,syncfab,0.0126653,4919.64013671875
2018-06-13,syncfab,0.0124161,11295.7001953125
2018-06-14,syncfab,0.0130964,1765.4100341796875
2018-06-15,syncfab,0.014179,8707.7197265625
2018-06-16,syncfab,0.0155505,2781.110107421875
2018-06-17,syncfab,0.0141485,9397.7197265625
2018-06-18,syncfab,0.0146676,3080.8798828125
2018-06-19,syncfab,0.0137634,1519.31005859375
2018-06-20,syncfab,0.0135082,1495.5999755859375
2018-06-21,syncfab,0.0125673,2174.39990234375
2018-06-22,syncfab,0.0100344,19254
2018-06-23,syncfab,0.0101282,4060.969970703125
2018-06-24,syncfab,0.00982468,1826.9100341796875
2018-06-25,syncfab,0.00923802,407.5880126953125
2018-06-26,syncfab,0.0088661,2528.719970703125
2018-06-27,syncfab,0.00896473,712.8679809570312
2018-06-28,syncfab,0.00904319,2875.949951171875
2018-06-29,syncfab,0.0090165,3142.050048828125
2018-06-30,syncfab,0.00909255,2637.610107421875
2018-07-01,syncfab,0.00883275,1175.22998046875
2018-07-02,syncfab,0.0090667,17969.599609375
2018-07-03,syncfab,0.00872087,840.3259887695312
2018-07-04,syncfab,0.00912923,1043.27001953125
2018-07-05,syncfab,0.00811614,49.040401458740234
2018-07-06,syncfab,0.00930772,2412.580078125
2018-07-07,syncfab,0.00915327,818.7119750976562
2018-07-08,syncfab,0.00882296,1475.81005859375
2018-07-09,syncfab,0.00766903,2919.929931640625
2018-07-10,syncfab,0.00859992,987.8350219726562
2018-07-11,syncfab,0.00743754,4540.68994140625
2018-07-12,syncfab,0.00678596,2453.81005859375
2018-07-13,syncfab,0.00730596,4649.3701171875
2018-07-14,syncfab,0.00758503,6734.4599609375
2018-07-15,syncfab,0.00763778,1182.9599609375
2018-07-16,syncfab,0.00807603,1332.8800048828125
2018-07-17,syncfab,0.0102493,73493
2018-07-18,syncfab,0.0108881,1200660
2018-07-19,syncfab,0.00923221,1597870
2018-07-20,syncfab,0.00913408,1768130
2018-07-21,syncfab,0.00979372,1552630
2018-07-22,syncfab,0.00978903,1381970
2018-07-23,syncfab,0.00899781,1431800
2018-07-24,syncfab,0.0103808,3585920
2018-07-25,syncfab,0.00995344,1342440
2018-07-26,syncfab,0.00812823,1027620
2018-07-27,syncfab,0.00503738,754610
2018-07-28,syncfab,0.00466385,295402
2018-07-29,syncfab,0.0106386,388663
2018-07-30,syncfab,0.00974408,5886.87
2018-07-31,syncfab,0.00855809,6311.94
2018-08-01,syncfab,0.00830965,4589.86
2018-08-02,syncfab,0.00775348,6742.46
2018-08-03,syncfab,0.00805759,3159.09
2018-08-04,syncfab,0.00790823,1850.75
2018-08-05,syncfab,0.00786814,901.676
2018-08-06,syncfab,0.00853842,1382.64
2018-08-07,syncfab,0.00730025,368.075
2018-08-08,syncfab,0.00725758,3067.45
2018-08-09,syncfab,0.00752565,686.827
2018-08-10,syncfab,0.00672831,1757.79
2018-08-11,syncfab,0.00660366,1012.38
2018-08-12,syncfab,0.00679737,2119.88
2018-08-13,syncfab,0.00588409,1138.16
