day,asset,close,volume
2018-03-10,te-food,0.0276213,302268
2018-03-11,te-food,0.0279474,451621
2018-03-12,te-food,0.0293677,585775
2018-03-13,te-food,0.0283724,154119
2018-03-14,te-food,0.0236345,196837
2018-03-15,te-food,0.0223007,96579.8984375
2018-03-16,te-food,0.0214662,56434
2018-03-17,te-food,0.0178608,70950.1015625
2018-03-18,te-food,0.0169512,88128.6015625
2018-03-19,te-food,0.0197665,61465
2018-03-20,te-food,0.0193332,52139.80078125
2018-03-21,te-food,0.0193021,84020
2018-03-22,te-food,0.021253,155715
2018-03-23,te-food,0.0233811,446315
2018-03-24,te-food,0.0237651,268822
2018-03-25,te-food,0.0266269,267587
2018-03-26,te-food,0.0252741,261996
2018-03-27,te-food,0.0247688,177669
2018-03-28,te-food,0.0290452,313882
2018-03-29,te-food,0.0231013,172458
2018-03-30,te-food,0.0235566,186554
2018-03-31,te-food,0.0223931,95804.703125
2018-04-01,te-food,0.0210629,66945.296875
2018-04-02,te-food,0.0209996,69739.703125
2018-04-03,te-food,0.0225222,69284.796875
2018-04-04,te-food,0.0193351,78601.8984375
2018-04-05,te-food,0.0180737,119064
2018-04-06,te-food,0.017154,61320
2018-04-07,te-food,0.0188145,82075
2018-04-08,te-food,0.0181541,64716.30078125
2018-04-09,te-food,0.0182123,37131.3984375
2018-04-10,te-food,0.0206361,92557.5
2018-04-11,te-food,0.021318,144697
2018-04-12,te-food,0.0221062,251944
2018-04-13,te-food,0.0207674,185669
2018-04-14,te-food,0.0221691,90498.1015625
2018-04-15,te-food,0.0232707,126943
2018-04-16,te-food,0.0251212,165317
2018-04-17,te-food,0.0244186,183486
2018-04-18,te-food,0.0249588,108014
2018-04-19,te-food,0.0300876,222215
2018-04-20,te-food,0.0354989,309923
2018-04-21,te-food,0.0351213,232601
2018-04-22,te-food,0.0388935,489137
2018-04-23,te-food,0.0424878,322133
2018-04-24,te-food,0.0459345,481502
2018-04-25,te-food,0.0387116,251894
2018-04-26,te-food,0.0428793,206863
2018-04-27,te-food,0.0405702,181246
2018-04-28,te-food,0.0404364,166441
2018-04-29,te-food,0.0395039,291537
2018-04-30,te-food,0.0458225,769960
2018-05-01,te-food,0.0446556,286716
2018-05-02,te-food,0.044255,197439
2018-05-03,te-food,0.049027,107908
2018-05-04,te-food,0.0466031,93544.6015625
2018-05-05,te-food,0.0575942,75673.1015625
2018-05-06,te-food,0.049911,113790
2018-05-07,te-food,0.0515271,91483.703125
2018-05-08,te-food,0.0459303,89282.796875
2018-05-09,te-food,0.0477315,55835.19921875
2018-05-10,te-food,0.0425403,250478
2018-05-11,te-food,0.0361732,271949
2018-05-12,te-food,0.0400024,202070
2018-05-13,te-food,0.0424146,188376
2018-05-14,te-food,0.0391689,199045
2018-05-15,te-food,0.0400977,161490
2018-05-16,te-food,0.0398417,81644.3984375
2018-05-17,te-food,0.0342794,166805
2018-05-18,te-food,0.0352436,111184
2018-05-19,te-food,0.0334336,111919
2018-05-20,te-food,0.0316913,115359
2018-05-21,te-food,0.028883,152459
2018-05-22,te-food,0.0270784,195788
2018-05-23,te-food,0.028161,165398
2018-05-24,te-food,0.0259912,168626
2018-05-25,te-food,0.0271496,105158
2018-05-26,te-food,0.026732,105805
2018-05-27,te-food,0.0260529,63132.8984375
2018-05-28,te-food,0.0231837,61556.8984375
2018-05-29,te-food,0.0242049,156384
2018-05-30,te-food,0.0252467,108442
2018-05-31,te-food,0.0259474,142216
2018-06-01,te-food,0.0253199,62311.5
2018-06-02,te-food,0.0251032,130063
2018-06-03,te-food,0.0258032,128016
2018-06-04,te-food,0.0239598,110915
2018-06-05,te-food,0.0246549,196824
2018-06-06,te-food,0.0249086,162460
2018-06-07,te-food,0.026041,170138
2018-06-08,te-food,0.0245438,98139.3984375
2018-06-09,te-food,0.0234568,51462.80078125
2018-06-10,te-food,0.020238,84003.1015625
2018-06-11,te-food,0.019575,75671
2018-06-12,te-food,0.0175167,54190.30078125
2018-06-13,te-food,0.0165136,90313.5
2018-06-14,te-food,0.0184795,78753.6015625
2018-06-15,te-food,0.0201789,448002
2018-06-16,te-food,0.0233273,290790
2018-06-17,te-food,0.0222396,142604
2018-06-18,te-food,0.0227571,152224
2018-06-19,te-food,0.0227761,97121.8984375
2018-06-20,te-food,0.0220369,103375
2018-06-21,te-food,0.0246566,231984
2018-06-22,te-food,0.0209259,130010
2018-06-23,te-food,0.0210029,77207.796875
2018-06-24,te-food,0.0204294,109455
2018-06-25,te-food,0.0213452,79776.203125
2018-06-26,te-food,0.0194567,55465.1015625
2018-06-27,te-food,0.0202504,89632.703125
2018-06-28,te-food,0.0202535,109752
2018-06-29,te-food,0.023009,389108
2018-06-30,te-food,0.0254855,165742
2018-07-01,te-food,0.0256816,103105
2018-07-02,te-food,0.0304721,291327
2018-07-03,te-food,0.0280703,165466
2018-07-04,te-food,0.0313593,257456
2018-07-05,te-food,0.0322853,281191
2018-07-06,te-food,0.030768,395076
2018-07-07,te-food,0.0329436,236341
2018-07-08,te-food,0.0326787,91872.796875
2018-07-09,te-food,0.0338499,333482
2018-07-10,te-food,0.0298401,155650
2018-07-11,te-food,0.0298406,193988
2018-07-12,te-food,0.028034,144734
2018-07-13,te-food,0.027457,50291.80078125
2018-07-14,te-food,0.0275393,62635.3984375
2018-07-15,te-food,0.0296631,70660.1015625
2018-07-16,te-food,0.0345656,211359
2018-07-17,te-food,0.0360729,262817
2018-07-18,te-food,0.0342662,115696
2018-07-19,te-food,0.0394695,286973
2018-07-20,te-food,0.0319467,173458
2018-07-21,te-food,0.0333239,208749
2018-07-22,te-food,0.034254,84210.203125
2018-07-23,te-food,0.0306112,174693
2018-07-24,te-food,0.0310507,120404
2018-07-25,te-food,0.0299545,69403.703125
2018-07-26,te-food,0.0291564,82041.3984375
2018-07-27,te-food,0.0305149,59776.8984375
2018-07-28,te-food,0.0309567,28236.900390625
2018-07-29,te-food,0.0307706,37095.3984375
2018-07-30,te-food,0.0286505,89660.6
2018-07-31,te-food,0.0280315,82017.4
2018-08-01,te-food,0.0253212,84208.3
2018-08-02,te-food,0.0211002,77434.7
2018-08-03,te-food,0.0207285,54134.9
2018-08-04,te-food,0.0210884,55271.6
2018-08-05,te-food,0.0197766,49747
2018-08-06,te-food,0.0185778,44200.8
2018-08-07,te-food,0.0171116,38842.5
2018-08-08,te-food,0.0156195,48314.7
2018-08-09,te-food,0.0159631,44871.8
2018-08-10,te-food,0.0151056,31379.7
2018-08-11,te-food,0.0142071,48027.7
