day,asset,close,volume
2018-01-17,theta,0.183236,10023000
2018-01-18,theta,0.19555,8838400
2018-01-19,theta,0.180431,6949030
2018-01-20,theta,0.189888,8285020
2018-01-21,theta,0.16506,5526050
2018-01-22,theta,0.153641,6522240
2018-01-23,theta,0.14717,6450150
2018-01-24,theta,0.213196,20395700
2018-01-25,theta,0.294345,29532100
2018-01-26,theta,0.299985,44487700
2018-01-27,theta,0.276173,85674000
2018-01-28,theta,0.295203,324792992
2018-01-29,theta,0.280549,203568992
2018-01-30,theta,0.215545,17125000
2018-01-31,theta,0.216923,26505600
2018-02-01,theta,0.191733,29135600
2018-02-02,theta,0.171195,14172600
2018-02-03,theta,0.187378,22331900
2018-02-04,theta,0.151717,18977100
2018-02-05,theta,0.117059,13071100
2018-02-06,theta,0.137095,14127500
2018-02-07,theta,0.121584,16069800
2018-02-08,theta,0.129903,14773100
2018-02-09,theta,0.142076,16085500
2018-02-10,theta,0.130149,9057960
2018-02-11,theta,0.116703,8291120
2018-02-12,theta,0.116731,8611540
2018-02-13,theta,0.114807,6377880
2018-02-14,theta,0.12885,8532220
2018-02-15,theta,0.142142,15733200
2018-02-16,theta,0.140653,9728440
2018-02-17,theta,0.166375,17193000
2018-02-18,theta,0.166218,15313000
2018-02-19,theta,0.16977,10242100
2018-02-20,theta,0.144192,10319600
2018-02-21,theta,0.127978,9204880
2018-02-22,theta,0.129894,7852400
2018-02-23,theta,0.130729,7672910
2018-02-24,theta,0.126268,7052710
2018-02-25,theta,0.114002,6773400
2018-02-26,theta,0.125553,7285370
2018-02-27,theta,0.139497,9884140
2018-02-28,theta,0.14567,12627500
2018-03-01,theta,0.211598,37765000
2018-03-02,theta,0.195717,29473000
2018-03-03,theta,0.229566,30205500
2018-03-04,theta,0.216126,29309100
2018-03-05,theta,0.214687,23577400
2018-03-06,theta,0.201824,19680000
2018-03-07,theta,0.168804,16381000
2018-03-08,theta,0.140874,14515700
2018-03-09,theta,0.170549,16600700
2018-03-10,theta,0.163999,27255700
2018-03-11,theta,0.183699,22180800
2018-03-12,theta,0.166717,19081900
2018-03-13,theta,0.163033,7329330
2018-03-14,theta,0.147562,9748800
2018-03-15,theta,0.147013,8986450
2018-03-16,theta,0.146866,8123190
2018-03-17,theta,0.141918,7050640
2018-03-18,theta,0.140027,9116510
2018-03-19,theta,0.1467,9114590
2018-03-20,theta,0.154389,10109000
2018-03-21,theta,0.154525,9611230
2018-03-22,theta,0.148363,9355440
2018-03-23,theta,0.151415,10236200
2018-03-24,theta,0.145453,8571310
2018-03-25,theta,0.144067,8306740
2018-03-26,theta,0.132175,9037050
2018-03-27,theta,0.128748,6311520
2018-03-28,theta,0.133061,10087600
2018-03-29,theta,0.118262,9063930
2018-03-30,theta,0.115874,7796050
2018-03-31,theta,0.116529,7199390
2018-04-01,theta,0.108211,6086040
2018-04-02,theta,0.114432,8226320
2018-04-03,theta,0.119189,7873560
2018-04-04,theta,0.108928,7071780
2018-04-05,theta,0.106939,6169840
2018-04-06,theta,0.100608,8200730
2018-04-07,theta,0.103752,7640780
2018-04-08,theta,0.104873,7083290
2018-04-09,theta,0.105951,8026430
2018-04-10,theta,0.104376,7718280
2018-04-11,theta,0.113103,10436800
2018-04-12,theta,0.125129,17461200
2018-04-13,theta,0.125122,14384300
2018-04-14,theta,0.121116,9716410
2018-04-15,theta,0.124803,8294150
2018-04-16,theta,0.117285,11060200
2018-04-17,theta,0.116565,9419270
2018-04-18,theta,0.123884,8426960
2018-04-19,theta,0.136813,12325100
2018-04-20,theta,0.14459,11231000
2018-04-21,theta,0.145424,14194500
2018-04-22,theta,0.151485,14291300
2018-04-23,theta,0.149443,11423600
2018-04-24,theta,0.159576,14929100
2018-04-25,theta,0.129745,12941700
2018-04-26,theta,0.146695,9966260
2018-04-27,theta,0.134419,7752820
2018-04-28,theta,0.14368,8537370
2018-04-29,theta,0.148275,10438000
2018-04-30,theta,0.142906,7770670
2018-05-01,theta,0.141365,8237290
2018-05-02,theta,0.146728,6558440
2018-05-03,theta,0.17448,14623700
2018-05-04,theta,0.175959,9149110
2018-05-05,theta,0.166655,7430260
