day,asset,close,volume
2018-01-22,trinity-network-credit,0.271558,13364100
2018-01-23,trinity-network-credit,0.241234,9506440
2018-01-24,trinity-network-credit,0.306849,14338600
2018-01-25,trinity-network-credit,0.273419,16605300
2018-01-26,trinity-network-credit,0.269947,32637500
2018-01-27,trinity-network-credit,0.326506,64801700
2018-01-28,trinity-network-credit,0.382979,10499200
2018-01-29,trinity-network-credit,0.33608,13614400
2018-01-30,trinity-network-credit,0.31386,7745640
2018-01-31,trinity-network-credit,0.345814,9655540
2018-02-01,trinity-network-credit,0.291841,6478250
2018-02-02,trinity-network-credit,0.258437,4152050
2018-02-03,trinity-network-credit,0.284277,2571720
2018-02-04,trinity-network-credit,0.246646,2374610
2018-02-05,trinity-network-credit,0.180011,3381650
2018-02-06,trinity-network-credit,0.227793,3694420
2018-02-07,trinity-network-credit,0.196462,3694630
2018-02-08,trinity-network-credit,0.211416,5102000
2018-02-09,trinity-network-credit,0.238229,4050740
2018-02-10,trinity-network-credit,0.196431,4079850
2018-02-11,trinity-network-credit,0.193886,3377090
2018-02-12,trinity-network-credit,0.213917,3541070
2018-02-13,trinity-network-credit,0.200608,2415720
2018-02-14,trinity-network-credit,0.216494,4430640
2018-02-15,trinity-network-credit,0.214456,3405760
2018-02-16,trinity-network-credit,0.22136,5157140
2018-02-17,trinity-network-credit,0.226283,2732490
2018-02-18,trinity-network-credit,0.206849,5580690
2018-02-19,trinity-network-credit,0.203696,3261330
2018-02-20,trinity-network-credit,0.186051,3229530
2018-02-21,trinity-network-credit,0.175332,3082580
2018-02-22,trinity-network-credit,0.164184,4099740
2018-02-23,trinity-network-credit,0.170031,3997660
2018-02-24,trinity-network-credit,0.155949,4444620
2018-02-25,trinity-network-credit,0.14852,2346900
2018-02-26,trinity-network-credit,0.146922,2632010
2018-02-27,trinity-network-credit,0.147657,2230280
2018-02-28,trinity-network-credit,0.146252,2725480
2018-03-01,trinity-network-credit,0.177614,3775640
2018-03-02,trinity-network-credit,0.166728,3007050
2018-03-03,trinity-network-credit,0.160193,2569520
2018-03-04,trinity-network-credit,0.161974,3433120
2018-03-05,trinity-network-credit,0.141374,3324860
2018-03-06,trinity-network-credit,0.140177,2506500
2018-03-07,trinity-network-credit,0.127977,1715040
2018-03-08,trinity-network-credit,0.111596,1172330
2018-03-09,trinity-network-credit,0.113902,1732810
2018-03-10,trinity-network-credit,0.105779,3814070
2018-03-11,trinity-network-credit,0.114891,3831930
2018-03-12,trinity-network-credit,0.105476,4694520
2018-03-13,trinity-network-credit,0.110833,2189490
2018-03-14,trinity-network-credit,0.100731,2877700
2018-03-15,trinity-network-credit,0.0992192,1856180
2018-03-16,trinity-network-credit,0.101783,1240640
2018-03-17,trinity-network-credit,0.0948387,632864
2018-03-18,trinity-network-credit,0.0936554,1164430
2018-03-19,trinity-network-credit,0.098888,2145470
2018-03-20,trinity-network-credit,0.110558,1279530
2018-03-21,trinity-network-credit,0.118089,747386
2018-03-22,trinity-network-credit,0.112419,382665
2018-03-23,trinity-network-credit,0.108485,318344
2018-03-24,trinity-network-credit,0.111551,620358
2018-03-25,trinity-network-credit,0.137309,1108560
2018-03-26,trinity-network-credit,0.108882,1012620
2018-03-27,trinity-network-credit,0.113468,914571
2018-03-28,trinity-network-credit,0.109493,1058290
2018-03-29,trinity-network-credit,0.0945424,470728
2018-03-30,trinity-network-credit,0.0901611,520004
2018-03-31,trinity-network-credit,0.0922414,640136
2018-04-01,trinity-network-credit,0.0833649,612420
2018-04-02,trinity-network-credit,0.0871261,712435
2018-04-03,trinity-network-credit,0.0908085,726989
2018-04-04,trinity-network-credit,0.0832478,441157
2018-04-05,trinity-network-credit,0.0830726,470373
2018-04-06,trinity-network-credit,0.0791208,423794
2018-04-07,trinity-network-credit,0.0839411,523211
2018-04-08,trinity-network-credit,0.0881924,808306
2018-04-09,trinity-network-credit,0.0935364,771322
2018-04-10,trinity-network-credit,0.09137,1103160
2018-04-11,trinity-network-credit,0.107014,913393
2018-04-12,trinity-network-credit,0.120241,893853
2018-04-13,trinity-network-credit,0.120294,1370860
2018-04-14,trinity-network-credit,0.117328,865736
2018-04-15,trinity-network-credit,0.1416,1366420
2018-04-16,trinity-network-credit,0.12847,1421940
2018-04-17,trinity-network-credit,0.120664,544526
2018-04-18,trinity-network-credit,0.120306,786703
2018-04-19,trinity-network-credit,0.13308,1261210
2018-04-20,trinity-network-credit,0.134065,1818320
2018-04-21,trinity-network-credit,0.122641,900131
2018-04-22,trinity-network-credit,0.129838,1671910
2018-04-23,trinity-network-credit,0.128901,902645
2018-04-24,trinity-network-credit,0.138999,754837
2018-04-25,trinity-network-credit,0.11222,578303
2018-04-26,trinity-network-credit,0.118601,415998
2018-04-27,trinity-network-credit,0.123474,718917
2018-04-28,trinity-network-credit,0.13168,764882
2018-04-29,trinity-network-credit,0.132178,1076930
2018-04-30,trinity-network-credit,0.130289,761171
2018-05-01,trinity-network-credit,0.125494,654039
2018-05-02,trinity-network-credit,0.139372,1146760
2018-05-03,trinity-network-credit,0.170652,3647000
2018-05-04,trinity-network-credit,0.159553,1080170
2018-05-05,trinity-network-credit,0.162838,1343500
2018-05-06,trinity-network-credit,0.146262,836736
2018-05-07,trinity-network-credit,0.142545,840110
2018-05-08,trinity-network-credit,0.13998,1310660
2018-05-09,trinity-network-credit,0.143429,1391200
2018-05-10,trinity-network-credit,0.142125,1799330
2018-05-11,trinity-network-credit,0.124277,1700100
2018-05-12,trinity-network-credit,0.119921,734327
2018-05-13,trinity-network-credit,0.117915,1805110
2018-05-14,trinity-network-credit,0.124891,1708030
2018-05-15,trinity-network-credit,0.11964,1530290
2018-05-16,trinity-network-credit,0.126011,1793630
2018-05-17,trinity-network-credit,0.12362,2707520
2018-05-18,trinity-network-credit,0.140149,2713450
2018-05-19,trinity-network-credit,0.146414,2536630
2018-05-20,trinity-network-credit,0.149838,1480460
2018-05-21,trinity-network-credit,0.135223,2043250
2018-05-22,trinity-network-credit,0.126704,2368250
2018-05-23,trinity-network-credit,0.110439,1934320
2018-05-24,trinity-network-credit,0.106531,1427970
2018-05-25,trinity-network-credit,0.097558,1292060
2018-05-26,trinity-network-credit,0.0987109,717483
2018-05-27,trinity-network-credit,0.095589,716287
2018-05-28,trinity-network-credit,0.0841168,1082140
2018-05-29,trinity-network-credit,0.0905477,1120340
2018-05-30,trinity-network-credit,0.0889725,1161360
2018-05-31,trinity-network-credit,0.0898216,1042770
2018-06-01,trinity-network-credit,0.0869087,1504950
2018-06-02,trinity-network-credit,0.0913136,798362
2018-06-03,trinity-network-credit,0.0961167,862120
2018-06-04,trinity-network-credit,0.0857876,1100770
2018-06-05,trinity-network-credit,0.0830022,1272410
2018-06-06,trinity-network-credit,0.0789618,898941
2018-06-07,trinity-network-credit,0.0766718,872998
2018-06-08,trinity-network-credit,0.0719648,844739
2018-06-09,trinity-network-credit,0.0699749,354547
2018-06-10,trinity-network-credit,0.0563303,456306
2018-06-11,trinity-network-credit,0.0567667,540702
2018-06-12,trinity-network-credit,0.0521029,469400
2018-06-13,trinity-network-credit,0.0460385,467672
2018-06-14,trinity-network-credit,0.0478468,501756
2018-06-15,trinity-network-credit,0.0455009,355324
2018-06-16,trinity-network-credit,0.0458698,191525
2018-06-17,trinity-network-credit,0.048837,1132260
2018-06-18,trinity-network-credit,0.0481393,873971
2018-06-19,trinity-network-credit,0.0468254,491996
2018-06-20,trinity-network-credit,0.0450685,346693
2018-06-21,trinity-network-credit,0.0433442,743427
2018-06-22,trinity-network-credit,0.035221,250399
2018-06-23,trinity-network-credit,0.0371907,148648
2018-06-24,trinity-network-credit,0.0350848,110612
2018-06-25,trinity-network-credit,0.0373067,189280
2018-06-26,trinity-network-credit,0.0350405,152575
2018-06-27,trinity-network-credit,0.0356812,323400
2018-06-28,trinity-network-credit,0.0317177,263351
2018-06-29,trinity-network-credit,0.0304634,215882
2018-06-30,trinity-network-credit,0.0329506,140652
2018-07-01,trinity-network-credit,0.0352477,92394.296875
2018-07-02,trinity-network-credit,0.0401425,184806
2018-07-03,trinity-network-credit,0.0385406,322322
2018-07-04,trinity-network-credit,0.0406911,277521
2018-07-05,trinity-network-credit,0.03724,327498
2018-07-06,trinity-network-credit,0.0336607,372633
2018-07-07,trinity-network-credit,0.0336245,301786
2018-07-08,trinity-network-credit,0.0324433,240022
2018-07-09,trinity-network-credit,0.0311522,305360
2018-07-10,trinity-network-credit,0.0280352,254473
2018-07-11,trinity-network-credit,0.0277996,248381
2018-07-12,trinity-network-credit,0.0258472,191295
2018-07-13,trinity-network-credit,0.0252842,162339
2018-07-14,trinity-network-credit,0.0251089,116372
2018-07-15,trinity-network-credit,0.0257639,103515
2018-07-16,trinity-network-credit,0.0271753,183591
2018-07-17,trinity-network-credit,0.0293682,282899
2018-07-18,trinity-network-credit,0.0284692,346396
2018-07-19,trinity-network-credit,0.0268865,214591
2018-07-20,trinity-network-credit,0.0252641,161872
2018-07-21,trinity-network-credit,0.0250755,122880
2018-07-22,trinity-network-credit,0.0250219,109715
2018-07-23,trinity-network-credit,0.0235796,187246
2018-07-24,trinity-network-credit,0.0228752,237867
2018-07-25,trinity-network-credit,0.0216128,275362
2018-07-26,trinity-network-credit,0.0211527,218921
2018-07-27,trinity-network-credit,0.0213151,189917
2018-07-28,trinity-network-credit,0.0225834,116383
2018-07-29,trinity-network-credit,0.0224339,98413.1015625
2018-07-30,trinity-network-credit,0.0213801,154035
2018-07-31,trinity-network-credit,0.0193169,172238
2018-08-01,trinity-network-credit,0.0183132,144353
2018-08-02,trinity-network-credit,0.0162936,144232
2018-08-03,trinity-network-credit,0.0206634,645079
2018-08-04,trinity-network-credit,0.0185717,295124
2018-08-05,trinity-network-credit,0.0195037,89033.2
2018-08-06,trinity-network-credit,0.0220691,370301
2018-08-07,trinity-network-credit,0.0208247,189412
2018-08-08,trinity-network-credit,0.016719,151612
2018-08-09,trinity-network-credit,0.0167303,118542
2018-08-10,trinity-network-credit,0.0140299,113004
2018-08-11,trinity-network-credit,0.0137932,78203.1
