day,asset,close,volume
2018-02-09,wepower,0.175546,782690
2018-02-10,wepower,0.147007,5671120
2018-02-11,wepower,0.132654,4372860
2018-02-12,wepower,0.129597,4781780
2018-02-13,wepower,0.119292,3793690
2018-02-14,wepower,0.138806,4657300
2018-02-15,wepower,0.166566,5135090
2018-02-16,wepower,0.174475,6215690
2018-02-17,wepower,0.177233,5282950
2018-02-18,wepower,0.156644,4753970
2018-02-19,wepower,0.149256,4401480
2018-02-20,wepower,0.125841,4510330
2018-02-21,wepower,0.177021,11097700
2018-02-22,wepower,0.169266,10188300
2018-02-23,wepower,0.185896,10541300
2018-02-24,wepower,0.193879,30239500
2018-02-25,wepower,0.187226,9003840
2018-02-26,wepower,0.17826,5475420
2018-02-27,wepower,0.177357,5835030
2018-02-28,wepower,0.170137,6210440
2018-03-01,wepower,0.174185,5939700
2018-03-02,wepower,0.202189,10760300
2018-03-03,wepower,0.213169,9386090
2018-03-04,wepower,0.208093,8147870
2018-03-05,wepower,0.173522,12092400
2018-03-06,wepower,0.165128,8244990
2018-03-07,wepower,0.125926,6250690
2018-03-08,wepower,0.1192,6596780
2018-03-09,wepower,0.127454,5481660
2018-03-10,wepower,0.117922,4312380
2018-03-11,wepower,0.127454,4322590
2018-03-12,wepower,0.116154,7991990
2018-03-13,wepower,0.116871,3045620
2018-03-14,wepower,0.0971537,4354020
2018-03-15,wepower,0.090849,4303040
2018-03-16,wepower,0.0949562,3986700
2018-03-17,wepower,0.0825968,3425340
2018-03-18,wepower,0.0759599,4341310
2018-03-19,wepower,0.084532,3657130
2018-03-20,wepower,0.0902648,3710900
2018-03-21,wepower,0.0852647,3635860
2018-03-22,wepower,0.0866389,3311800
2018-03-23,wepower,0.0813122,3668820
2018-03-24,wepower,0.0808716,3489390
2018-03-25,wepower,0.0781602,3415750
2018-03-26,wepower,0.0971168,10508400
2018-03-27,wepower,0.0887633,3611520
2018-03-28,wepower,0.107231,5950790
2018-03-29,wepower,0.0972825,30265400
2018-03-30,wepower,0.0901946,8504710
2018-03-31,wepower,0.0910369,6653470
2018-04-01,wepower,0.0876027,4744920
2018-04-02,wepower,0.0891008,4744630
2018-04-03,wepower,0.0979737,7546570
2018-04-04,wepower,0.0833038,5144870
2018-04-05,wepower,0.078834,4677110
2018-04-06,wepower,0.082484,8470350
2018-04-07,wepower,0.0837265,5278340
2018-04-08,wepower,0.0834585,3943700
2018-04-09,wepower,0.0799129,3859040
2018-04-10,wepower,0.083762,4711500
2018-04-11,wepower,0.0875487,5481560
2018-04-12,wepower,0.100502,7097210
2018-04-13,wepower,0.104031,9369840
2018-04-14,wepower,0.108957,6363610
2018-04-15,wepower,0.125738,10865600
2018-04-16,wepower,0.128595,14422900
2018-04-17,wepower,0.123268,12411000
2018-04-18,wepower,0.128917,8928240
2018-04-19,wepower,0.139709,11483700
2018-04-20,wepower,0.141459,9938980
2018-04-21,wepower,0.134844,7448970
2018-04-22,wepower,0.141864,8666490
2018-04-23,wepower,0.155901,13806600
2018-04-24,wepower,0.161041,9266660
2018-04-25,wepower,0.140772,9015260
2018-04-26,wepower,0.153852,7083300
2018-04-27,wepower,0.147137,5526920
