day,asset,close,volume
2019-03-02,fetch,0.40774655,42849637.9491757
2019-03-03,fetch,0.36271527,32899379.4450921
2019-03-04,fetch,0.3350986,37723984.4041243
2019-03-05,fetch,0.3214469,38616985.7056375
2019-03-06,fetch,0.3135992,19068166.7256964
2019-03-07,fetch,0.35023746,51198203.0465439
2019-03-08,fetch,0.2893246,34038847.9095295
2019-03-09,fetch,0.26971585,26908233.014387
2019-03-10,fetch,0.25764313,26754269.6425122
2019-03-11,fetch,0.21925086,27902875.5940016
2019-03-12,fetch,0.22152998,20592577.8070218
2019-03-13,fetch,0.24780504,33187253.5607838
2019-03-14,fetch,0.23205088,38591597.9484757
2019-03-15,fetch,0.23534182,15191280.3070571
2019-03-16,fetch,0.23050791,11060728.6222778
2019-03-17,fetch,0.2399723,15290978.2606633
2019-03-18,fetch,0.23023538,17906972.9660241
2019-03-19,fetch,0.22072211,29328955.3429145
2019-03-20,fetch,0.22199777,20181383.1640079
2019-03-21,fetch,0.2048074,25987927.1694154
2019-03-22,fetch,0.20930664,18694852.9081395
2019-03-23,fetch,0.20675726,19050530.6568424
2019-03-24,fetch,0.21098639,26487161.9500316
2019-03-25,fetch,0.20128027,26281051.3160639
2019-03-26,fetch,0.18601425,22643665.4194207
2019-03-27,fetch,0.19797182,26553068.4252362
2019-03-28,fetch,0.22069348,43452905.6922128
2019-03-29,fetch,0.20674048,35218427.9482358
2019-03-30,fetch,0.20487261,29660498.9838058
2019-03-31,fetch,0.19750753,27749933.4682413
2019-04-01,fetch,0.2020517,29425104.5338229
2019-04-02,fetch,0.20581232,42772871.4098302
2019-04-03,fetch,0.19390406,35653910.2832703
2019-04-04,fetch,0.19629584,28492815.9524109
2019-04-05,fetch,0.19860329,19994068.4216124
2019-04-06,fetch,0.20048665,22506051.6816081
2019-04-07,fetch,0.20337844,21261454.2370289
2019-04-08,fetch,0.21423618,26749589.5356605
2019-04-09,fetch,0.20650756,16779161.5596456
2019-04-10,fetch,0.2023336,17438373.1046978
2019-04-11,fetch,0.18254544,16095098.7370574
2019-04-12,fetch,0.19097854,15730795.4556891
2019-04-13,fetch,0.19344756,13034159.1866082
2019-04-14,fetch,0.19141296,11519955.0700675
2019-04-15,fetch,0.18361403,14884371.3088007
2019-04-16,fetch,0.1886447,11866689.3314752
2019-04-17,fetch,0.19820766,15510946.9604266
2019-04-18,fetch,0.21198761,20882978.8766718
2019-04-19,fetch,0.20514299,16413495.0714276
2019-04-20,fetch,0.2303139,22144848.0560631
2019-04-21,fetch,0.2343612,33322497.663285
2019-04-22,fetch,0.23144399,24039346.1096626
2019-04-23,fetch,0.20940426,17951248.6252028
2019-04-24,fetch,0.1888888,15955030.715299
2019-04-25,fetch,0.15933579,7282679.59737947
2019-04-26,fetch,0.1447793,8263995.96411324
2019-04-27,fetch,0.1498046,6867220.50704179
2019-04-28,fetch,0.1457675,7396623.49591254
2019-04-29,fetch,0.12829219,7217797.32986498
2019-04-30,fetch,0.13931637,7490399.45616017
2019-05-01,fetch,0.1363652,6820503.11408968
2019-05-02,fetch,0.13293871,6876450.82008798
2019-05-03,fetch,0.13410215,8354999.84034089
2019-05-04,fetch,0.12373625,6937853.05177208
2019-05-05,fetch,0.12232602,7036612.71968551
2019-05-06,fetch,0.12354014,7805972.8844082
2019-05-07,fetch,0.111623585,7717536.08851611
2019-05-08,fetch,0.106700264,5512878.16491698
2019-05-09,fetch,0.0943384,3866157.9791583
2019-05-10,fetch,0.100189045,4539842.92661256
2019-05-11,fetch,0.107560396,7278449.28026795
2019-05-12,fetch,0.11373674,10071675.0203397
2019-05-13,fetch,0.120602466,12329429.5188016
2019-05-14,fetch,0.14347777,13560388.3392893
2019-05-15,fetch,0.14748856,8887952.44979882
2019-05-16,fetch,0.13327764,10762614.2030005
2019-05-17,fetch,0.17169596,30803587.6331376
2019-05-18,fetch,0.16041666,26469966.242103
2019-05-19,fetch,0.20557204,47317162.7930336
2019-05-20,fetch,0.26481497,118936817.366484
2019-05-21,fetch,0.22799958,156624812.210223
2019-05-22,fetch,0.17055023,56222566.8296012
2019-05-23,fetch,0.1781775,65549875.641537
2019-05-24,fetch,0.15958098,30783963.8775172
2019-05-25,fetch,0.17804663,42654885.878684
2019-05-26,fetch,0.17591208,48353680.4345841
2019-05-27,fetch,0.17072277,26150970.6075498
2019-05-28,fetch,0.18191215,36584623.3087402
2019-05-29,fetch,0.17528567,27182478.05275
2019-05-30,fetch,0.1641435,33082579.7407741
2019-05-31,fetch,0.18336207,41262233.6769608
2019-06-01,fetch,0.19385603,48555824.186816
2019-06-02,fetch,0.19979917,36603204.4490035
2019-06-03,fetch,0.17592047,30688115.0052012
2019-06-04,fetch,0.17559434,36121792.709312
2019-06-05,fetch,0.20377144,73145558.5078655
2019-06-06,fetch,0.1990669,58603957.7820972
2019-06-07,fetch,0.2091511,36373191.3502775
2019-06-08,fetch,0.2140772,27465555.9252417
2019-06-09,fetch,0.20649175,67962056.048219
2019-06-10,fetch,0.24398139,88056384.1668243
2019-06-11,fetch,0.25214604,74047895.4229164
2019-06-12,fetch,0.23725747,68914243.6567543
2019-06-13,fetch,0.21473157,55958607.28951
2019-06-14,fetch,0.19709574,52086229.1825527
2019-06-15,fetch,0.203703,50447055.0865676
2019-06-16,fetch,0.20098655,46123911.6546984
2019-06-17,fetch,0.19905889,51739344.4334657
2019-06-18,fetch,0.20789392,43639813.9968437
2019-06-19,fetch,0.20354576,36551457.7198072
2019-06-20,fetch,0.19142479,33720851.9645419
2019-06-21,fetch,0.18115212,27603765.2440869
2019-06-22,fetch,0.185587,30948577.4308726
2019-06-23,fetch,0.17574556,30099158.0768723
2019-06-24,fetch,0.16791476,29407382.1661687
2019-06-25,fetch,0.16235721,27898753.5240948
2019-06-26,fetch,0.14898203,29617106.4837813
2019-06-27,fetch,0.14845648,25011714.3352916
2019-06-28,fetch,0.14504586,16960535.2818387
2019-06-29,fetch,0.16310841,22332302.0844416
2019-06-30,fetch,0.15170613,30284400.6208465
2019-07-01,fetch,0.16195771,19647300.4717685
2019-07-02,fetch,0.14863834,18305425.7481983
2019-07-03,fetch,0.14879419,16667680.7475115
2019-07-04,fetch,0.13564529,11737506.11265
2019-07-05,fetch,0.14562233,10940941.7078807
2019-07-06,fetch,0.14084406,9016139.50706834
2019-07-07,fetch,0.14544842,7373632.35668807
2019-07-08,fetch,0.13625112,7857868.42441878
2019-07-09,fetch,0.1297887,7489759.51753295
2019-07-10,fetch,0.12582573,8060505.20025167
2019-07-11,fetch,0.112322524,6477574.13618652
2019-07-12,fetch,0.1189524,8482883.92771497
2019-07-13,fetch,0.122929946,12050302.5738877
2019-07-14,fetch,0.10658534,6474706.07941855
2019-07-15,fetch,0.104877606,5916548.91887082
2019-07-16,fetch,0.09277811,5814483.21055489
2019-07-17,fetch,0.09807452,6514635.94174176
2019-07-18,fetch,0.10271644,7647342.37041446
2019-07-19,fetch,0.10189086,4861355.15095518
2019-07-20,fetch,0.10560814,5710823.81469561
2019-07-21,fetch,0.10281468,4611923.47941532
2019-07-22,fetch,0.09810659,3986278.60527496
2019-07-23,fetch,0.089283414,3506787.18863716
2019-07-24,fetch,0.088039115,4228965.68174642
2019-07-25,fetch,0.105939105,15450896.1413584
2019-07-26,fetch,0.10309279,8741380.32826622
2019-07-27,fetch,0.09199313,7217294.90688269
2019-07-28,fetch,0.09037594,4547569.35934849
2019-07-29,fetch,0.09332148,4984802.85724559
2019-07-30,fetch,0.09205294,5758336.27257952
2019-07-31,fetch,0.09045696,5757924.04063674
2019-08-01,fetch,0.08455197,5891207.91901592
2019-08-02,fetch,0.08485148,4277012.99713585
2019-08-03,fetch,0.08272654,3150543.11091897
2019-08-04,fetch,0.07883161,2759374.2795995
2019-08-05,fetch,0.077874474,4931666.84280882
2019-08-06,fetch,0.081411004,8263853.20635131
2019-08-07,fetch,0.07957496,9043558.20649898
2019-08-08,fetch,0.08005125,5214029.06800852
2019-08-09,fetch,0.07343696,3382950.96438298
2019-08-10,fetch,0.07464446,2634837.66755833
2019-08-11,fetch,0.07531732,3165607.54319024
2019-08-12,fetch,0.07744809,2671093.94221569
2019-08-13,fetch,0.07636527,3115611.14186966
2019-08-14,fetch,0.06865171,3051192.0923567
2019-08-15,fetch,0.07184933,1712078.22659598
2019-08-16,fetch,0.06736411,3054738.74264224
2019-08-17,fetch,0.06645588,1456374.83572033
2019-08-18,fetch,0.06728856,1782873.2602456
2019-08-19,fetch,0.06961591,3098878.7257498
2019-08-20,fetch,0.067589864,2490220.14358955
2019-08-21,fetch,0.06343033,3623021.86610507
2019-08-22,fetch,0.06414697,3402989.97405041
2019-08-23,fetch,0.0653511,3270237.82301882
2019-08-24,fetch,0.06673225,4142139.14938213
2019-08-25,fetch,0.06284828,5449455.81458392
2019-08-26,fetch,0.06078512,4463045.21571018
2019-08-27,fetch,0.060551826,3668186.9933591
2019-08-28,fetch,0.052719638,3572970.13690704
2019-08-29,fetch,0.050285093,3279507.03803916
2019-08-30,fetch,0.051638827,2893868.31004471
2019-08-31,fetch,0.050737567,2919321.77895037
2019-09-01,fetch,0.049231965,2550972.62453019
2019-09-02,fetch,0.049485926,3271445.52447805
2019-09-03,fetch,0.049640115,3198053.92082894
2019-09-04,fetch,0.049394738,4432750.42371897
2019-09-05,fetch,0.05227936,5842668.41082044
2019-09-06,fetch,0.049810983,5384164.4391572
2019-09-07,fetch,0.05174593,3612657.19185846
2019-09-08,fetch,0.053658076,3818585.31111037
2019-09-09,fetch,0.05236361,5195020.52052903
2019-09-10,fetch,0.052262038,3952184.93680427
2019-09-11,fetch,0.057066064,6935363.04259945
2019-09-12,fetch,0.053276252,5293573.56932601
2019-09-13,fetch,0.056438338,4144247.60348617
2019-09-14,fetch,0.055519518,3736320.24851401
2019-09-15,fetch,0.059978057,5471430.52405218
2019-09-16,fetch,0.05828055,4643402.87390148
2019-09-17,fetch,0.059776817,4076488.06851932
2019-09-18,fetch,0.06223433,5307976.52599355
2019-09-19,fetch,0.05852354,4895074.93468089
2019-09-20,fetch,0.057087686,4652966.69879077
2019-09-21,fetch,0.057418812,3750507.04205509
2019-09-22,fetch,0.053357694,3761183.9884903
2019-09-23,fetch,0.049389765,3647601.44908436
2019-09-24,fetch,0.0378217,5034356.28073505
2019-09-25,fetch,0.037983548,4818874.20709735
2019-09-26,fetch,0.03400252,5222075.46510176
2019-09-27,fetch,0.034913547,3480478.33937714
2019-09-28,fetch,0.03504966,3422174.64581242
2019-09-29,fetch,0.035307247,4152134.16653699
2019-09-30,fetch,0.034476638,4037146.69114493
2019-10-01,fetch,0.03471078,2892642.32456088
2019-10-02,fetch,0.034804117,3156422.83814466
2019-10-03,fetch,0.034676127,3510217.43021095
2019-10-04,fetch,0.035063956,3382953.76987943
2019-10-05,fetch,0.035315014,3869187.74459037
2019-10-06,fetch,0.03774511,4903467.39910268
2019-10-07,fetch,0.039963577,5998274.20471299
2019-10-08,fetch,0.042999357,10750830.7149428
2019-10-09,fetch,0.04196756,8137011.8212598
2019-10-10,fetch,0.043910835,7024643.43964784
2019-10-11,fetch,0.044797394,10613007.4879456
2019-10-12,fetch,0.045513496,7945791.0176031
2019-10-13,fetch,0.042934254,6587491.68026861
2019-10-14,fetch,0.04615374,13710387.6449269
2019-10-15,fetch,0.044010364,7428788.66881035
2019-10-16,fetch,0.040119734,5606089.65936041
