day,asset,close,volume
2019-02-06,lto-network,0.06163437,1203603.30154485
2019-02-07,lto-network,0.055735625,1308390.57973858
2019-02-08,lto-network,0.06143999,856527.091094206
2019-02-09,lto-network,0.061375156,775346.492012943
2019-02-10,lto-network,0.059840355,769371.717448462
2019-02-11,lto-network,0.072253264,1164298.05307624
2019-02-12,lto-network,0.0900228,1254654.55009132
2019-02-13,lto-network,0.105946094,2951447.55063182
2019-02-14,lto-network,0.101703785,1426397.32935726
2019-02-15,lto-network,0.120328166,1843100.23938407
2019-02-16,lto-network,0.10442813,1190183.1304382
2019-02-17,lto-network,0.118284985,1229711.22395001
2019-02-18,lto-network,0.1239378,936760.711844101
2019-02-19,lto-network,0.14885437,1828380.18821051
2019-02-20,lto-network,0.15839355,2718881.90145598
2019-02-21,lto-network,0.15212119,2322844.71893688
2019-02-22,lto-network,0.17665772,2824508.4701882
2019-02-23,lto-network,0.19919764,3902649.41486992
2019-02-24,lto-network,0.21866931,4118722.75139217
2019-02-25,lto-network,0.22258419,4275342.91286469
2019-02-26,lto-network,0.20742227,3741456.79653895
2019-02-27,lto-network,0.1609697,2997505.62958246
2019-02-28,lto-network,0.15141211,3130351.41637796
2019-03-01,lto-network,0.18641824,2078419.6464456
2019-03-02,lto-network,0.15417759,1553845.29510063
2019-03-03,lto-network,0.15552536,1692910.46705786
2019-03-04,lto-network,0.1581016,1664263.51674582
2019-03-05,lto-network,0.16910173,1626825.20007264
2019-03-06,lto-network,0.1730008,1869867.73490627
2019-03-07,lto-network,0.15339604,2049810.11018971
2019-03-08,lto-network,0.13608989,1923715.71236009
2019-03-09,lto-network,0.10771905,1927547.32319812
2019-03-10,lto-network,0.093883656,1725604.59142743
2019-03-11,lto-network,0.09640926,1932422.75093304
2019-03-12,lto-network,0.096313916,1806915.26898681
2019-03-13,lto-network,0.09226997,1762391.52874371
2019-03-14,lto-network,0.09710551,1855992.11872579
2019-03-15,lto-network,0.09469286,1749429.6906471
2019-03-16,lto-network,0.092427455,1784936.86495109
2019-03-17,lto-network,0.09016222,1521272.66039155
2019-03-18,lto-network,0.08626696,1672042.15253029
2019-03-19,lto-network,0.093779355,1772103.03831107
2019-03-20,lto-network,0.1108153,1913216.31731273
2019-03-21,lto-network,0.11714005,1883643.90746877
2019-03-22,lto-network,0.13390765,2091987.49839899
2019-03-23,lto-network,0.12647806,1716327.23639908
2019-03-24,lto-network,0.11086041,1825456.73910411
2019-03-25,lto-network,0.11177117,1467527.96176578
2019-03-26,lto-network,0.10757166,1648024.92935776
2019-03-27,lto-network,0.11309338,2003272.37631612
2019-03-28,lto-network,0.11227525,1826229.91889413
2019-03-29,lto-network,0.11756108,2132369.73792054
2019-03-30,lto-network,0.10474788,2161128.33442737
2019-03-31,lto-network,0.10144204,1649373.9977971
2019-04-01,lto-network,0.09855079,1636487.51417078
2019-04-02,lto-network,0.10313427,2028461.08212874
2019-04-03,lto-network,0.08801275,1658486.64727286
2019-04-04,lto-network,0.09624711,3059217.41240762
2019-04-05,lto-network,0.09712816,2844827.47650548
2019-04-06,lto-network,0.09533798,2885207.64583291
2019-04-07,lto-network,0.105338335,2969191.01120932
2019-04-08,lto-network,0.10240374,2951750.10541743
2019-04-09,lto-network,0.09412438,2282882.92869062
2019-04-10,lto-network,0.094319806,2449987.84485418
2019-04-11,lto-network,0.08814423,2267200.82071078
2019-04-12,lto-network,0.08689039,2261486.19755756
2019-04-13,lto-network,0.08444375,2102077.29731839
2019-04-14,lto-network,0.07972783,2203825.68124836
2019-04-15,lto-network,0.07730166,2162160.25837501
