day,asset,close,volume
2019-05-06,ocean-protocol,0.030009948,409704.486303148
2019-05-07,ocean-protocol,0.03243029,444049.394775586
2019-05-08,ocean-protocol,0.030407261,357656.630704906
2019-05-09,ocean-protocol,0.027187418,328438.109773685
2019-05-10,ocean-protocol,0.024750704,345215.45656601
2019-05-11,ocean-protocol,0.02854906,420385.387592277
2019-05-12,ocean-protocol,0.022822414,287089.799768061
2019-05-13,ocean-protocol,0.027307231,877231.549556813
2019-05-14,ocean-protocol,0.029911695,1014237.18119747
2019-05-15,ocean-protocol,0.03054976,1178633.19059577
2019-05-16,ocean-protocol,0.028534578,1048253.45277836
2019-05-17,ocean-protocol,0.02816308,1227526.47619715
2019-05-18,ocean-protocol,0.027071018,1214730.71046688
2019-05-19,ocean-protocol,0.02825427,1300374.89947013
2019-05-20,ocean-protocol,0.026534086,1152430.01098289
2019-05-21,ocean-protocol,0.02882274,1019444.65999456
2019-05-22,ocean-protocol,0.026051199,858171.602118935
2019-05-23,ocean-protocol,0.03177645,891613.758291324
2019-05-24,ocean-protocol,0.035487227,980618.14470346
2019-05-25,ocean-protocol,0.03490535,1016350.52052216
2019-05-26,ocean-protocol,0.046594873,921281.878155208
2019-05-27,ocean-protocol,0.04077496,908392.549255941
2019-05-28,ocean-protocol,0.035584394,856259.855229993
2019-05-29,ocean-protocol,0.03637614,1025093.31410897
2019-05-30,ocean-protocol,0.03293408,1069173.4038594
2019-05-31,ocean-protocol,0.04261511,6230401.53233926
2019-06-01,ocean-protocol,0.0393317,3241695.01310879
2019-06-02,ocean-protocol,0.039372746,2358632.42906086
2019-06-03,ocean-protocol,0.03566206,1181189.94919587
2019-06-04,ocean-protocol,0.034533065,655553.312358701
2019-06-05,ocean-protocol,0.03602538,1028576.8464372
2019-06-06,ocean-protocol,0.035212748,815252.314475729
2019-06-07,ocean-protocol,0.03597942,735342.971165539
2019-06-08,ocean-protocol,0.032232616,710820.0552037
2019-06-09,ocean-protocol,0.03200505,658497.759982844
2019-06-10,ocean-protocol,0.03334326,164721.823107846
2019-06-11,ocean-protocol,0.032545917,228622.60671115
2019-06-12,ocean-protocol,0.034132693,181987.428972219
2019-06-13,ocean-protocol,0.03347472,157090.072722805
2019-06-14,ocean-protocol,0.032910377,155671.243772551
2019-06-15,ocean-protocol,0.032824036,103575.404433933
2019-06-16,ocean-protocol,0.033232618,135185.758250222
2019-06-17,ocean-protocol,0.034310143,142253.858506317
2019-06-18,ocean-protocol,0.02912466,282138.425717968
2019-06-19,ocean-protocol,0.032202203,383408.42245113
2019-06-20,ocean-protocol,0.031418297,411663.801719147
2019-06-21,ocean-protocol,0.037175756,518821.750552974
2019-06-22,ocean-protocol,0.03489501,716247.797130004
2019-06-23,ocean-protocol,0.036780603,667207.846319502
2019-06-24,ocean-protocol,0.03616789,863190.239550266
2019-06-25,ocean-protocol,0.03607084,1148324.96376654
2019-06-26,ocean-protocol,0.03126866,995998.559883243
2019-06-27,ocean-protocol,0.026411153,1249923.36205417
2019-06-28,ocean-protocol,0.025494624,1391263.27189367
2019-06-29,ocean-protocol,0.02470216,1298057.16542695
2019-06-30,ocean-protocol,0.022236045,1279819.8521573
2019-07-01,ocean-protocol,0.02562273,1373204.240547
2019-07-02,ocean-protocol,0.026820851,1497852.5691289
2019-07-03,ocean-protocol,0.031424265,1081029.81063145
2019-07-04,ocean-protocol,0.026767986,973133.053154762
2019-07-05,ocean-protocol,0.027328977,852348.249883574
2019-07-06,ocean-protocol,0.03103029,553037.396756907
2019-07-07,ocean-protocol,0.03075999,464841.149820378
2019-07-08,ocean-protocol,0.02940855,372224.11679173
2019-07-09,ocean-protocol,0.028240647,762626.70824895
2019-07-10,ocean-protocol,0.026906932,1020187.19062434
2019-07-11,ocean-protocol,0.026450058,944776.412664196
2019-07-12,ocean-protocol,0.026737127,1051410.63238643
2019-07-13,ocean-protocol,0.025090817,1045553.73914461
2019-07-14,ocean-protocol,0.022137702,647968.075328114
2019-07-15,ocean-protocol,0.02223391,546867.726272728
2019-07-16,ocean-protocol,0.019621098,483034.393522433
2019-07-17,ocean-protocol,0.020444077,632089.417537536
2019-07-18,ocean-protocol,0.02364039,524322.631400869
2019-07-19,ocean-protocol,0.023327217,278571.943326421
2019-07-20,ocean-protocol,0.023348883,268682.329465737
2019-07-21,ocean-protocol,0.023384286,266237.327026493
2019-07-22,ocean-protocol,0.02204389,136481.669137465
2019-07-23,ocean-protocol,0.023887169,99825.7422390117
2019-07-24,ocean-protocol,0.023352258,96685.5285509822
2019-07-25,ocean-protocol,0.021179015,78527.5711643588
2019-07-26,ocean-protocol,0.023281904,90739.5954371003
2019-07-27,ocean-protocol,0.018933643,76685.5750719711
2019-07-28,ocean-protocol,0.022195142,82812.6857322797
2019-07-29,ocean-protocol,0.01876543,110032.075293837
2019-07-30,ocean-protocol,0.020154925,142530.080965805
2019-07-31,ocean-protocol,0.018185737,125039.645596708
2019-08-01,ocean-protocol,0.019950027,147289.921297785
2019-08-02,ocean-protocol,0.02007511,137355.260094243
2019-08-03,ocean-protocol,0.020482304,105222.109331946
2019-08-04,ocean-protocol,0.019461183,104536.130289801
2019-08-05,ocean-protocol,0.019876268,120593.264241666
2019-08-06,ocean-protocol,0.017618941,151829.889675982
2019-08-07,ocean-protocol,0.017217036,184687.112057269
2019-08-08,ocean-protocol,0.01643856,179505.342977671
2019-08-09,ocean-protocol,0.014639185,179222.579825231
2019-08-10,ocean-protocol,0.013832956,165516.934250355
2019-08-11,ocean-protocol,0.014321398,148562.157257866
2019-08-12,ocean-protocol,0.014557976,145971.282981605
2019-08-13,ocean-protocol,0.015033209,143530.817158002
2019-08-14,ocean-protocol,0.013819874,143854.922681817
2019-08-15,ocean-protocol,0.018807778,404175.459576109
