day,asset,close,volume
2020-05-22,celo,0.83266264,2019357.17373801
2020-05-23,celo,2.4962065,3645282.35764306
2020-05-24,celo,1.8134462,3305900.25967318
2020-05-25,celo,1.4363793,2211306.03765516
2020-05-26,celo,1.5226194,2323975.77817613
2020-05-27,celo,1.5131851,2274895.42364473
2020-05-28,celo,1.5028832,2281961.19502813
2020-05-29,celo,1.4779397,2085349.45158076
2020-05-30,celo,1.4957733,1049435.48470821
2020-05-31,celo,1.5676926,1053477.08537193
2020-06-01,celo,1.5290147,1044651.04445155
2020-06-02,celo,1.537106,483955.907688314
2020-06-03,celo,1.5458724,248799.921240875
2020-06-04,celo,1.5975288,473302.814168672
2020-06-05,celo,1.6210337,356468.174642017
2020-06-06,celo,1.6050595,314688.755355469
2020-06-07,celo,1.6248621,269657.833528641
2020-06-08,celo,1.6649916,253982.894189313
2020-06-09,celo,1.7343436,314119.492265199
2020-06-10,celo,1.7085541,309367.223051544
2020-06-11,celo,1.728489,402150.200695783
2020-06-12,celo,1.8055876,349457.639105362
2020-06-13,celo,1.6274455,392046.602082071
2020-06-14,celo,1.5985245,322212.84697034
2020-06-15,celo,1.609507,291741.832895462
2020-06-16,celo,1.7473866,407535.35397341
2020-06-17,celo,1.7528981,356246.785514446
2020-06-18,celo,1.7861744,438394.42313452
2020-06-19,celo,1.7893548,326501.273074831
2020-06-20,celo,1.8324593,151017.415833969
2020-06-21,celo,1.8089635,208022.25672953
2020-06-22,celo,1.773902,196301.298293989
2020-06-23,celo,1.8362632,170184.785606698
2020-06-24,celo,1.8392746,147645.933533571
2020-06-25,celo,1.841107,243987.804849302
2020-06-26,celo,1.8399668,184648.79077935
2020-06-27,celo,1.8293684,175121.329773947
2020-06-28,celo,1.8146979,246428.609950071
2020-06-29,celo,1.781198,215385.471081411
2020-06-30,celo,1.75595,173897.876509239
2020-07-01,celo,1.8379087,205735.054886354
2020-07-02,celo,1.9083452,152081.688906482
2020-07-03,celo,1.8960061,138710.401953147
2020-07-04,celo,1.8215562,109450.5511124
2020-07-05,celo,1.8336326,127576.830793898
2020-07-06,celo,1.9266402,234233.005404819
2020-07-07,celo,1.9192669,182330.926568835
2020-07-08,celo,1.8705527,159992.998538677
2020-07-09,celo,1.8896552,180589.127569128
2020-07-10,celo,1.7939328,229426.979622452
2020-07-11,celo,1.7666669,436987.836878637
2020-07-12,celo,1.7070755,297074.634828049
2020-07-13,celo,1.794187,311694.797973649
2020-07-14,celo,1.7466061,212336.304140786
2020-07-15,celo,1.8362173,346291.082138544
2020-07-16,celo,1.7758698,162016.978126135
2020-07-17,celo,1.8088462,213264.321120124
