day,asset,close,volume
2020-07-07,dmm-governance,1.5459718,1408330.06881417
2020-07-08,dmm-governance,1.3789145,2856418.80077392
2020-07-09,dmm-governance,1.2428008,2160726.61998599
2020-07-10,dmm-governance,1.2072101,1836094.09779146
2020-07-11,dmm-governance,1.4245893,1975269.37097912
2020-07-12,dmm-governance,1.4233835,2166867.58098765
2020-07-13,dmm-governance,1.2952639,2224676.4481976
2020-07-14,dmm-governance,1.3557572,1919655.07176506
2020-07-15,dmm-governance,1.5314378,2408661.02601476
2020-07-16,dmm-governance,1.4402616,2010867.37113995
2020-07-17,dmm-governance,1.311711,2610349.63695776
