day,asset,close,volume
2020-05-31,kadena,0.33193463,1313875.33694921
2020-06-01,kadena,0.32948205,2463641.99108396
2020-06-02,kadena,0.38009208,3709183.98313733
2020-06-03,kadena,0.37282538,840902.937092946
2020-06-04,kadena,0.3932543,1618093.64460963
2020-06-05,kadena,0.4528816,1599392.35463925
2020-06-06,kadena,0.45082492,1189240.53748757
2020-06-07,kadena,0.45235562,2370787.58770876
2020-06-08,kadena,0.40136698,1594093.18286075
2020-06-09,kadena,0.41968358,1537112.51192628
2020-06-10,kadena,0.41063312,1955589.42607123
2020-06-11,kadena,0.3861306,3582426.77742803
2020-06-12,kadena,0.4367432,876817.088550742
2020-06-13,kadena,0.4156749,619752.995714933
2020-06-14,kadena,0.41547796,981466.682836349
2020-06-15,kadena,0.40309253,2175404.56548804
2020-06-16,kadena,0.4142728,615902.168924164
2020-06-17,kadena,0.41162327,640758.011010834
2020-06-18,kadena,0.411619,679145.978709239
2020-06-19,kadena,0.41942376,692176.28760854
2020-06-20,kadena,0.42304352,524758.933909019
2020-06-21,kadena,0.41524416,331636.528938902
2020-06-22,kadena,0.41670078,982652.767587686
2020-06-23,kadena,0.38887063,610573.197750648
2020-06-24,kadena,0.39357966,674445.852810823
2020-06-25,kadena,0.4166344,791598.074518593
2020-06-26,kadena,0.4077282,682831.585346174
2020-06-27,kadena,0.40105337,823904.802274045
2020-06-28,kadena,0.3883273,607559.668486384
2020-06-29,kadena,0.39110452,763204.754485058
2020-06-30,kadena,0.3185832,612361.147928659
2020-07-01,kadena,0.2739352,722277.99217954
2020-07-02,kadena,0.26119056,698410.617734945
2020-07-03,kadena,0.27410004,443718.20807899
2020-07-04,kadena,0.2816612,494095.232131169
2020-07-05,kadena,0.28140572,684597.059393656
2020-07-06,kadena,0.2626947,601967.485443129
2020-07-07,kadena,0.2651918,404950.238077188
2020-07-08,kadena,0.26032603,767179.806007434
2020-07-09,kadena,0.24545904,534041.611116746
2020-07-10,kadena,0.27288347,519308.234337129
2020-07-11,kadena,0.2857484,452691.811328893
2020-07-12,kadena,0.27666938,665787.08684262
2020-07-13,kadena,0.2578231,756700.088698585
2020-07-14,kadena,0.26239717,640946.367931214
2020-07-15,kadena,0.27349156,498637.625784821
2020-07-16,kadena,0.25396565,529229.339190855
2020-07-17,kadena,0.28271678,468952.583293559
